area_code,reference_area,area_type,year,gender,age,measure_type,value,units
S12000005,Clackmannanshire,Local Authority,2004,All,50-64,Count,2500,Persons
S12000005,Clackmannanshire,Local Authority,2004,Female,50-64,Count,1500,Persons
S12000039,West Dunbartonshire,Local Authority,2004,All,16-24,Count,1900,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Male,16-24,Count,1100,Persons
S12000039,West Dunbartonshire,Local Authority,2004,All,16-64,Count,14000,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Female,16-64,Count,8000,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Male,16-64,Count,6100,Persons
S12000039,West Dunbartonshire,Local Authority,2004,All,25-34,Count,2200,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Male,25-34,Count,1400,Persons
S12000039,West Dunbartonshire,Local Authority,2004,All,35-49,Count,4500,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Female,35-49,Count,2900,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Male,35-49,Count,1600,Persons
S12000039,West Dunbartonshire,Local Authority,2004,All,50-64,Count,5400,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Female,50-64,Count,3400,Persons
S12000039,West Dunbartonshire,Local Authority,2004,Male,50-64,Count,2000,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,All,16-24,Count,1800,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,All,16-64,Count,16900,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,Female,16-64,Count,9100,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,Male,16-64,Count,7700,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,All,35-49,Count,5500,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,Female,35-49,Count,3200,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,Male,35-49,Count,2300,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,All,50-64,Count,8100,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,Female,50-64,Count,4300,Persons
S12000006,Dumfries and Galloway,Local Authority,2004,Male,50-64,Count,3700,Persons
S12000042,Dundee City,Local Authority,2004,All,16-24,Count,2700,Persons
S12000042,Dundee City,Local Authority,2004,All,16-64,Count,18200,Persons
S12000042,Dundee City,Local Authority,2004,Female,16-64,Count,10900,Persons
S12000042,Dundee City,Local Authority,2004,Male,16-64,Count,7300,Persons
S12000042,Dundee City,Local Authority,2004,All,35-49,Count,6300,Persons
S12000042,Dundee City,Local Authority,2004,Female,35-49,Count,3600,Persons
S12000042,Dundee City,Local Authority,2004,Male,35-49,Count,2700,Persons
S12000042,Dundee City,Local Authority,2004,All,50-64,Count,7400,Persons
S12000042,Dundee City,Local Authority,2004,Female,50-64,Count,4600,Persons
S12000042,Dundee City,Local Authority,2004,Male,50-64,Count,2800,Persons
S12000008,East Ayrshire,Local Authority,2004,All,16-24,Count,1800,Persons
S12000008,East Ayrshire,Local Authority,2004,Male,16-24,Count,1200,Persons
S12000008,East Ayrshire,Local Authority,2004,All,16-64,Count,18000,Persons
S12000008,East Ayrshire,Local Authority,2004,Female,16-64,Count,9800,Persons
S12000008,East Ayrshire,Local Authority,2004,Male,16-64,Count,8200,Persons
S12000008,East Ayrshire,Local Authority,2004,All,25-34,Count,2700,Persons
S12000008,East Ayrshire,Local Authority,2004,Male,25-34,Count,1700,Persons
S12000008,East Ayrshire,Local Authority,2004,All,35-49,Count,6700,Persons
S12000008,East Ayrshire,Local Authority,2004,Female,35-49,Count,4300,Persons
S12000008,East Ayrshire,Local Authority,2004,Male,35-49,Count,2400,Persons
S12000008,East Ayrshire,Local Authority,2004,All,50-64,Count,6800,Persons
S12000008,East Ayrshire,Local Authority,2004,Female,50-64,Count,3800,Persons
S12000008,East Ayrshire,Local Authority,2004,Male,50-64,Count,2900,Persons
S12000045,East Dunbartonshire,Local Authority,2004,All,16-64,Count,6100,Persons
S12000045,East Dunbartonshire,Local Authority,2004,Female,16-64,Count,3900,Persons
S12000045,East Dunbartonshire,Local Authority,2004,Male,16-64,Count,2200,Persons
S12000045,East Dunbartonshire,Local Authority,2004,All,35-49,Count,1900,Persons
S12000045,East Dunbartonshire,Local Authority,2004,Female,35-49,Count,1300,Persons
S12000045,East Dunbartonshire,Local Authority,2004,All,50-64,Count,2900,Persons
S12000045,East Dunbartonshire,Local Authority,2004,Female,50-64,Count,2300,Persons
S12000010,East Lothian,Local Authority,2004,All,16-64,Count,9100,Persons
S12000010,East Lothian,Local Authority,2004,Female,16-64,Count,4900,Persons
S12000010,East Lothian,Local Authority,2004,Male,16-64,Count,4200,Persons
S12000010,East Lothian,Local Authority,2004,All,25-34,Count,1300,Persons
S12000010,East Lothian,Local Authority,2004,All,35-49,Count,3400,Persons
S12000010,East Lothian,Local Authority,2004,Female,35-49,Count,1800,Persons
S12000010,East Lothian,Local Authority,2004,Male,35-49,Count,1700,Persons
S12000010,East Lothian,Local Authority,2004,All,50-64,Count,3800,Persons
S12000010,East Lothian,Local Authority,2004,Female,50-64,Count,2100,Persons
S12000010,East Lothian,Local Authority,2004,Male,50-64,Count,1700,Persons
S12000011,East Renfrewshire,Local Authority,2004,All,16-64,Count,5300,Persons
S12000011,East Renfrewshire,Local Authority,2004,Female,16-64,Count,2900,Persons
S12000011,East Renfrewshire,Local Authority,2004,Male,16-64,Count,2400,Persons
S12000011,East Renfrewshire,Local Authority,2004,All,35-49,Count,2000,Persons
S12000011,East Renfrewshire,Local Authority,2004,Female,35-49,Count,1300,Persons
S12000011,East Renfrewshire,Local Authority,2004,All,50-64,Count,2300,Persons
S12000011,East Renfrewshire,Local Authority,2004,Female,50-64,Count,1200,Persons
S12000036,City of Edinburgh,Local Authority,2004,All,16-64,Count,35800,Persons
S12000036,City of Edinburgh,Local Authority,2004,Female,16-64,Count,20900,Persons
S12000036,City of Edinburgh,Local Authority,2004,Male,16-64,Count,14900,Persons
S12000036,City of Edinburgh,Local Authority,2004,All,35-49,Count,13000,Persons
S12000036,City of Edinburgh,Local Authority,2004,Female,35-49,Count,8300,Persons
S12000036,City of Edinburgh,Local Authority,2004,All,50-64,Count,12200,Persons
S12000036,City of Edinburgh,Local Authority,2004,Female,50-64,Count,6800,Persons
S12000014,Falkirk,Local Authority,2004,All,16-64,Count,18000,Persons
S12000014,Falkirk,Local Authority,2004,Female,16-64,Count,10900,Persons
S12000014,Falkirk,Local Authority,2004,Male,16-64,Count,7100,Persons
S12000014,Falkirk,Local Authority,2004,All,25-34,Count,2400,Persons
S12000014,Falkirk,Local Authority,2004,All,35-49,Count,5800,Persons
S12000014,Falkirk,Local Authority,2004,Female,35-49,Count,3700,Persons
S12000014,Falkirk,Local Authority,2004,Male,35-49,Count,2100,Persons
S12000014,Falkirk,Local Authority,2004,All,50-64,Count,8000,Persons
S12000014,Falkirk,Local Authority,2004,Female,50-64,Count,4800,Persons
S12000014,Falkirk,Local Authority,2004,Male,50-64,Count,3200,Persons
S12000047,Fife,Local Authority,2004,All,16-24,Count,5100,Persons
S12000047,Fife,Local Authority,2004,All,16-64,Count,36600,Persons
S12000047,Fife,Local Authority,2004,Female,16-64,Count,20600,Persons
S12000047,Fife,Local Authority,2004,Male,16-64,Count,16000,Persons
S12000047,Fife,Local Authority,2004,All,35-49,Count,12100,Persons
S12000047,Fife,Local Authority,2004,Female,35-49,Count,7500,Persons
S12000047,Fife,Local Authority,2004,Male,35-49,Count,4600,Persons
S12000047,Fife,Local Authority,2004,All,50-64,Count,15600,Persons
S12000047,Fife,Local Authority,2004,Female,50-64,Count,8700,Persons
S12000047,Fife,Local Authority,2004,Male,50-64,Count,6900,Persons
S12000017,Highland,Local Authority,2004,All,16-64,Count,21400,Persons
S12000017,Highland,Local Authority,2004,Female,16-64,Count,13300,Persons
S12000017,Highland,Local Authority,2004,Male,16-64,Count,8100,Persons
S12000017,Highland,Local Authority,2004,All,35-49,Count,6100,Persons
S12000017,Highland,Local Authority,2004,Female,35-49,Count,4000,Persons
S12000017,Highland,Local Authority,2004,All,50-64,Count,9800,Persons
S12000017,Highland,Local Authority,2004,Female,50-64,Count,6200,Persons
S12000017,Highland,Local Authority,2004,Male,50-64,Count,3600,Persons
S12000018,Inverclyde,Local Authority,2004,All,16-24,Count,1500,Persons
S12000018,Inverclyde,Local Authority,2004,All,16-64,Count,10800,Persons
S12000018,Inverclyde,Local Authority,2004,Female,16-64,Count,6400,Persons
S12000018,Inverclyde,Local Authority,2004,Male,16-64,Count,4400,Persons
S12000018,Inverclyde,Local Authority,2004,All,25-34,Count,1400,Persons
S12000018,Inverclyde,Local Authority,2004,All,35-49,Count,3200,Persons
S12000018,Inverclyde,Local Authority,2004,Female,35-49,Count,2200,Persons
S12000018,Inverclyde,Local Authority,2004,Male,35-49,Count,1100,Persons
S12000018,Inverclyde,Local Authority,2004,All,50-64,Count,4600,Persons
S12000018,Inverclyde,Local Authority,2004,Female,50-64,Count,2800,Persons
S12000018,Inverclyde,Local Authority,2004,Male,50-64,Count,1800,Persons
S12000019,Midlothian,Local Authority,2004,All,16-64,Count,10100,Persons
S12000019,Midlothian,Local Authority,2004,Female,16-64,Count,6400,Persons
S12000019,Midlothian,Local Authority,2004,Male,16-64,Count,3700,Persons
S12000019,Midlothian,Local Authority,2004,All,25-34,Count,1400,Persons
S12000019,Midlothian,Local Authority,2004,All,35-49,Count,3100,Persons
S12000019,Midlothian,Local Authority,2004,Female,35-49,Count,2200,Persons
S12000019,Midlothian,Local Authority,2004,All,50-64,Count,4500,Persons
S12000019,Midlothian,Local Authority,2004,Female,50-64,Count,2800,Persons
S12000019,Midlothian,Local Authority,2004,Male,50-64,Count,1700,Persons
S12000020,Moray,Local Authority,2004,All,16-64,Count,10800,Persons
S12000020,Moray,Local Authority,2004,Female,16-64,Count,5500,Persons
S12000020,Moray,Local Authority,2004,Male,16-64,Count,5200,Persons
S12000020,Moray,Local Authority,2004,All,35-49,Count,3800,Persons
S12000020,Moray,Local Authority,2004,Female,35-49,Count,2200,Persons
S12000020,Moray,Local Authority,2004,Male,35-49,Count,1600,Persons
S12000020,Moray,Local Authority,2004,All,50-64,Count,5000,Persons
S12000020,Moray,Local Authority,2004,Female,50-64,Count,2600,Persons
S12000020,Moray,Local Authority,2004,Male,50-64,Count,2400,Persons
S12000021,North Ayrshire,Local Authority,2004,All,16-24,Count,2200,Persons
S12000021,North Ayrshire,Local Authority,2004,All,16-64,Count,19700,Persons
S12000021,North Ayrshire,Local Authority,2004,Female,16-64,Count,11400,Persons
S12000021,North Ayrshire,Local Authority,2004,Male,16-64,Count,8300,Persons
S12000021,North Ayrshire,Local Authority,2004,All,25-34,Count,3000,Persons
S12000021,North Ayrshire,Local Authority,2004,Female,25-34,Count,1300,Persons
S12000021,North Ayrshire,Local Authority,2004,Male,25-34,Count,1600,Persons
S12000021,North Ayrshire,Local Authority,2004,All,35-49,Count,7600,Persons
S12000021,North Ayrshire,Local Authority,2004,Female,35-49,Count,4600,Persons
S12000021,North Ayrshire,Local Authority,2004,Male,35-49,Count,2900,Persons
S12000021,North Ayrshire,Local Authority,2004,All,50-64,Count,7100,Persons
S12000021,North Ayrshire,Local Authority,2004,Female,50-64,Count,4200,Persons
S12000021,North Ayrshire,Local Authority,2004,Male,50-64,Count,2900,Persons
S12000023,Orkney Islands,Local Authority,2004,All,16-64,Count,1300,Persons
S12000048,Perth and Kinross,Local Authority,2004,All,16-64,Count,10800,Persons
S12000048,Perth and Kinross,Local Authority,2004,Female,16-64,Count,6500,Persons
S12000048,Perth and Kinross,Local Authority,2004,Male,16-64,Count,4300,Persons
S12000048,Perth and Kinross,Local Authority,2004,All,35-49,Count,3500,Persons
S12000048,Perth and Kinross,Local Authority,2004,Female,35-49,Count,2200,Persons
S12000048,Perth and Kinross,Local Authority,2004,All,50-64,Count,5500,Persons
S12000048,Perth and Kinross,Local Authority,2004,Female,50-64,Count,3400,Persons
S12000048,Perth and Kinross,Local Authority,2004,Male,50-64,Count,2000,Persons
S12000038,Renfrewshire,Local Authority,2004,All,16-64,Count,20100,Persons
S12000038,Renfrewshire,Local Authority,2004,Female,16-64,Count,12500,Persons
S12000038,Renfrewshire,Local Authority,2004,Male,16-64,Count,7500,Persons
S12000038,Renfrewshire,Local Authority,2004,All,25-34,Count,2400,Persons
S12000038,Renfrewshire,Local Authority,2004,All,35-49,Count,7300,Persons
S12000038,Renfrewshire,Local Authority,2004,Female,35-49,Count,4800,Persons
S12000038,Renfrewshire,Local Authority,2004,Male,35-49,Count,2500,Persons
S12000038,Renfrewshire,Local Authority,2004,All,50-64,Count,8300,Persons
S12000038,Renfrewshire,Local Authority,2004,Female,50-64,Count,5600,Persons
S12000038,Renfrewshire,Local Authority,2004,Male,50-64,Count,2600,Persons
S12000027,Shetland Islands,Local Authority,2004,All,16-64,Count,1600,Persons
S12000028,South Ayrshire,Local Authority,2004,All,16-24,Count,1500,Persons
S12000028,South Ayrshire,Local Authority,2004,All,16-64,Count,13300,Persons
S12000028,South Ayrshire,Local Authority,2004,Female,16-64,Count,7400,Persons
S12000028,South Ayrshire,Local Authority,2004,Male,16-64,Count,5900,Persons
S12000028,South Ayrshire,Local Authority,2004,All,35-49,Count,5000,Persons
S12000028,South Ayrshire,Local Authority,2004,Female,35-49,Count,3000,Persons
S12000028,South Ayrshire,Local Authority,2004,Male,35-49,Count,2000,Persons
S12000028,South Ayrshire,Local Authority,2004,All,50-64,Count,5600,Persons
S12000028,South Ayrshire,Local Authority,2004,Female,50-64,Count,3100,Persons
S12000028,South Ayrshire,Local Authority,2004,Male,50-64,Count,2500,Persons
S12000029,South Lanarkshire,Local Authority,2004,All,16-64,Count,40800,Persons
S12000029,South Lanarkshire,Local Authority,2004,Female,16-64,Count,22500,Persons
S12000029,South Lanarkshire,Local Authority,2004,Male,16-64,Count,18300,Persons
S12000029,South Lanarkshire,Local Authority,2004,All,25-34,Count,6200,Persons
S12000029,South Lanarkshire,Local Authority,2004,Female,25-34,Count,3300,Persons
S12000029,South Lanarkshire,Local Authority,2004,All,35-49,Count,15600,Persons
S12000029,South Lanarkshire,Local Authority,2004,Female,35-49,Count,8600,Persons
S12000029,South Lanarkshire,Local Authority,2004,Male,35-49,Count,7000,Persons
S12000029,South Lanarkshire,Local Authority,2004,All,50-64,Count,15500,Persons
S12000029,South Lanarkshire,Local Authority,2004,Female,50-64,Count,8700,Persons
S12000029,South Lanarkshire,Local Authority,2004,Male,50-64,Count,6900,Persons
S12000030,Stirling,Local Authority,2004,All,16-64,Count,5900,Persons
S12000030,Stirling,Local Authority,2004,Female,16-64,Count,3300,Persons
S12000030,Stirling,Local Authority,2004,Male,16-64,Count,2600,Persons
S12000030,Stirling,Local Authority,2004,All,35-49,Count,2100,Persons
S12000030,Stirling,Local Authority,2004,Female,35-49,Count,1200,Persons
S12000030,Stirling,Local Authority,2004,All,50-64,Count,2200,Persons
S12000030,Stirling,Local Authority,2004,Female,50-64,Count,1300,Persons
S12000040,West Lothian,Local Authority,2004,All,16-64,Count,18200,Persons
S12000040,West Lothian,Local Authority,2004,Female,16-64,Count,10900,Persons
S12000040,West Lothian,Local Authority,2004,Male,16-64,Count,7200,Persons
S12000040,West Lothian,Local Authority,2004,All,25-34,Count,2700,Persons
S12000040,West Lothian,Local Authority,2004,All,35-49,Count,6500,Persons
S12000040,West Lothian,Local Authority,2004,Female,35-49,Count,4300,Persons
S12000040,West Lothian,Local Authority,2004,Male,35-49,Count,2200,Persons
S12000040,West Lothian,Local Authority,2004,All,50-64,Count,6700,Persons
S12000040,West Lothian,Local Authority,2004,Female,50-64,Count,4200,Persons
S12000040,West Lothian,Local Authority,2004,Male,50-64,Count,2400,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2004,All,16-64,Count,3400,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2004,Female,16-64,Count,1700,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2004,Male,16-64,Count,1700,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2004,All,50-64,Count,1700,Persons
S12000013,Na h-Eileanan Siar,Local Authority,2004,Male,50-64,Count,1000,Persons
S12000033,Aberdeen City,Local Authority,2005,All,16-64,Count,20700,Persons
S12000033,Aberdeen City,Local Authority,2005,Female,16-64,Count,11500,Persons
S12000033,Aberdeen City,Local Authority,2005,Male,16-64,Count,9200,Persons
S12000033,Aberdeen City,Local Authority,2005,All,35-49,Count,6200,Persons
S12000033,Aberdeen City,Local Authority,2005,Female,35-49,Count,3800,Persons
S12000033,Aberdeen City,Local Authority,2005,All,50-64,Count,8900,Persons
S12000033,Aberdeen City,Local Authority,2005,Female,50-64,Count,5100,Persons
S12000033,Aberdeen City,Local Authority,2005,Male,50-64,Count,3800,Persons
S12000034,Aberdeenshire,Local Authority,2005,All,16-64,Count,17800,Persons
S12000034,Aberdeenshire,Local Authority,2005,Female,16-64,Count,8300,Persons
S12000034,Aberdeenshire,Local Authority,2005,Male,16-64,Count,9400,Persons
S12000034,Aberdeenshire,Local Authority,2005,All,35-49,Count,5100,Persons
S12000034,Aberdeenshire,Local Authority,2005,All,50-64,Count,8200,Persons
S12000034,Aberdeenshire,Local Authority,2005,Female,50-64,Count,4500,Persons
S12000034,Aberdeenshire,Local Authority,2005,Male,50-64,Count,3600,Persons
S12000041,Angus,Local Authority,2005,All,16-64,Count,10700,Persons
S12000041,Angus,Local Authority,2005,Female,16-64,Count,5600,Persons
S12000041,Angus,Local Authority,2005,Male,16-64,Count,5100,Persons
S12000041,Angus,Local Authority,2005,All,25-34,Count,1500,Persons
S12000041,Angus,Local Authority,2005,All,35-49,Count,3600,Persons
S12000041,Angus,Local Authority,2005,Female,35-49,Count,2000,Persons
S12000041,Angus,Local Authority,2005,Male,35-49,Count,1600,Persons
S12000041,Angus,Local Authority,2005,All,50-64,Count,4400,Persons
S12000041,Angus,Local Authority,2005,Female,50-64,Count,2400,Persons
S12000041,Angus,Local Authority,2005,Male,50-64,Count,1900,Persons
S12000035,Argyll and Bute,Local Authority,2005,All,16-64,Count,8100,Persons
S12000035,Argyll and Bute,Local Authority,2005,Female,16-64,Count,4600,Persons
S12000035,Argyll and Bute,Local Authority,2005,Male,16-64,Count,3500,Persons
S12000035,Argyll and Bute,Local Authority,2005,All,35-49,Count,2600,Persons
S12000035,Argyll and Bute,Local Authority,2005,Female,35-49,Count,1800,Persons
S12000035,Argyll and Bute,Local Authority,2005,All,50-64,Count,3600,Persons
S12000035,Argyll and Bute,Local Authority,2005,Female,50-64,Count,1900,Persons
S12000035,Argyll and Bute,Local Authority,2005,Male,50-64,Count,1700,Persons
S12000026,Scottish Borders,Local Authority,2005,All,16-64,Count,9100,Persons
S12000026,Scottish Borders,Local Authority,2005,Female,16-64,Count,4600,Persons
S12000026,Scottish Borders,Local Authority,2005,Male,16-64,Count,4500,Persons
S12000026,Scottish Borders,Local Authority,2005,All,35-49,Count,3600,Persons
S12000026,Scottish Borders,Local Authority,2005,Female,35-49,Count,2000,Persons
S12000026,Scottish Borders,Local Authority,2005,Male,35-49,Count,1700,Persons
S12000026,Scottish Borders,Local Authority,2005,All,50-64,Count,3500,Persons
S12000026,Scottish Borders,Local Authority,2005,Female,50-64,Count,1800,Persons
S12000026,Scottish Borders,Local Authority,2005,Male,50-64,Count,1700,Persons
S12000005,Clackmannanshire,Local Authority,2005,All,16-64,Count,5600,Persons
S12000005,Clackmannanshire,Local Authority,2005,Female,16-64,Count,3300,Persons
S12000005,Clackmannanshire,Local Authority,2005,Male,16-64,Count,2400,Persons
S12000005,Clackmannanshire,Local Authority,2005,All,35-49,Count,1700,Persons
S12000005,Clackmannanshire,Local Authority,2005,All,50-64,Count,1900,Persons
S12000005,Clackmannanshire,Local Authority,2005,Female,50-64,Count,1200,Persons
S12000039,West Dunbartonshire,Local Authority,2005,All,16-24,Count,1400,Persons
S12000039,West Dunbartonshire,Local Authority,2005,All,16-64,Count,12200,Persons
S12000039,West Dunbartonshire,Local Authority,2005,Female,16-64,Count,7800,Persons
S12000039,West Dunbartonshire,Local Authority,2005,Male,16-64,Count,4400,Persons
S12000039,West Dunbartonshire,Local Authority,2005,All,25-34,Count,1300,Persons
S12000039,West Dunbartonshire,Local Authority,2005,All,35-49,Count,5000,Persons
S12000039,West Dunbartonshire,Local Authority,2005,Female,35-49,Count,3300,Persons
S12000039,West Dunbartonshire,Local Authority,2005,Male,35-49,Count,1700,Persons
S12000039,West Dunbartonshire,Local Authority,2005,All,50-64,Count,4500,Persons
S12000039,West Dunbartonshire,Local Authority,2005,Female,50-64,Count,3000,Persons
S12000039,West Dunbartonshire,Local Authority,2005,Male,50-64,Count,1500,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,All,16-64,Count,15700,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,Female,16-64,Count,9200,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,Male,16-64,Count,6400,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,All,35-49,Count,5900,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,Female,35-49,Count,4000,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,Male,35-49,Count,1900,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,All,50-64,Count,7200,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,Female,50-64,Count,4200,Persons
S12000006,Dumfries and Galloway,Local Authority,2005,Male,50-64,Count,3000,Persons
S12000042,Dundee City,Local Authority,2005,All,16-24,Count,2700,Persons
S12000042,Dundee City,Local Authority,2005,All,16-64,Count,16600,Persons
S12000042,Dundee City,Local Authority,2005,Female,16-64,Count,9300,Persons
S12000042,Dundee City,Local Authority,2005,Male,16-64,Count,7300,Persons
S12000042,Dundee City,Local Authority,2005,All,25-34,Count,2300,Persons
S12000042,Dundee City,Local Authority,2005,All,35-49,Count,6000,Persons
S12000042,Dundee City,Local Authority,2005,Female,35-49,Count,3000,Persons
S12000042,Dundee City,Local Authority,2005,Male,35-49,Count,3000,Persons
S12000042,Dundee City,Local Authority,2005,All,50-64,Count,5600,Persons
S12000042,Dundee City,Local Authority,2005,Female,50-64,Count,3500,Persons
S12000042,Dundee City,Local Authority,2005,Male,50-64,Count,2100,Persons
S12000008,East Ayrshire,Local Authority,2005,All,16-24,Count,1600,Persons
S12000008,East Ayrshire,Local Authority,2005,All,16-64,Count,18800,Persons
S12000008,East Ayrshire,Local Authority,2005,Female,16-64,Count,10500,Persons
S12000008,East Ayrshire,Local Authority,2005,Male,16-64,Count,8300,Persons
S12000008,East Ayrshire,Local Authority,2005,All,25-34,Count,2300,Persons
S12000008,East Ayrshire,Local Authority,2005,All,35-49,Count,7300,Persons
S12000008,East Ayrshire,Local Authority,2005,Female,35-49,Count,4400,Persons
S12000008,East Ayrshire,Local Authority,2005,Male,35-49,Count,3000,Persons
S12000008,East Ayrshire,Local Authority,2005,All,50-64,Count,7500,Persons
S12000008,East Ayrshire,Local Authority,2005,Female,50-64,Count,4400,Persons
S12000008,East Ayrshire,Local Authority,2005,Male,50-64,Count,3100,Persons
S12000045,East Dunbartonshire,Local Authority,2005,All,16-64,Count,6700,Persons
S12000045,East Dunbartonshire,Local Authority,2005,Female,16-64,Count,4000,Persons
S12000045,East Dunbartonshire,Local Authority,2005,Male,16-64,Count,2700,Persons
S12000045,East Dunbartonshire,Local Authority,2005,All,35-49,Count,2000,Persons
S12000045,East Dunbartonshire,Local Authority,2005,All,50-64,Count,3300,Persons
S12000045,East Dunbartonshire,Local Authority,2005,Female,50-64,Count,2500,Persons
S12000010,East Lothian,Local Authority,2005,All,16-64,Count,7700,Persons
S12000010,East Lothian,Local Authority,2005,Female,16-64,Count,4500,Persons
S12000010,East Lothian,Local Authority,2005,Male,16-64,Count,3200,Persons
S12000010,East Lothian,Local Authority,2005,All,35-49,Count,2600,Persons
S12000010,East Lothian,Local Authority,2005,Female,35-49,Count,1400,Persons
S12000010,East Lothian,Local Authority,2005,All,50-64,Count,3500,Persons
