area_code,reference_area,area_type,year,working_pattern,value,units
S12000040,West Lothian,Local Authority,2015,All Patterns,14,%%
S12000040,West Lothian,Local Authority,1997,All Patterns,28.1,%%
S12000040,West Lothian,Local Authority,2007,Part Time,-7.6,%%
S12000040,West Lothian,Local Authority,2002,All Patterns,26,%%
S12000040,West Lothian,Local Authority,2010,All Patterns,22.9,%%
S12000040,West Lothian,Local Authority,2008,All Patterns,18.3,%%
S12000040,West Lothian,Local Authority,2001,All Patterns,18.9,%%
S12000040,West Lothian,Local Authority,2009,Full Time,10.3,%%
S12000040,West Lothian,Local Authority,2012,All Patterns,13.3,%%
S12000040,West Lothian,Local Authority,2003,Full Time,7.8,%%
S12000040,West Lothian,Local Authority,2018,Part Time,-22.5,%%
S12000040,West Lothian,Local Authority,2015,Part Time,-16.7,%%
S12000040,West Lothian,Local Authority,2000,Part Time,17.3,%%
S12000040,West Lothian,Local Authority,1997,Part Time,7.9,%%
S12000040,West Lothian,Local Authority,2012,Part Time,-23.4,%%
S12000040,West Lothian,Local Authority,2010,Full Time,12.3,%%
S12000040,West Lothian,Local Authority,2001,Full Time,6.3,%%
S12000040,West Lothian,Local Authority,2007,All Patterns,20.5,%%
S12000040,West Lothian,Local Authority,2004,Part Time,-22.6,%%
S12000040,West Lothian,Local Authority,1998,All Patterns,19.1,%%
S12000040,West Lothian,Local Authority,2014,All Patterns,13.2,%%
S12000040,West Lothian,Local Authority,1997,Full Time,19.3,%%
S12000040,West Lothian,Local Authority,2003,Part Time,3.4,%%
S12000040,West Lothian,Local Authority,2009,Part Time,-9.9,%%
S12000040,West Lothian,Local Authority,2019,Part Time,-25.4,%%
S12000040,West Lothian,Local Authority,2010,Part Time,-6.1,%%
S12000040,West Lothian,Local Authority,2013,All Patterns,17.2,%%
S12000040,West Lothian,Local Authority,2007,Full Time,15.9,%%
S12000040,West Lothian,Local Authority,2004,Full Time,6.6,%%
S12000040,West Lothian,Local Authority,2017,Full Time,8.1,%%
S12000040,West Lothian,Local Authority,2005,All Patterns,16.6,%%
S12000040,West Lothian,Local Authority,2013,Part Time,-16.4,%%
S12000040,West Lothian,Local Authority,2015,Full Time,2.2,%%
S12000040,West Lothian,Local Authority,2017,All Patterns,10.5,%%
S12000040,West Lothian,Local Authority,2004,All Patterns,22,%%
S12000040,West Lothian,Local Authority,2014,Full Time,1.6,%%
S12000040,West Lothian,Local Authority,1999,All Patterns,17.2,%%
S12000040,West Lothian,Local Authority,2013,Full Time,6.6,%%
S12000040,West Lothian,Local Authority,2001,Part Time,-26.5,%%
S12000040,West Lothian,Local Authority,2014,Part Time,-23.4,%%
S12000040,West Lothian,Local Authority,2003,All Patterns,20.6,%%
S12000040,West Lothian,Local Authority,2005,Full Time,8.3,%%
S12000040,West Lothian,Local Authority,1999,Full Time,8.3,%%
S12000040,West Lothian,Local Authority,2008,Part Time,-0.5,%%
S12000040,West Lothian,Local Authority,2006,Full Time,9.9,%%
S12000040,West Lothian,Local Authority,2006,Part Time,-4.2,%%
S12000040,West Lothian,Local Authority,1998,Full Time,10,%%
S12000040,West Lothian,Local Authority,2019,Full Time,10.3,%%
S12000040,West Lothian,Local Authority,2002,Full Time,14,%%
S12000040,West Lothian,Local Authority,2016,All Patterns,12.5,%%
S12000040,West Lothian,Local Authority,2000,Full Time,1.4,%%
S12000040,West Lothian,Local Authority,2019,All Patterns,16.5,%%
S12000040,West Lothian,Local Authority,2011,Full Time,-0.4,%%
S12000040,West Lothian,Local Authority,2018,All Patterns,16.4,%%
S12000005,Clackmannanshire,Local Authority,2007,Full Time,24,%%
S12000005,Clackmannanshire,Local Authority,2017,Part Time,1.8,%%
S12000005,Clackmannanshire,Local Authority,2019,Full Time,17.4,%%
S12000005,Clackmannanshire,Local Authority,2006,Full Time,36.5,%%
S12000005,Clackmannanshire,Local Authority,2016,Full Time,30,%%
S12000005,Clackmannanshire,Local Authority,2000,All Patterns,33.9,%%
S12000005,Clackmannanshire,Local Authority,2009,Part Time,-11.8,%%
S12000005,Clackmannanshire,Local Authority,2017,All Patterns,23.7,%%
S12000005,Clackmannanshire,Local Authority,2014,Full Time,20.3,%%
S12000005,Clackmannanshire,Local Authority,2005,All Patterns,27.7,%%
S12000005,Clackmannanshire,Local Authority,2012,All Patterns,38.2,%%
S12000005,Clackmannanshire,Local Authority,2015,All Patterns,26.8,%%
S12000005,Clackmannanshire,Local Authority,2016,All Patterns,34.2,%%
S12000005,Clackmannanshire,Local Authority,2017,Full Time,16.3,%%
S12000005,Clackmannanshire,Local Authority,2019,All Patterns,20.1,%%
S12000005,Clackmannanshire,Local Authority,2008,Part Time,-0.1,%%
S12000005,Clackmannanshire,Local Authority,2008,All Patterns,21,%%
S12000005,Clackmannanshire,Local Authority,2004,All Patterns,31.2,%%
S12000005,Clackmannanshire,Local Authority,1999,Full Time,31.5,%%
S12000005,Clackmannanshire,Local Authority,2019,Part Time,16.4,%%
S12000005,Clackmannanshire,Local Authority,2011,All Patterns,48.4,%%
S12000005,Clackmannanshire,Local Authority,2006,All Patterns,44.1,%%
S12000005,Clackmannanshire,Local Authority,2014,All Patterns,32.3,%%
S12000005,Clackmannanshire,Local Authority,2004,Full Time,7.8,%%
S12000005,Clackmannanshire,Local Authority,2010,Full Time,33.1,%%
S12000005,Clackmannanshire,Local Authority,2009,All Patterns,47.2,%%
S12000005,Clackmannanshire,Local Authority,2013,All Patterns,29.8,%%
S12000005,Clackmannanshire,Local Authority,2003,Full Time,26.9,%%
S12000005,Clackmannanshire,Local Authority,2007,All Patterns,40.3,%%
S12000005,Clackmannanshire,Local Authority,2010,All Patterns,47.3,%%
S12000005,Clackmannanshire,Local Authority,1998,Full Time,38.4,%%
S12000005,Clackmannanshire,Local Authority,2018,All Patterns,24.1,%%
S12000005,Clackmannanshire,Local Authority,2018,Part Time,10.6,%%
S12000005,Clackmannanshire,Local Authority,2018,Full Time,20.4,%%
S12000005,Clackmannanshire,Local Authority,2015,Full Time,18.1,%%
S12000005,Clackmannanshire,Local Authority,2013,Full Time,17.9,%%
S12000006,Dumfries and Galloway,Local Authority,2006,Full Time,-3.7,%%
S12000006,Dumfries and Galloway,Local Authority,2005,Full Time,-3.9,%%
S12000006,Dumfries and Galloway,Local Authority,2008,All Patterns,18,%%
S12000006,Dumfries and Galloway,Local Authority,2015,All Patterns,13.6,%%
S12000006,Dumfries and Galloway,Local Authority,2001,All Patterns,26.7,%%
S12000006,Dumfries and Galloway,Local Authority,2009,Part Time,-9.3,%%
S12000006,Dumfries and Galloway,Local Authority,2019,Full Time,-5.4,%%
S12000006,Dumfries and Galloway,Local Authority,2004,All Patterns,20.3,%%
S12000006,Dumfries and Galloway,Local Authority,2006,All Patterns,19.5,%%
S12000006,Dumfries and Galloway,Local Authority,1999,Full Time,23.7,%%
S12000006,Dumfries and Galloway,Local Authority,2004,Full Time,7.8,%%
S12000006,Dumfries and Galloway,Local Authority,2000,Part Time,5.1,%%
S12000006,Dumfries and Galloway,Local Authority,2010,All Patterns,24,%%
S12000006,Dumfries and Galloway,Local Authority,2018,All Patterns,6,%%
S12000006,Dumfries and Galloway,Local Authority,2002,Full Time,12.5,%%
S12000006,Dumfries and Galloway,Local Authority,2003,All Patterns,18.1,%%
S12000006,Dumfries and Galloway,Local Authority,1997,Full Time,17.5,%%
S12000006,Dumfries and Galloway,Local Authority,2012,Full Time,10.1,%%
S12000006,Dumfries and Galloway,Local Authority,2011,All Patterns,14.9,%%
S12000006,Dumfries and Galloway,Local Authority,2002,All Patterns,30.5,%%
S12000006,Dumfries and Galloway,Local Authority,2017,Full Time,-14.5,%%
S12000006,Dumfries and Galloway,Local Authority,2015,Part Time,0.8,%%
S12000006,Dumfries and Galloway,Local Authority,1999,All Patterns,30.2,%%
S12000006,Dumfries and Galloway,Local Authority,2014,Full Time,-6.4,%%
S12000006,Dumfries and Galloway,Local Authority,2000,Full Time,20.5,%%
S12000006,Dumfries and Galloway,Local Authority,2001,Part Time,23.8,%%
S12000006,Dumfries and Galloway,Local Authority,2017,All Patterns,6.2,%%
S12000006,Dumfries and Galloway,Local Authority,2013,Full Time,-4.8,%%
S12000006,Dumfries and Galloway,Local Authority,2016,Full Time,-10.9,%%
S12000006,Dumfries and Galloway,Local Authority,2011,Full Time,-4.6,%%
S12000006,Dumfries and Galloway,Local Authority,2003,Full Time,2.5,%%
S12000006,Dumfries and Galloway,Local Authority,2009,All Patterns,14,%%
S12000006,Dumfries and Galloway,Local Authority,2014,Part Time,21.8,%%
S12000006,Dumfries and Galloway,Local Authority,2002,Part Time,15.7,%%
S12000006,Dumfries and Galloway,Local Authority,2005,All Patterns,20.2,%%
S12000006,Dumfries and Galloway,Local Authority,2015,Full Time,-9.3,%%
S12000006,Dumfries and Galloway,Local Authority,2008,Full Time,14.6,%%
S12000006,Dumfries and Galloway,Local Authority,2018,Part Time,-3.6,%%
S12000006,Dumfries and Galloway,Local Authority,2017,Part Time,2,%%
S12000006,Dumfries and Galloway,Local Authority,2000,All Patterns,30.9,%%
S12000006,Dumfries and Galloway,Local Authority,2019,Part Time,-5.1,%%
S12000006,Dumfries and Galloway,Local Authority,2001,Full Time,12.2,%%
S12000006,Dumfries and Galloway,Local Authority,2009,Full Time,2.8,%%
S12000006,Dumfries and Galloway,Local Authority,2016,All Patterns,13.3,%%
S12000006,Dumfries and Galloway,Local Authority,2012,All Patterns,18.9,%%
S12000006,Dumfries and Galloway,Local Authority,2007,Full Time,4,%%
S12000006,Dumfries and Galloway,Local Authority,2003,Part Time,24.6,%%
S12000006,Dumfries and Galloway,Local Authority,1999,Part Time,-5.5,%%
S12000006,Dumfries and Galloway,Local Authority,1998,Part Time,-11.5,%%
S12000006,Dumfries and Galloway,Local Authority,1997,All Patterns,23.2,%%
S12000006,Dumfries and Galloway,Local Authority,2018,Full Time,-10.3,%%
S12000006,Dumfries and Galloway,Local Authority,2007,All Patterns,16.9,%%
S12000006,Dumfries and Galloway,Local Authority,1998,All Patterns,20.8,%%
S12000006,Dumfries and Galloway,Local Authority,2014,All Patterns,14.8,%%
S12000006,Dumfries and Galloway,Local Authority,2010,Full Time,2.1,%%
S12000006,Dumfries and Galloway,Local Authority,2013,All Patterns,17.5,%%
S12000006,Dumfries and Galloway,Local Authority,2019,All Patterns,4.2,%%
S12000006,Dumfries and Galloway,Local Authority,1998,Full Time,10.8,%%
S12000008,East Ayrshire,Local Authority,2007,Full Time,-24.3,%%
S12000008,East Ayrshire,Local Authority,2011,All Patterns,4.8,%%
S12000008,East Ayrshire,Local Authority,2012,All Patterns,7.7,%%
S12000008,East Ayrshire,Local Authority,2007,All Patterns,8.4,%%
S12000008,East Ayrshire,Local Authority,2014,Part Time,8.6,%%
S12000008,East Ayrshire,Local Authority,1998,Part Time,19.4,%%
S12000008,East Ayrshire,Local Authority,2014,All Patterns,13.9,%%
S12000008,East Ayrshire,Local Authority,2015,Full Time,-3.3,%%
S12000008,East Ayrshire,Local Authority,2001,Part Time,17.1,%%
S12000008,East Ayrshire,Local Authority,2000,Full Time,6.1,%%
S12000008,East Ayrshire,Local Authority,1997,Full Time,7.7,%%
S12000008,East Ayrshire,Local Authority,2005,All Patterns,18.2,%%
S12000008,East Ayrshire,Local Authority,2012,Full Time,-10.7,%%
S12000008,East Ayrshire,Local Authority,2002,Part Time,24.7,%%
S12000008,East Ayrshire,Local Authority,2010,Full Time,-19.6,%%
S12000008,East Ayrshire,Local Authority,2018,Part Time,3.1,%%
S12000008,East Ayrshire,Local Authority,2006,All Patterns,11.2,%%
S12000008,East Ayrshire,Local Authority,2003,All Patterns,19.1,%%
S12000008,East Ayrshire,Local Authority,2001,All Patterns,30.4,%%
S12000008,East Ayrshire,Local Authority,2002,All Patterns,25.6,%%
S12000008,East Ayrshire,Local Authority,2004,Full Time,9.8,%%
S12000008,East Ayrshire,Local Authority,2013,All Patterns,6.1,%%
S12000008,East Ayrshire,Local Authority,2016,Part Time,-20.3,%%
S12000008,East Ayrshire,Local Authority,2009,Full Time,-26.5,%%
S12000008,East Ayrshire,Local Authority,2013,Part Time,-20.4,%%
S12000008,East Ayrshire,Local Authority,2015,Part Time,-5.1,%%
S12000008,East Ayrshire,Local Authority,2017,Full Time,-5.3,%%
S12000008,East Ayrshire,Local Authority,2018,All Patterns,8.9,%%
S12000008,East Ayrshire,Local Authority,2002,Full Time,13.4,%%
S12000008,East Ayrshire,Local Authority,1997,All Patterns,22.8,%%
S12000008,East Ayrshire,Local Authority,2003,Full Time,12.1,%%
S12000008,East Ayrshire,Local Authority,2019,Part Time,-15.3,%%
S12000008,East Ayrshire,Local Authority,2009,All Patterns,-0.2,%%
S12000008,East Ayrshire,Local Authority,2010,All Patterns,11.2,%%
S12000008,East Ayrshire,Local Authority,2011,Full Time,-10.9,%%
S12000008,East Ayrshire,Local Authority,1999,Full Time,-5.4,%%
S12000008,East Ayrshire,Local Authority,2019,Full Time,-3.7,%%
S12000008,East Ayrshire,Local Authority,2017,All Patterns,15.8,%%
S12000008,East Ayrshire,Local Authority,2006,Full Time,-23.3,%%
S12000008,East Ayrshire,Local Authority,2008,All Patterns,0.7,%%
S12000008,East Ayrshire,Local Authority,2004,All Patterns,22.6,%%
S12000008,East Ayrshire,Local Authority,1998,Full Time,11.8,%%
S12000008,East Ayrshire,Local Authority,2005,Part Time,-14.5,%%
S12000008,East Ayrshire,Local Authority,2000,All Patterns,21.8,%%
S12000008,East Ayrshire,Local Authority,2016,All Patterns,13.9,%%
S12000008,East Ayrshire,Local Authority,2015,All Patterns,15.8,%%
S12000008,East Ayrshire,Local Authority,2008,Part Time,-29.3,%%
S12000008,East Ayrshire,Local Authority,2016,Full Time,-4.7,%%
S12000008,East Ayrshire,Local Authority,2001,Full Time,10.1,%%
S12000008,East Ayrshire,Local Authority,2006,Part Time,2.6,%%
S12000008,East Ayrshire,Local Authority,2019,All Patterns,10.2,%%
S12000008,East Ayrshire,Local Authority,2008,Full Time,-21.2,%%
S12000008,East Ayrshire,Local Authority,1998,All Patterns,31.8,%%
S12000008,East Ayrshire,Local Authority,2014,Full Time,0.6,%%
S12000008,East Ayrshire,Local Authority,2018,Full Time,-16.5,%%
S12000008,East Ayrshire,Local Authority,2013,Full Time,-16.9,%%
S12000008,East Ayrshire,Local Authority,2005,Full Time,-12.2,%%
S12000010,East Lothian,Local Authority,2004,Full Time,-27,%%
S12000010,East Lothian,Local Authority,2002,Full Time,-10.3,%%
S12000010,East Lothian,Local Authority,2016,Part Time,-13.3,%%
S12000010,East Lothian,Local Authority,2011,Full Time,3,%%
S12000010,East Lothian,Local Authority,2009,Full Time,12.3,%%
S12000010,East Lothian,Local Authority,2018,Part Time,-21.4,%%
S12000010,East Lothian,Local Authority,2010,Full Time,9.8,%%
S12000010,East Lothian,Local Authority,1999,Full Time,-16.8,%%
S12000010,East Lothian,Local Authority,2013,All Patterns,5.4,%%
S12000010,East Lothian,Local Authority,2019,All Patterns,7,%%
S12000010,East Lothian,Local Authority,2004,All Patterns,12.4,%%
S12000010,East Lothian,Local Authority,2005,Full Time,-5.3,%%
S12000010,East Lothian,Local Authority,2012,Full Time,-10,%%
S12000010,East Lothian,Local Authority,2003,All Patterns,10.4,%%
S12000010,East Lothian,Local Authority,2002,All Patterns,21.2,%%
S12000010,East Lothian,Local Authority,1998,Full Time,1.2,%%
S12000010,East Lothian,Local Authority,2013,Full Time,-14.7,%%
S12000010,East Lothian,Local Authority,2008,All Patterns,29.4,%%
S12000010,East Lothian,Local Authority,2019,Full Time,0.6,%%
S12000010,East Lothian,Local Authority,2006,Full Time,-0.3,%%
S12000010,East Lothian,Local Authority,2005,Part Time,-11.4,%%
S12000010,East Lothian,Local Authority,2015,Full Time,-3.2,%%
S12000010,East Lothian,Local Authority,2011,All Patterns,18.4,%%
S12000010,East Lothian,Local Authority,2002,Part Time,59.9,%%
S12000010,East Lothian,Local Authority,2018,Full Time,1.5,%%
S12000010,East Lothian,Local Authority,2014,Full Time,-3.2,%%
S12000010,East Lothian,Local Authority,2009,All Patterns,20.8,%%
S12000010,East Lothian,Local Authority,2007,All Patterns,27.9,%%
S12000010,East Lothian,Local Authority,2017,All Patterns,20.7,%%
S12000010,East Lothian,Local Authority,2004,Part Time,-4,%%
S12000010,East Lothian,Local Authority,2003,Part Time,34.8,%%
S12000010,East Lothian,Local Authority,2006,All Patterns,13.8,%%
S12000010,East Lothian,Local Authority,2016,All Patterns,5.2,%%
S12000010,East Lothian,Local Authority,2005,All Patterns,9.7,%%
S12000010,East Lothian,Local Authority,2007,Full Time,-2,%%
S12000010,East Lothian,Local Authority,2016,Full Time,-13.7,%%
S12000010,East Lothian,Local Authority,1999,Part Time,20.6,%%
S12000010,East Lothian,Local Authority,2012,All Patterns,14.6,%%
S12000010,East Lothian,Local Authority,2019,Part Time,-23.9,%%
S12000010,East Lothian,Local Authority,2014,All Patterns,17.9,%%
S12000010,East Lothian,Local Authority,2010,All Patterns,21.3,%%
S12000010,East Lothian,Local Authority,2018,All Patterns,4.3,%%
S12000010,East Lothian,Local Authority,2017,Full Time,-3.2,%%
S12000010,East Lothian,Local Authority,2015,All Patterns,14.5,%%
S12000010,East Lothian,Local Authority,2003,Full Time,-25.6,%%
S12000011,East Renfrewshire,Local Authority,2005,Full Time,-13.9,%%
S12000011,East Renfrewshire,Local Authority,2013,Part Time,15,%%
S12000011,East Renfrewshire,Local Authority,1999,Part Time,1.6,%%
S12000011,East Renfrewshire,Local Authority,2002,Part Time,-10.9,%%
S12000011,East Renfrewshire,Local Authority,2016,All Patterns,4.3,%%
S12000011,East Renfrewshire,Local Authority,2019,All Patterns,6,%%
S12000011,East Renfrewshire,Local Authority,2014,All Patterns,11.5,%%
S12000011,East Renfrewshire,Local Authority,2015,All Patterns,6,%%
S12000011,East Renfrewshire,Local Authority,2010,Part Time,5.4,%%
S12000011,East Renfrewshire,Local Authority,2017,All Patterns,3.2,%%
S12000011,East Renfrewshire,Local Authority,2012,All Patterns,9.5,%%
S12000011,East Renfrewshire,Local Authority,2005,Part Time,-34.7,%%
S12000011,East Renfrewshire,Local Authority,2016,Part Time,-11.1,%%
S12000011,East Renfrewshire,Local Authority,2009,All Patterns,-31.8,%%
S12000011,East Renfrewshire,Local Authority,2004,Full Time,3.3,%%
S12000011,East Renfrewshire,Local Authority,2005,All Patterns,1.1,%%
S12000011,East Renfrewshire,Local Authority,2018,All Patterns,-0.7,%%
S12000011,East Renfrewshire,Local Authority,2019,Part Time,11.1,%%
S12000011,East Renfrewshire,Local Authority,2006,Full Time,-15.4,%%
S12000011,East Renfrewshire,Local Authority,2018,Part Time,0.2,%%
S12000011,East Renfrewshire,Local Authority,2013,All Patterns,5.2,%%
S12000011,East Renfrewshire,Local Authority,2008,All Patterns,-50.3,%%
S12000011,East Renfrewshire,Local Authority,2009,Full Time,-60.7,%%
S12000011,East Renfrewshire,Local Authority,2002,All Patterns,27.7,%%
S12000011,East Renfrewshire,Local Authority,2018,Full Time,-11.6,%%
S12000011,East Renfrewshire,Local Authority,2019,Full Time,-19.8,%%
S12000011,East Renfrewshire,Local Authority,1997,All Patterns,6.6,%%
S12000011,East Renfrewshire,Local Authority,2015,Full Time,-47.5,%%
S12000011,East Renfrewshire,Local Authority,1999,All Patterns,4.6,%%
S12000011,East Renfrewshire,Local Authority,2017,Full Time,-12.1,%%
S12000011,East Renfrewshire,Local Authority,2007,All Patterns,-21.6,%%
S12000013,Na h-Eileanan Siar,Local Authority,2019,Full Time,-0.8,%%
S12000013,Na h-Eileanan Siar,Local Authority,2007,Part Time,57.2,%%
S12000013,Na h-Eileanan Siar,Local Authority,2015,All Patterns,23.9,%%
S12000013,Na h-Eileanan Siar,Local Authority,2016,All Patterns,12.5,%%
S12000013,Na h-Eileanan Siar,Local Authority,2018,All Patterns,-3.5,%%
S12000013,Na h-Eileanan Siar,Local Authority,2014,Full Time,7.2,%%
S12000013,Na h-Eileanan Siar,Local Authority,2015,Full Time,19.3,%%
S12000013,Na h-Eileanan Siar,Local Authority,2013,Full Time,22.8,%%
S12000013,Na h-Eileanan Siar,Local Authority,2017,All Patterns,5,%%
S12000013,Na h-Eileanan Siar,Local Authority,2019,Part Time,26.7,%%
S12000013,Na h-Eileanan Siar,Local Authority,2014,All Patterns,8,%%
S12000013,Na h-Eileanan Siar,Local Authority,2000,Part Time,41.7,%%
S12000013,Na h-Eileanan Siar,Local Authority,1999,Part Time,39.1,%%
S12000013,Na h-Eileanan Siar,Local Authority,2017,Full Time,2.5,%%
S12000013,Na h-Eileanan Siar,Local Authority,2019,All Patterns,16.5,%%
S12000013,Na h-Eileanan Siar,Local Authority,2016,Full Time,11.6,%%
S12000013,Na h-Eileanan Siar,Local Authority,2018,Full Time,-2.7,%%
S12000014,Falkirk,Local Authority,2000,Full Time,24.6,%%
S12000014,Falkirk,Local Authority,1999,Full Time,27.3,%%
S12000014,Falkirk,Local Authority,2017,All Patterns,21.7,%%
S12000014,Falkirk,Local Authority,2007,Full Time,3.4,%%
S12000014,Falkirk,Local Authority,2014,All Patterns,24.8,%%
S12000014,Falkirk,Local Authority,2012,All Patterns,17.4,%%
S12000014,Falkirk,Local Authority,2010,All Patterns,20.9,%%
S12000014,Falkirk,Local Authority,2000,All Patterns,30.5,%%
S12000014,Falkirk,Local Authority,2006,All Patterns,25.7,%%
S12000014,Falkirk,Local Authority,2019,All Patterns,12.9,%%
S12000014,Falkirk,Local Authority,2007,All Patterns,18.4,%%
S12000014,Falkirk,Local Authority,2013,All Patterns,20.1,%%
S12000014,Falkirk,Local Authority,2009,Full Time,15.3,%%
S12000014,Falkirk,Local Authority,1998,Part Time,33.4,%%
S12000014,Falkirk,Local Authority,2017,Full Time,9.9,%%
S12000014,Falkirk,Local Authority,2011,All Patterns,18.8,%%
S12000014,Falkirk,Local Authority,2003,Full Time,15.1,%%
S12000014,Falkirk,Local Authority,1997,All Patterns,37.1,%%
S12000014,Falkirk,Local Authority,2002,Full Time,25,%%
S12000014,Falkirk,Local Authority,2010,Full Time,5.5,%%
S12000014,Falkirk,Local Authority,2015,Full Time,15.1,%%
S12000014,Falkirk,Local Authority,1999,Part Time,-18.5,%%
S12000014,Falkirk,Local Authority,2010,Part Time,-6.4,%%
S12000014,Falkirk,Local Authority,2018,All Patterns,17.5,%%
S12000014,Falkirk,Local Authority,2018,Full Time,2.8,%%
S12000014,Falkirk,Local Authority,2019,Part Time,-14.2,%%
S12000014,Falkirk,Local Authority,1997,Part Time,-26.9,%%
S12000014,Falkirk,Local Authority,2013,Part Time,-29.3,%%
S12000014,Falkirk,Local Authority,2008,All Patterns,15.6,%%
