FeatureCode,DateCode,Measurement,Units,Value,Cancer Type,Gender
S12000039,2000,Count,Cases,85,Breast Cancer,Female
S12000039,2016,Count,Cases,274,Malignant Neoplasms,Male
S12000039,2007,Count,Cases,221,Malignant Neoplasms,Male
S12000039,2016,Count,Cases,610,Malignant Neoplasms,All
S12000039,2017,Count,Cases,115,Lung Cancer,All
S12000039,2013,Count,Cases,131,Lung Cancer,All
S12000039,2009,Count,Cases,49,Prostate Cancer,Male
S12000039,2011,Count,Cases,52,Prostate Cancer,Male
S12000039,2014,Count,Cases,136,Lung Cancer,All
S12000039,2005,Count,Cases,94,Lung Cancer,All
S12000039,2010,Count,Cases,121,Lung Cancer,All
S12000039,2016,Count,Cases,59,Prostate Cancer,Male
S12000039,2006,Count,Cases,36,Prostate Cancer,Male
S12000039,2016,Count,Cases,115,Lung Cancer,All
S12000039,2005,Count,Cases,41,Prostate Cancer,Male
S12000039,2008,Count,Cases,34,Prostate Cancer,Male
S12000039,2015,Count,Cases,88,Prostate Cancer,Male
S12000039,2010,Count,Cases,34,Prostate Cancer,Male
S12000039,2011,Count,Cases,94,Lung Cancer,All
S12000039,2012,Count,Cases,123,Lung Cancer,All
S12000039,2000,Count,Cases,100,Lung Cancer,All
S12000039,2003,Count,Cases,113,Lung Cancer,All
S12000039,2001,Count,Cases,94,Lung Cancer,All
S12000039,2014,Count,Cases,74,Prostate Cancer,Male
S12000039,2004,Count,Cases,90,Lung Cancer,All
S12000039,1997,Count,Cases,89,Lung Cancer,All
S12000039,1998,Count,Cases,98,Lung Cancer,All
S12000039,1999,Count,Cases,104,Lung Cancer,All
S12000039,2007,Count,Cases,104,Lung Cancer,All
S12000039,2015,Count,Cases,106,Lung Cancer,All
S12000039,2008,Count,Cases,101,Lung Cancer,All
S12000039,2009,Count,Cases,102,Lung Cancer,All
S12000039,2012,Count,Cases,52,Prostate Cancer,Male
S12000039,2013,Count,Cases,55,Prostate Cancer,Male
S12000039,2006,Count,Cases,106,Lung Cancer,All
S12000039,2002,Count,Cases,110,Lung Cancer,All
S12000039,2003,Count,Cases,59,Colorectal Cancer,All
S12000039,2005,Count,Cases,45,Colorectal Cancer,All
S12000039,2006,Count,Cases,311,Malignant Neoplasms,Female
S12000039,2006,Count,Cases,65,Colorectal Cancer,All
S12000039,1997,Count,Cases,62,Colorectal Cancer,All
S12000039,1998,Count,Cases,61,Colorectal Cancer,All
S12000039,2009,Count,Cases,77,Colorectal Cancer,All
S12000039,2016,Count,Cases,336,Malignant Neoplasms,Female
S12000039,2002,Count,Cases,63,Colorectal Cancer,All
S12000039,2014,Count,Cases,306,Malignant Neoplasms,Female
S12000039,1999,Count,Cases,72,Colorectal Cancer,All
S12000039,2000,Count,Cases,70,Colorectal Cancer,All
S12000039,2015,Count,Cases,65,Colorectal Cancer,All
S12000039,2004,Count,Cases,58,Colorectal Cancer,All
S12000039,2007,Count,Cases,48,Colorectal Cancer,All
S12000039,2008,Count,Cases,68,Colorectal Cancer,All
S12000039,1997,Count,Cases,261,Malignant Neoplasms,Female
S12000039,2004,Count,Cases,39,Prostate Cancer,Male
S12000039,2000,Count,Cases,292,Malignant Neoplasms,Female
S12000039,2001,Count,Cases,254,Malignant Neoplasms,Female
S12000039,2007,Count,Cases,35,Prostate Cancer,Male
S12000039,2003,Count,Cases,37,Prostate Cancer,Male
S12000039,2001,Count,Cases,36,Prostate Cancer,Male
S12000039,2002,Count,Cases,39,Prostate Cancer,Male
S12000039,2017,Count,Cases,289,Malignant Neoplasms,Female
S12000039,2000,Count,Cases,26,Prostate Cancer,Male
S12000039,2017,Count,Cases,52,Prostate Cancer,Male
S12000039,1998,Count,Cases,33,Prostate Cancer,Male
S12000039,1997,Count,Cases,38,Prostate Cancer,Male
S12000039,2002,Count,Cases,250,Malignant Neoplasms,Female
S12000039,1999,Count,Cases,32,Prostate Cancer,Male
S12000039,2008,Count,Cases,511,Malignant Neoplasms,All
S12000039,2007,Count,Cases,493,Malignant Neoplasms,All
S12000039,2001,Count,Cases,481,Malignant Neoplasms,All
S12000039,2000,Count,Cases,510,Malignant Neoplasms,All
S12000039,1997,Count,Cases,74,Breast Cancer,Female
S12000039,1998,Count,Cases,59,Breast Cancer,Female
S12000039,2005,Count,Cases,475,Malignant Neoplasms,All
S12000039,2006,Count,Cases,565,Malignant Neoplasms,All
S12000039,2010,Count,Cases,76,Breast Cancer,Female
S12000039,1998,Count,Cases,511,Malignant Neoplasms,All
S12000039,2009,Count,Cases,605,Malignant Neoplasms,All
S12000039,1999,Count,Cases,504,Malignant Neoplasms,All
S12000039,2013,Count,Cases,77,Breast Cancer,Female
S12000039,2004,Count,Cases,487,Malignant Neoplasms,All
S12000039,1997,Count,Cases,506,Malignant Neoplasms,All
S12000039,2003,Count,Cases,538,Malignant Neoplasms,All
S12000039,2017,Count,Cases,58,Breast Cancer,Female
S12000039,2014,Count,Cases,58,Breast Cancer,Female
S12000039,2002,Count,Cases,495,Malignant Neoplasms,All
S12000039,2012,Count,Cases,108,Breast Cancer,Female
S12000040,2017,Count,Cases,535,Malignant Neoplasms,Female
S12000040,1999,Count,Cases,309,Malignant Neoplasms,Male
S12000040,2005,Count,Cases,135,Breast Cancer,Female
S12000040,2009,Count,Cases,130,Prostate Cancer,Male
S12000040,2009,Count,Cases,497,Malignant Neoplasms,Male
S12000040,2010,Count,Cases,448,Malignant Neoplasms,Male
S12000040,1999,Count,Cases,38,Prostate Cancer,Male
S12000040,2014,Count,Cases,156,Lung Cancer,All
S12000040,2006,Count,Cases,94,Prostate Cancer,Male
S12000040,2016,Count,Cases,164,Lung Cancer,All
S12000040,2011,Count,Cases,473,Malignant Neoplasms,Female
S12000040,2016,Count,Cases,510,Malignant Neoplasms,Female
S12000040,2000,Count,Cases,57,Prostate Cancer,Male
S12000040,2001,Count,Cases,56,Prostate Cancer,Male
S12000040,1997,Count,Cases,341,Malignant Neoplasms,Female
S12000040,2016,Count,Cases,143,Breast Cancer,Female
S12000040,1999,Count,Cases,119,Lung Cancer,All
S12000040,2000,Count,Cases,336,Malignant Neoplasms,Male
S12000040,2002,Count,Cases,338,Malignant Neoplasms,Female
S12000040,2007,Count,Cases,85,Prostate Cancer,Male
S12000040,2003,Count,Cases,112,Prostate Cancer,Male
S12000040,2010,Count,Cases,89,Colorectal Cancer,All
S12000040,2012,Count,Cases,112,Colorectal Cancer,All
S12000040,2015,Count,Cases,492,Malignant Neoplasms,Male
S12000040,2011,Count,Cases,127,Colorectal Cancer,All
S12000040,1998,Count,Cases,357,Malignant Neoplasms,Female
S12000040,2009,Count,Cases,904,Malignant Neoplasms,All
S12000040,2015,Count,Cases,178,Lung Cancer,All
S12000040,2002,Count,Cases,346,Malignant Neoplasms,Male
S12000040,2006,Count,Cases,382,Malignant Neoplasms,Female
S12000040,2013,Count,Cases,111,Prostate Cancer,Male
S12000040,2010,Count,Cases,96,Prostate Cancer,Male
S12000040,2014,Count,Cases,85,Prostate Cancer,Male
S12000040,2001,Count,Cases,314,Malignant Neoplasms,Male
S12000040,2009,Count,Cases,112,Colorectal Cancer,All
S12000040,2001,Count,Cases,111,Breast Cancer,Female
S12000040,2007,Count,Cases,365,Malignant Neoplasms,Male
S12000040,2005,Count,Cases,406,Malignant Neoplasms,Male
S12000040,2000,Count,Cases,86,Colorectal Cancer,All
S12000040,1997,Count,Cases,103,Colorectal Cancer,All
S12000040,2017,Count,Cases,174,Lung Cancer,All
S12000040,2003,Count,Cases,74,Colorectal Cancer,All
S12000040,2012,Count,Cases,410,Malignant Neoplasms,Female
S12000040,2016,Count,Cases,984,Malignant Neoplasms,All
S12000040,2005,Count,Cases,96,Colorectal Cancer,All
S12000040,2000,Count,Cases,129,Lung Cancer,All
S12000040,1998,Count,Cases,86,Colorectal Cancer,All
S12000040,2002,Count,Cases,84,Colorectal Cancer,All
S12000040,2006,Count,Cases,100,Colorectal Cancer,All
S12000040,2008,Count,Cases,103,Prostate Cancer,Male
S12000040,1998,Count,Cases,316,Malignant Neoplasms,Male
S12000040,2004,Count,Cases,79,Colorectal Cancer,All
S12000040,2004,Count,Cases,362,Malignant Neoplasms,Male
S12000040,2003,Count,Cases,410,Malignant Neoplasms,Male
S12000040,1999,Count,Cases,85,Colorectal Cancer,All
S12000040,2006,Count,Cases,385,Malignant Neoplasms,Male
S12000040,2015,Count,Cases,98,Prostate Cancer,Male
S12000040,2005,Count,Cases,135,Lung Cancer,All
S12000040,2008,Count,Cases,434,Malignant Neoplasms,Male
S12000040,2012,Count,Cases,101,Prostate Cancer,Male
S12000040,1998,Count,Cases,60,Prostate Cancer,Male
S12000040,2016,Count,Cases,474,Malignant Neoplasms,Male
S12000040,2010,Count,Cases,175,Breast Cancer,Female
S12000040,2014,Count,Cases,521,Malignant Neoplasms,Female
S12000040,2001,Count,Cases,115,Lung Cancer,All
S12000040,1998,Count,Cases,121,Lung Cancer,All
S12000040,2013,Count,Cases,534,Malignant Neoplasms,Female
S12000040,2011,Count,Cases,127,Breast Cancer,Female
S12000040,2010,Count,Cases,513,Malignant Neoplasms,Female
S12000040,1997,Count,Cases,331,Malignant Neoplasms,Male
S12000040,2017,Count,Cases,120,Colorectal Cancer,All
S12000040,2016,Count,Cases,99,Prostate Cancer,Male
S12000040,1997,Count,Cases,44,Prostate Cancer,Male
S12000040,2007,Count,Cases,489,Malignant Neoplasms,Female
S12000040,2001,Count,Cases,69,Colorectal Cancer,All
S12000040,2004,Count,Cases,791,Malignant Neoplasms,All
S12000040,2017,Count,Cases,115,Prostate Cancer,Male
S12000040,2012,Count,Cases,144,Lung Cancer,All
S12000040,2003,Count,Cases,792,Malignant Neoplasms,All
S12000040,2000,Count,Cases,307,Malignant Neoplasms,Female
S12000040,2009,Count,Cases,88,Breast Cancer,Female
S12000040,2002,Count,Cases,93,Breast Cancer,Female
S12000040,2005,Count,Cases,388,Malignant Neoplasms,Female
S12000040,2006,Count,Cases,767,Malignant Neoplasms,All
S12000040,2009,Count,Cases,156,Lung Cancer,All
S12000040,2010,Count,Cases,169,Lung Cancer,All
S12000040,2010,Count,Cases,961,Malignant Neoplasms,All
S12000040,2003,Count,Cases,382,Malignant Neoplasms,Female
S12000040,2011,Count,Cases,966,Malignant Neoplasms,All
S12000040,2009,Count,Cases,407,Malignant Neoplasms,Female
S12000040,1997,Count,Cases,80,Breast Cancer,Female
S12000040,2016,Count,Cases,87,Colorectal Cancer,All
S12000040,2013,Count,Cases,113,Colorectal Cancer,All
S12000040,2004,Count,Cases,100,Prostate Cancer,Male
S12000040,2014,Count,Cases,101,Colorectal Cancer,All
S12000040,2003,Count,Cases,104,Breast Cancer,Female
S12000040,2000,Count,Cases,60,Breast Cancer,Female
S12000040,2001,Count,Cases,681,Malignant Neoplasms,All
S12000040,2008,Count,Cases,114,Breast Cancer,Female
S12000040,2015,Count,Cases,102,Breast Cancer,Female
S12000040,2008,Count,Cases,111,Colorectal Cancer,All
S12000040,2017,Count,Cases,534,Malignant Neoplasms,Male
S12000040,2004,Count,Cases,147,Breast Cancer,Female
S12000040,2006,Count,Cases,98,Breast Cancer,Female
S12000040,2008,Count,Cases,159,Lung Cancer,All
S12000040,1999,Count,Cases,84,Breast Cancer,Female
S12000040,2007,Count,Cases,165,Breast Cancer,Female
S12000040,2013,Count,Cases,152,Breast Cancer,Female
S12000040,1997,Count,Cases,672,Malignant Neoplasms,All
S12000040,2005,Count,Cases,114,Prostate Cancer,Male
S12000040,2003,Count,Cases,138,Lung Cancer,All
S12000040,1998,Count,Cases,673,Malignant Neoplasms,All
S12000040,2008,Count,Cases,482,Malignant Neoplasms,Female
S12000040,1997,Count,Cases,132,Lung Cancer,All
S12000040,2013,Count,Cases,1010,Malignant Neoplasms,All
S12000040,2015,Count,Cases,467,Malignant Neoplasms,Female
S12000040,2012,Count,Cases,840,Malignant Neoplasms,All
S12000040,2001,Count,Cases,367,Malignant Neoplasms,Female
S12000040,2002,Count,Cases,684,Malignant Neoplasms,All
S12000040,2014,Count,Cases,971,Malignant Neoplasms,All
S12000040,2017,Count,Cases,1069,Malignant Neoplasms,All
S12000040,2007,Count,Cases,854,Malignant Neoplasms,All
S12000040,2014,Count,Cases,168,Breast Cancer,Female
S12000040,2004,Count,Cases,429,Malignant Neoplasms,Female
S12000040,2008,Count,Cases,916,Malignant Neoplasms,All
S12000040,2000,Count,Cases,643,Malignant Neoplasms,All
S12000040,2015,Count,Cases,109,Colorectal Cancer,All
S12000040,2011,Count,Cases,493,Malignant Neoplasms,Male
S12000040,2002,Count,Cases,68,Prostate Cancer,Male
S12000040,2007,Count,Cases,131,Lung Cancer,All
S12000040,2005,Count,Cases,794,Malignant Neoplasms,All
S12000040,2015,Count,Cases,959,Malignant Neoplasms,All
S12000040,2017,Count,Cases,182,Breast Cancer,Female
S12000040,2012,Count,Cases,430,Malignant Neoplasms,Male
S12000040,1999,Count,Cases,304,Malignant Neoplasms,Female
S12000040,2004,Count,Cases,146,Lung Cancer,All
S12000040,1999,Count,Cases,613,Malignant Neoplasms,All
S12000040,2013,Count,Cases,168,Lung Cancer,All
S12000040,2002,Count,Cases,115,Lung Cancer,All
S12000040,2006,Count,Cases,139,Lung Cancer,All
S12000040,2007,Count,Cases,98,Colorectal Cancer,All
S12000040,2014,Count,Cases,450,Malignant Neoplasms,Male
S12000040,2011,Count,Cases,159,Lung Cancer,All
S12000040,1998,Count,Cases,120,Breast Cancer,Female
S12000040,2013,Count,Cases,476,Malignant Neoplasms,Male
S12000040,2011,Count,Cases,114,Prostate Cancer,Male
S12000040,2012,Count,Cases,91,Breast Cancer,Female
S92000003,2010,Count,Cases,30548,Malignant Neoplasms,All
S92000003,2013,Count,Cases,32073,Malignant Neoplasms,All
S92000003,1999,Count,Cases,12426,Malignant Neoplasms,Male
S92000003,2014,Count,Cases,32592,Malignant Neoplasms,All
S92000003,2016,Count,Cases,31894,Malignant Neoplasms,All
S92000003,1999,Count,Cases,3445,Colorectal Cancer,All
S92000003,2011,Count,Cases,31235,Malignant Neoplasms,All
S92000003,2013,Count,Cases,15660,Malignant Neoplasms,Male
S92000003,2012,Count,Cases,31521,Malignant Neoplasms,All
S92000003,2012,Count,Cases,16283,Malignant Neoplasms,Female
S92000003,2016,Count,Cases,3275,Prostate Cancer,Male
S92000003,2003,Count,Cases,3908,Breast Cancer,Female
S92000003,2001,Count,Cases,13428,Malignant Neoplasms,Female
S92000003,2000,Count,Cases,3571,Colorectal Cancer,All
S92000003,2003,Count,Cases,4561,Lung Cancer,All
S92000003,2003,Count,Cases,13282,Malignant Neoplasms,Male
S92000003,1998,Count,Cases,4649,Lung Cancer,All
S92000003,2011,Count,Cases,15312,Malignant Neoplasms,Male
S92000003,2008,Count,Cases,4958,Lung Cancer,All
S92000003,2003,Count,Cases,27120,Malignant Neoplasms,All
S92000003,2001,Count,Cases,4386,Lung Cancer,All
S92000003,2008,Count,Cases,29790,Malignant Neoplasms,All
S92000003,2017,Count,Cases,15988,Malignant Neoplasms,Male
S92000003,2006,Count,Cases,14299,Malignant Neoplasms,Female
S92000003,2004,Count,Cases,3978,Breast Cancer,Female
S92000003,2017,Count,Cases,3561,Prostate Cancer,Male
S92000003,2015,Count,Cases,3739,Colorectal Cancer,All
S92000003,2002,Count,Cases,3418,Colorectal Cancer,All
S92000003,2008,Count,Cases,4315,Breast Cancer,Female
S92000003,2014,Count,Cases,3788,Colorectal Cancer,All
S92000003,1997,Count,Cases,13589,Malignant Neoplasms,Female
S92000003,2001,Count,Cases,26180,Malignant Neoplasms,All
S92000003,2004,Count,Cases,3525,Colorectal Cancer,All
S92000003,2010,Count,Cases,4043,Colorectal Cancer,All
S92000003,2014,Count,Cases,5509,Lung Cancer,All
S92000003,2008,Count,Cases,15331,Malignant Neoplasms,Female
S92000003,2006,Count,Cases,2778,Prostate Cancer,Male
S92000003,2016,Count,Cases,4624,Breast Cancer,Female
S92000003,2015,Count,Cases,4760,Breast Cancer,Female
S92000003,2011,Count,Cases,4037,Colorectal Cancer,All
S92000003,2007,Count,Cases,14947,Malignant Neoplasms,Female
S92000003,2012,Count,Cases,5286,Lung Cancer,All
S92000003,2016,Count,Cases,15568,Malignant Neoplasms,Male
S92000003,2003,Count,Cases,2581,Prostate Cancer,Male
S92000003,2015,Count,Cases,16593,Malignant Neoplasms,Female
S92000003,1997,Count,Cases,12607,Malignant Neoplasms,Male
S92000003,2009,Count,Cases,3090,Prostate Cancer,Male
S92000003,2013,Count,Cases,3865,Colorectal Cancer,All
S92000003,2011,Count,Cases,15923,Malignant Neoplasms,Female
S92000003,1998,Count,Cases,13277,Malignant Neoplasms,Female
S92000003,2005,Count,Cases,2610,Prostate Cancer,Male
S92000003,2012,Count,Cases,3916,Colorectal Cancer,All
S92000003,2002,Count,Cases,26763,Malignant Neoplasms,All
S92000003,1997,Count,Cases,26196,Malignant Neoplasms,All
S92000003,2008,Count,Cases,2976,Prostate Cancer,Male
S92000003,2006,Count,Cases,28048,Malignant Neoplasms,All
S92000003,2012,Count,Cases,15238,Malignant Neoplasms,Male
S92000003,2017,Count,Cases,4704,Breast Cancer,Female
S92000003,2014,Count,Cases,16043,Malignant Neoplasms,Male
S92000003,2017,Count,Cases,32449,Malignant Neoplasms,All
S92000003,1997,Count,Cases,3413,Colorectal Cancer,All
S92000003,2013,Count,Cases,5344,Lung Cancer,All
S92000003,2015,Count,Cases,32238,Malignant Neoplasms,All
S92000003,2009,Count,Cases,4419,Breast Cancer,Female
S92000003,1998,Count,Cases,12480,Malignant Neoplasms,Male
S92000003,2010,Count,Cases,14706,Malignant Neoplasms,Male
S92000003,2016,Count,Cases,5154,Lung Cancer,All
S92000003,2011,Count,Cases,5206,Lung Cancer,All
S92000003,1998,Count,Cases,1999,Prostate Cancer,Male
S92000003,2001,Count,Cases,3624,Breast Cancer,Female
S92000003,1999,Count,Cases,13418,Malignant Neoplasms,Female
S92000003,2010,Count,Cases,5049,Lung Cancer,All
S92000003,2000,Count,Cases,26165,Malignant Neoplasms,All
S92000003,2014,Count,Cases,16549,Malignant Neoplasms,Female
S92000003,1997,Count,Cases,4707,Lung Cancer,All
S92000003,2014,Count,Cases,3377,Prostate Cancer,Male
S92000003,2009,Count,Cases,30565,Malignant Neoplasms,All
S92000003,2005,Count,Cases,4702,Lung Cancer,All
S92000003,2017,Count,Cases,3791,Colorectal Cancer,All
S92000003,2009,Count,Cases,14904,Malignant Neoplasms,Male
S92000003,2015,Count,Cases,5152,Lung Cancer,All
S92000003,2017,Count,Cases,5366,Lung Cancer,All
S92000003,2013,Count,Cases,16413,Malignant Neoplasms,Female
S92000003,2017,Count,Cases,16461,Malignant Neoplasms,Female
S92000003,2002,Count,Cases,3722,Breast Cancer,Female
S92000003,2000,Count,Cases,12538,Malignant Neoplasms,Male
S92000003,2001,Count,Cases,12752,Malignant Neoplasms,Male
S92000003,1998,Count,Cases,25757,Malignant Neoplasms,All
S92000003,1998,Count,Cases,3625,Breast Cancer,Female
S92000003,2005,Count,Cases,14185,Malignant Neoplasms,Female
S92000003,2006,Count,Cases,3522,Colorectal Cancer,All
S92000003,1997,Count,Cases,1982,Prostate Cancer,Male
S92000003,2005,Count,Cases,3489,Colorectal Cancer,All
S92000003,2004,Count,Cases,27833,Malignant Neoplasms,All
S92000003,2003,Count,Cases,3456,Colorectal Cancer,All
S92000003,2002,Count,Cases,4704,Lung Cancer,All
S92000003,2005,Count,Cases,27505,Malignant Neoplasms,All
S92000003,2000,Count,Cases,4567,Lung Cancer,All
S92000003,2002,Count,Cases,2520,Prostate Cancer,Male
S92000003,2011,Count,Cases,4598,Breast Cancer,Female
S92000003,2007,Count,Cases,4135,Breast Cancer,Female
S92000003,2004,Count,Cases,4747,Lung Cancer,All
S92000003,2006,Count,Cases,4830,Lung Cancer,All
S92000003,2012,Count,Cases,4628,Breast Cancer,Female
S92000003,2007,Count,Cases,13951,Malignant Neoplasms,Male
S92000003,2006,Count,Cases,4149,Breast Cancer,Female
S92000003,2000,Count,Cases,13627,Malignant Neoplasms,Female
S92000003,2010,Count,Cases,2969,Prostate Cancer,Male
S92000003,2013,Count,Cases,3412,Prostate Cancer,Male
S92000003,2010,Count,Cases,4504,Breast Cancer,Female
S92000003,2008,Count,Cases,14459,Malignant Neoplasms,Male
S92000003,2015,Count,Cases,15645,Malignant Neoplasms,Male
S92000003,2016,Count,Cases,3756,Colorectal Cancer,All
S92000003,2013,Count,Cases,4698,Breast Cancer,Female
S92000003,1997,Count,Cases,3466,Breast Cancer,Female
S92000003,2000,Count,Cases,3736,Breast Cancer,Female
S92000003,2016,Count,Cases,16326,Malignant Neoplasms,Female
S92000003,2010,Count,Cases,15842,Malignant Neoplasms,Female
S92000003,2005,Count,Cases,13320,Malignant Neoplasms,Male
S92000003,1999,Count,Cases,3689,Breast Cancer,Female
S92000003,2014,Count,Cases,4605,Breast Cancer,Female
S92000003,2002,Count,Cases,13157,Malignant Neoplasms,Male
S92000003,2015,Count,Cases,3246,Prostate Cancer,Male
S92000003,2004,Count,Cases,14231,Malignant Neoplasms,Female
S92000003,2004,Count,Cases,13602,Malignant Neoplasms,Male
S92000003,2012,Count,Cases,3116,Prostate Cancer,Male
S92000003,2011,Count,Cases,3234,Prostate Cancer,Male
S92000003,2009,Count,Cases,3977,Colorectal Cancer,All
S92000003,2002,Count,Cases,13606,Malignant Neoplasms,Female
S92000003,1998,Count,Cases,3319,Colorectal Cancer,All
S92000003,2009,Count,Cases,15661,Malignant Neoplasms,Female
S92000003,2000,Count,Cases,2127,Prostate Cancer,Male
S92000003,1999,Count,Cases,25844,Malignant Neoplasms,All
S92000003,1999,Count,Cases,2052,Prostate Cancer,Male
S92000003,2003,Count,Cases,13838,Malignant Neoplasms,Female
S92000003,2007,Count,Cases,2780,Prostate Cancer,Male
S92000003,2001,Count,Cases,2259,Prostate Cancer,Male
S92000003,2009,Count,Cases,5147,Lung Cancer,All
S92000003,2007,Count,Cases,28898,Malignant Neoplasms,All
S92000003,2008,Count,Cases,3916,Colorectal Cancer,All
S92000003,2004,Count,Cases,2762,Prostate Cancer,Male
S92000003,2007,Count,Cases,3727,Colorectal Cancer,All
S92000003,2006,Count,Cases,13749,Malignant Neoplasms,Male
S92000003,2001,Count,Cases,3536,Colorectal Cancer,All
S92000003,2007,Count,Cases,4963,Lung Cancer,All
S92000003,1999,Count,Cases,4526,Lung Cancer,All
S92000003,2005,Count,Cases,4062,Breast Cancer,Female
S12000005,1999,Count,Cases,28,Breast Cancer,Female
S12000005,2010,Count,Cases,164,Malignant Neoplasms,Female
S12000005,2003,Count,Cases,32,Colorectal Cancer,All
S12000005,2009,Count,Cases,33,Breast Cancer,Female
S12000005,2005,Count,Cases,36,Colorectal Cancer,All
S12000005,2016,Count,Cases,147,Malignant Neoplasms,Female
S12000005,2014,Count,Cases,65,Breast Cancer,Female
S12000005,1998,Count,Cases,26,Colorectal Cancer,All
S12000005,2017,Count,Cases,169,Malignant Neoplasms,Male
S12000005,2014,Count,Cases,59,Lung Cancer,All
S12000005,2017,Count,Cases,65,Lung Cancer,All
S12000005,1999,Count,Cases,33,Colorectal Cancer,All
S12000005,2015,Count,Cases,45,Colorectal Cancer,All
S12000005,2016,Count,Cases,41,Breast Cancer,Female
S12000005,2000,Count,Cases,54,Lung Cancer,All
S12000005,2006,Count,Cases,36,Colorectal Cancer,All
S12000005,2016,Count,Cases,24,Prostate Cancer,Male
S12000005,2010,Count,Cases,36,Lung Cancer,All
S12000005,2007,Count,Cases,24,Colorectal Cancer,All
S12000005,2016,Count,Cases,45,Lung Cancer,All
S12000005,1998,Count,Cases,127,Malignant Neoplasms,Female
S12000005,2000,Count,Cases,26,Prostate Cancer,Male
S12000005,2003,Count,Cases,26,Prostate Cancer,Male
S12000005,2016,Count,Cases,296,Malignant Neoplasms,All
S12000005,2015,Count,Cases,26,Breast Cancer,Female
S12000005,2012,Count,Cases,163,Malignant Neoplasms,Female
S12000005,2006,Count,Cases,47,Lung Cancer,All
S12000005,2013,Count,Cases,21,Prostate Cancer,Male
S12000005,2013,Count,Cases,182,Malignant Neoplasms,Female
S12000005,2009,Count,Cases,33,Colorectal Cancer,All
