area_code,reference_area,area_type,year,vaccination_uptake,measure_type,value,units
S12000014,Falkirk,Local Authority,2017,Vaccinated by 5 Years,Count,1808,Children
S12000013,Na h-Eileanan Siar,Local Authority,2016,Vaccinated by 5 Years,Count,235,Children
S12000014,Falkirk,Local Authority,2008,Number In 5 Year Cohort,Count,1623,Children
S12000014,Falkirk,Local Authority,2011,Number In 5 Year Cohort,Count,1763,Children
S12000014,Falkirk,Local Authority,2013,Number In 5 Year Cohort,Count,1926,Children
S12000014,Falkirk,Local Authority,2017,Number In 5 Year Cohort,Count,1840,Children
S12000014,Falkirk,Local Authority,2010,Vaccinated by 5 Years,Count,1713,Children
S12000014,Falkirk,Local Authority,2009,Number In 5 Year Cohort,Count,1743,Children
S12000014,Falkirk,Local Authority,2015,Vaccinated by 5 Years,Count,1821,Children
S12000014,Falkirk,Local Authority,2016,Number In 5 Year Cohort,Count,1841,Children
S12000014,Falkirk,Local Authority,2018,Number In 5 Year Cohort,Count,1737,Children
S12000013,Na h-Eileanan Siar,Local Authority,2009,Number In 5 Year Cohort,Count,254,Children
S12000013,Na h-Eileanan Siar,Local Authority,2010,Number In 5 Year Cohort,Count,249,Children
S12000013,Na h-Eileanan Siar,Local Authority,2014,Number In 5 Year Cohort,Count,237,Children
S12000013,Na h-Eileanan Siar,Local Authority,2017,Number In 5 Year Cohort,Count,263,Children
S12000013,Na h-Eileanan Siar,Local Authority,2011,Number In 5 Year Cohort,Count,288,Children
S12000013,Na h-Eileanan Siar,Local Authority,2012,Vaccinated by 5 Years,Count,272,Children
S12000013,Na h-Eileanan Siar,Local Authority,2012,Number In 5 Year Cohort,Count,280,Children
S12000013,Na h-Eileanan Siar,Local Authority,2017,Vaccinated by 5 Years,Count,259,Children
S12000013,Na h-Eileanan Siar,Local Authority,2008,Number In 5 Year Cohort,Count,268,Children
S12000013,Na h-Eileanan Siar,Local Authority,2014,Vaccinated by 5 Years,Count,233,Children
S12000013,Na h-Eileanan Siar,Local Authority,2013,Number In 5 Year Cohort,Count,275,Children
S12000013,Na h-Eileanan Siar,Local Authority,2015,Number In 5 Year Cohort,Count,275,Children
S12000013,Na h-Eileanan Siar,Local Authority,2015,Vaccinated by 5 Years,Count,265,Children
S12000013,Na h-Eileanan Siar,Local Authority,2016,Number In 5 Year Cohort,Count,243,Children
S12000023,Orkney Islands,Local Authority,2008,Vaccinated by 5 Years,Count,178,Children
S12000023,Orkney Islands,Local Authority,2014,Number In 5 Year Cohort,Count,222,Children
S12000023,Orkney Islands,Local Authority,2017,Number In 5 Year Cohort,Count,219,Children
S12000023,Orkney Islands,Local Authority,2011,Vaccinated by 5 Years,Count,226,Children
S12000023,Orkney Islands,Local Authority,2012,Vaccinated by 5 Years,Count,208,Children
S12000023,Orkney Islands,Local Authority,2010,Vaccinated by 5 Years,Count,199,Children
S12000023,Orkney Islands,Local Authority,2013,Number In 5 Year Cohort,Count,249,Children
S12000023,Orkney Islands,Local Authority,2015,Number In 5 Year Cohort,Count,232,Children
S12000026,Scottish Borders,Local Authority,2012,Number In 5 Year Cohort,Count,1190,Children
S12000026,Scottish Borders,Local Authority,2017,Number In 5 Year Cohort,Count,1169,Children
S12000026,Scottish Borders,Local Authority,2008,Number In 5 Year Cohort,Count,1157,Children
S12000026,Scottish Borders,Local Authority,2016,Vaccinated by 5 Years,Count,1107,Children
S12000026,Scottish Borders,Local Authority,2011,Number In 5 Year Cohort,Count,1212,Children
S12000023,Orkney Islands,Local Authority,2009,Vaccinated by 5 Years,Count,168,Children
S12000026,Scottish Borders,Local Authority,2010,Number In 5 Year Cohort,Count,1135,Children
S12000023,Orkney Islands,Local Authority,2016,Number In 5 Year Cohort,Count,220,Children
S12000023,Orkney Islands,Local Authority,2010,Number In 5 Year Cohort,Count,207,Children
S12000023,Orkney Islands,Local Authority,2018,Vaccinated by 5 Years,Count,214,Children
S12000023,Orkney Islands,Local Authority,2015,Vaccinated by 5 Years,Count,220,Children
S12000023,Orkney Islands,Local Authority,2011,Number In 5 Year Cohort,Count,235,Children
S12000021,North Ayrshire,Local Authority,2015,Number In 5 Year Cohort,Count,1515,Children
S12000023,Orkney Islands,Local Authority,2012,Number In 5 Year Cohort,Count,217,Children
S12000023,Orkney Islands,Local Authority,2008,Number In 5 Year Cohort,Count,201,Children
S12000023,Orkney Islands,Local Authority,2014,Vaccinated by 5 Years,Count,210,Children
S12000023,Orkney Islands,Local Authority,2017,Vaccinated by 5 Years,Count,206,Children
S12000023,Orkney Islands,Local Authority,2013,Vaccinated by 5 Years,Count,240,Children
S12000023,Orkney Islands,Local Authority,2009,Number In 5 Year Cohort,Count,173,Children
S12000023,Orkney Islands,Local Authority,2018,Number In 5 Year Cohort,Count,221,Children
S12000023,Orkney Islands,Local Authority,2016,Vaccinated by 5 Years,Count,208,Children
S12000027,Shetland Islands,Local Authority,2012,Vaccinated by 5 Years,Count,238,Children
S12000027,Shetland Islands,Local Authority,2010,Number In 5 Year Cohort,Count,253,Children
S12000027,Shetland Islands,Local Authority,2012,Number In 5 Year Cohort,Count,249,Children
S12000027,Shetland Islands,Local Authority,2015,Number In 5 Year Cohort,Count,273,Children
S12000026,Scottish Borders,Local Authority,2010,Vaccinated by 5 Years,Count,1096,Children
S12000026,Scottish Borders,Local Authority,2009,Number In 5 Year Cohort,Count,1195,Children
S12000027,Shetland Islands,Local Authority,2008,Number In 5 Year Cohort,Count,244,Children
S12000027,Shetland Islands,Local Authority,2011,Number In 5 Year Cohort,Count,283,Children
S12000027,Shetland Islands,Local Authority,2014,Vaccinated by 5 Years,Count,273,Children
S12000027,Shetland Islands,Local Authority,2017,Number In 5 Year Cohort,Count,289,Children
S12000027,Shetland Islands,Local Authority,2009,Number In 5 Year Cohort,Count,242,Children
S12000027,Shetland Islands,Local Authority,2009,Vaccinated by 5 Years,Count,231,Children
S12000027,Shetland Islands,Local Authority,2010,Vaccinated by 5 Years,Count,232,Children
S12000027,Shetland Islands,Local Authority,2011,Vaccinated by 5 Years,Count,264,Children
S12000027,Shetland Islands,Local Authority,2014,Number In 5 Year Cohort,Count,285,Children
S12000026,Scottish Borders,Local Authority,2016,Number In 5 Year Cohort,Count,1141,Children
S12000026,Scottish Borders,Local Authority,2017,Vaccinated by 5 Years,Count,1143,Children
S12000026,Scottish Borders,Local Authority,2011,Vaccinated by 5 Years,Count,1179,Children
S12000026,Scottish Borders,Local Authority,2008,Vaccinated by 5 Years,Count,1105,Children
S12000026,Scottish Borders,Local Authority,2014,Number In 5 Year Cohort,Count,1169,Children
S12000026,Scottish Borders,Local Authority,2013,Number In 5 Year Cohort,Count,1156,Children
S12000026,Scottish Borders,Local Authority,2015,Number In 5 Year Cohort,Count,1146,Children
S12000026,Scottish Borders,Local Authority,2013,Vaccinated by 5 Years,Count,1129,Children
S12000026,Scottish Borders,Local Authority,2012,Vaccinated by 5 Years,Count,1159,Children
S12000026,Scottish Borders,Local Authority,2018,Vaccinated by 5 Years,Count,1113,Children
S12000026,Scottish Borders,Local Authority,2015,Vaccinated by 5 Years,Count,1121,Children
S12000026,Scottish Borders,Local Authority,2018,Number In 5 Year Cohort,Count,1154,Children
S12000026,Scottish Borders,Local Authority,2009,Vaccinated by 5 Years,Count,1155,Children
S12000026,Scottish Borders,Local Authority,2014,Vaccinated by 5 Years,Count,1138,Children
S12000020,Moray,Local Authority,2008,Vaccinated by 5 Years,Count,820,Children
S12000020,Moray,Local Authority,2010,Vaccinated by 5 Years,Count,891,Children
S12000020,Moray,Local Authority,2013,Number In 5 Year Cohort,Count,1012,Children
S12000020,Moray,Local Authority,2012,Number In 5 Year Cohort,Count,1040,Children
S12000020,Moray,Local Authority,2014,Number In 5 Year Cohort,Count,1030,Children
S12000019,Midlothian,Local Authority,2008,Number In 5 Year Cohort,Count,906,Children
S12000020,Moray,Local Authority,2016,Number In 5 Year Cohort,Count,1021,Children
S12000020,Moray,Local Authority,2011,Vaccinated by 5 Years,Count,852,Children
S12000020,Moray,Local Authority,2013,Vaccinated by 5 Years,Count,974,Children
S12000020,Moray,Local Authority,2016,Vaccinated by 5 Years,Count,999,Children
S12000020,Moray,Local Authority,2009,Number In 5 Year Cohort,Count,884,Children
S12000020,Moray,Local Authority,2015,Vaccinated by 5 Years,Count,956,Children
S12000020,Moray,Local Authority,2008,Number In 5 Year Cohort,Count,867,Children
S12000020,Moray,Local Authority,2011,Number In 5 Year Cohort,Count,890,Children
S12000020,Moray,Local Authority,2010,Number In 5 Year Cohort,Count,923,Children
S12000019,Midlothian,Local Authority,2010,Number In 5 Year Cohort,Count,976,Children
S12000019,Midlothian,Local Authority,2014,Number In 5 Year Cohort,Count,1048,Children
S12000019,Midlothian,Local Authority,2017,Number In 5 Year Cohort,Count,1186,Children
S12000019,Midlothian,Local Authority,2014,Vaccinated by 5 Years,Count,1031,Children
S12000019,Midlothian,Local Authority,2010,Vaccinated by 5 Years,Count,956,Children
S12000019,Midlothian,Local Authority,2008,Vaccinated by 5 Years,Count,875,Children
S12000019,Midlothian,Local Authority,2013,Number In 5 Year Cohort,Count,1018,Children
S12000019,Midlothian,Local Authority,2017,Vaccinated by 5 Years,Count,1157,Children
S12000019,Midlothian,Local Authority,2016,Number In 5 Year Cohort,Count,1123,Children
S12000019,Midlothian,Local Authority,2016,Vaccinated by 5 Years,Count,1092,Children
S12000019,Midlothian,Local Authority,2009,Vaccinated by 5 Years,Count,894,Children
S12000019,Midlothian,Local Authority,2009,Number In 5 Year Cohort,Count,924,Children
S12000019,Midlothian,Local Authority,2018,Number In 5 Year Cohort,Count,1172,Children
S12000019,Midlothian,Local Authority,2012,Number In 5 Year Cohort,Count,1033,Children
S12000021,North Ayrshire,Local Authority,2009,Number In 5 Year Cohort,Count,1499,Children
S12000021,North Ayrshire,Local Authority,2017,Number In 5 Year Cohort,Count,1441,Children
S12000021,North Ayrshire,Local Authority,2014,Vaccinated by 5 Years,Count,1440,Children
S12000021,North Ayrshire,Local Authority,2018,Vaccinated by 5 Years,Count,1305,Children
S12000021,North Ayrshire,Local Authority,2009,Vaccinated by 5 Years,Count,1451,Children
S12000021,North Ayrshire,Local Authority,2008,Number In 5 Year Cohort,Count,1430,Children
S12000021,North Ayrshire,Local Authority,2017,Vaccinated by 5 Years,Count,1397,Children
S12000021,North Ayrshire,Local Authority,2016,Vaccinated by 5 Years,Count,1485,Children
S12000021,North Ayrshire,Local Authority,2012,Vaccinated by 5 Years,Count,1490,Children
S12000021,North Ayrshire,Local Authority,2013,Number In 5 Year Cohort,Count,1512,Children
S12000021,North Ayrshire,Local Authority,2014,Number In 5 Year Cohort,Count,1474,Children
S12000021,North Ayrshire,Local Authority,2018,Number In 5 Year Cohort,Count,1359,Children
S12000021,North Ayrshire,Local Authority,2011,Number In 5 Year Cohort,Count,1506,Children
S12000021,North Ayrshire,Local Authority,2015,Vaccinated by 5 Years,Count,1482,Children
S12000021,North Ayrshire,Local Authority,2013,Vaccinated by 5 Years,Count,1481,Children
S12000020,Moray,Local Authority,2009,Vaccinated by 5 Years,Count,845,Children
S12000020,Moray,Local Authority,2018,Number In 5 Year Cohort,Count,998,Children
S12000020,Moray,Local Authority,2015,Number In 5 Year Cohort,Count,987,Children
S12000020,Moray,Local Authority,2017,Number In 5 Year Cohort,Count,1001,Children
S12000020,Moray,Local Authority,2018,Vaccinated by 5 Years,Count,953,Children
S12000020,Moray,Local Authority,2014,Vaccinated by 5 Years,Count,997,Children
S12000020,Moray,Local Authority,2017,Vaccinated by 5 Years,Count,958,Children
S12000021,North Ayrshire,Local Authority,2011,Vaccinated by 5 Years,Count,1457,Children
S12000021,North Ayrshire,Local Authority,2012,Number In 5 Year Cohort,Count,1526,Children
S12000021,North Ayrshire,Local Authority,2010,Vaccinated by 5 Years,Count,1423,Children
S12000021,North Ayrshire,Local Authority,2010,Number In 5 Year Cohort,Count,1478,Children
S12000021,North Ayrshire,Local Authority,2008,Vaccinated by 5 Years,Count,1369,Children
S12000020,Moray,Local Authority,2012,Vaccinated by 5 Years,Count,1005,Children
S12000021,North Ayrshire,Local Authority,2016,Number In 5 Year Cohort,Count,1530,Children
S12000039,West Dunbartonshire,Local Authority,2012,Vaccinated by 5 Years,Count,1049,Children
S12000039,West Dunbartonshire,Local Authority,2016,Number In 5 Year Cohort,Count,1058,Children
S12000039,West Dunbartonshire,Local Authority,2013,Vaccinated by 5 Years,Count,1044,Children
S12000039,West Dunbartonshire,Local Authority,2017,Number In 5 Year Cohort,Count,1073,Children
S12000039,West Dunbartonshire,Local Authority,2014,Number In 5 Year Cohort,Count,1062,Children
S12000039,West Dunbartonshire,Local Authority,2012,Number In 5 Year Cohort,Count,1086,Children
S12000039,West Dunbartonshire,Local Authority,2015,Number In 5 Year Cohort,Count,1023,Children
S12000039,West Dunbartonshire,Local Authority,2009,Number In 5 Year Cohort,Count,994,Children
S12000039,West Dunbartonshire,Local Authority,2008,Number In 5 Year Cohort,Count,953,Children
S12000040,West Lothian,Local Authority,2018,Vaccinated by 5 Years,Count,2135,Children
S12000040,West Lothian,Local Authority,2011,Vaccinated by 5 Years,Count,2188,Children
S12000040,West Lothian,Local Authority,2015,Vaccinated by 5 Years,Count,2227,Children
S12000040,West Lothian,Local Authority,2017,Number In 5 Year Cohort,Count,2207,Children
S12000040,West Lothian,Local Authority,2011,Number In 5 Year Cohort,Count,2254,Children
S12000040,West Lothian,Local Authority,2013,Number In 5 Year Cohort,Count,2323,Children
S12000040,West Lothian,Local Authority,2010,Vaccinated by 5 Years,Count,2119,Children
S12000040,West Lothian,Local Authority,2009,Number In 5 Year Cohort,Count,2154,Children
S12000040,West Lothian,Local Authority,2018,Number In 5 Year Cohort,Count,2176,Children
S12000040,West Lothian,Local Authority,2017,Vaccinated by 5 Years,Count,2162,Children
S12000040,West Lothian,Local Authority,2012,Vaccinated by 5 Years,Count,2243,Children
S12000040,West Lothian,Local Authority,2014,Vaccinated by 5 Years,Count,2235,Children
S12000040,West Lothian,Local Authority,2016,Number In 5 Year Cohort,Count,2308,Children
S12000040,West Lothian,Local Authority,2008,Vaccinated by 5 Years,Count,2047,Children
S12000040,West Lothian,Local Authority,2014,Number In 5 Year Cohort,Count,2279,Children
S12000039,West Dunbartonshire,Local Authority,2017,Vaccinated by 5 Years,Count,1052,Children
S12000039,West Dunbartonshire,Local Authority,2010,Number In 5 Year Cohort,Count,984,Children
S12000039,West Dunbartonshire,Local Authority,2018,Vaccinated by 5 Years,Count,936,Children
S12000039,West Dunbartonshire,Local Authority,2009,Vaccinated by 5 Years,Count,969,Children
S12000039,West Dunbartonshire,Local Authority,2013,Number In 5 Year Cohort,Count,1074,Children
S12000039,West Dunbartonshire,Local Authority,2014,Vaccinated by 5 Years,Count,1033,Children
S12000039,West Dunbartonshire,Local Authority,2016,Vaccinated by 5 Years,Count,1032,Children
S12000039,West Dunbartonshire,Local Authority,2018,Number In 5 Year Cohort,Count,960,Children
S12000039,West Dunbartonshire,Local Authority,2015,Vaccinated by 5 Years,Count,987,Children
S12000040,West Lothian,Local Authority,2010,Number In 5 Year Cohort,Count,2163,Children
S12000039,West Dunbartonshire,Local Authority,2011,Vaccinated by 5 Years,Count,985,Children
S12000039,West Dunbartonshire,Local Authority,2011,Number In 5 Year Cohort,Count,1032,Children
S12000039,West Dunbartonshire,Local Authority,2008,Vaccinated by 5 Years,Count,918,Children
S12000039,West Dunbartonshire,Local Authority,2010,Vaccinated by 5 Years,Count,941,Children
S12000008,East Ayrshire,Local Authority,2013,Vaccinated by 5 Years,Count,1352,Children
S12000008,East Ayrshire,Local Authority,2018,Vaccinated by 5 Years,Count,1316,Children
S12000008,East Ayrshire,Local Authority,2010,Number In 5 Year Cohort,Count,1287,Children
S12000008,East Ayrshire,Local Authority,2012,Vaccinated by 5 Years,Count,1268,Children
S12000008,East Ayrshire,Local Authority,2014,Vaccinated by 5 Years,Count,1364,Children
S12000008,East Ayrshire,Local Authority,2015,Vaccinated by 5 Years,Count,1299,Children
S12000008,East Ayrshire,Local Authority,2009,Vaccinated by 5 Years,Count,1240,Children
S12000008,East Ayrshire,Local Authority,2016,Number In 5 Year Cohort,Count,1389,Children
S12000008,East Ayrshire,Local Authority,2009,Number In 5 Year Cohort,Count,1283,Children
S12000008,East Ayrshire,Local Authority,2011,Number In 5 Year Cohort,Count,1367,Children
S12000008,East Ayrshire,Local Authority,2014,Number In 5 Year Cohort,Count,1384,Children
S12000008,East Ayrshire,Local Authority,2008,Number In 5 Year Cohort,Count,1287,Children
S12000008,East Ayrshire,Local Authority,2018,Number In 5 Year Cohort,Count,1349,Children
S12000008,East Ayrshire,Local Authority,2012,Number In 5 Year Cohort,Count,1300,Children
S12000008,East Ayrshire,Local Authority,2017,Vaccinated by 5 Years,Count,1341,Children
S12000006,Dumfries and Galloway,Local Authority,2008,Vaccinated by 5 Years,Count,1358,Children
S12000006,Dumfries and Galloway,Local Authority,2016,Number In 5 Year Cohort,Count,1499,Children
S12000006,Dumfries and Galloway,Local Authority,2012,Vaccinated by 5 Years,Count,1518,Children
S12000006,Dumfries and Galloway,Local Authority,2015,Number In 5 Year Cohort,Count,1501,Children
S12000006,Dumfries and Galloway,Local Authority,2010,Vaccinated by 5 Years,Count,1468,Children
S12000006,Dumfries and Galloway,Local Authority,2014,Number In 5 Year Cohort,Count,1559,Children
S12000006,Dumfries and Galloway,Local Authority,2011,Vaccinated by 5 Years,Count,1527,Children
S12000006,Dumfries and Galloway,Local Authority,2008,Number In 5 Year Cohort,Count,1400,Children
S12000006,Dumfries and Galloway,Local Authority,2013,Vaccinated by 5 Years,Count,1478,Children
S12000006,Dumfries and Galloway,Local Authority,2010,Number In 5 Year Cohort,Count,1508,Children
S12000006,Dumfries and Galloway,Local Authority,2018,Number In 5 Year Cohort,Count,1383,Children
S12000006,Dumfries and Galloway,Local Authority,2009,Vaccinated by 5 Years,Count,1516,Children
S12000006,Dumfries and Galloway,Local Authority,2016,Vaccinated by 5 Years,Count,1458,Children
S12000006,Dumfries and Galloway,Local Authority,2017,Number In 5 Year Cohort,Count,1468,Children
S12000010,East Lothian,Local Authority,2011,Number In 5 Year Cohort,Count,1172,Children
S12000010,East Lothian,Local Authority,2009,Vaccinated by 5 Years,Count,1065,Children
S12000010,East Lothian,Local Authority,2012,Vaccinated by 5 Years,Count,1184,Children
S12000010,East Lothian,Local Authority,2013,Vaccinated by 5 Years,Count,1206,Children
S12000010,East Lothian,Local Authority,2008,Number In 5 Year Cohort,Count,1090,Children
S12000010,East Lothian,Local Authority,2011,Vaccinated by 5 Years,Count,1132,Children
S12000010,East Lothian,Local Authority,2009,Number In 5 Year Cohort,Count,1097,Children
S12000010,East Lothian,Local Authority,2014,Number In 5 Year Cohort,Count,1219,Children
S12000010,East Lothian,Local Authority,2016,Vaccinated by 5 Years,Count,1240,Children
S12000010,East Lothian,Local Authority,2015,Vaccinated by 5 Years,Count,1246,Children
S12000010,East Lothian,Local Authority,2017,Number In 5 Year Cohort,Count,1233,Children
S12000010,East Lothian,Local Authority,2018,Number In 5 Year Cohort,Count,1234,Children
S12000010,East Lothian,Local Authority,2018,Vaccinated by 5 Years,Count,1188,Children
S12000010,East Lothian,Local Authority,2008,Vaccinated by 5 Years,Count,1046,Children
S12000010,East Lothian,Local Authority,2017,Vaccinated by 5 Years,Count,1192,Children
S12000008,East Ayrshire,Local Authority,2011,Vaccinated by 5 Years,Count,1336,Children
S12000008,East Ayrshire,Local Authority,2016,Vaccinated by 5 Years,Count,1374,Children
S12000008,East Ayrshire,Local Authority,2008,Vaccinated by 5 Years,Count,1237,Children
S12000008,East Ayrshire,Local Authority,2015,Number In 5 Year Cohort,Count,1325,Children
S12000008,East Ayrshire,Local Authority,2017,Number In 5 Year Cohort,Count,1357,Children
S12000008,East Ayrshire,Local Authority,2013,Number In 5 Year Cohort,Count,1373,Children
S12000008,East Ayrshire,Local Authority,2010,Vaccinated by 5 Years,Count,1255,Children
