area_code,reference_area,area_type,year,gender,cancer_type,value,units
S12000039,West Dunbartonshire,Local Authority,2006,Female,Malignant Neoplasms,311,Cases
S12000039,West Dunbartonshire,Local Authority,2006,All,Colorectal Cancer,65,Cases
S12000039,West Dunbartonshire,Local Authority,1997,All,Colorectal Cancer,62,Cases
S12000039,West Dunbartonshire,Local Authority,1998,All,Colorectal Cancer,61,Cases
S12000039,West Dunbartonshire,Local Authority,2009,All,Colorectal Cancer,77,Cases
S12000039,West Dunbartonshire,Local Authority,2016,Female,Malignant Neoplasms,336,Cases
S12000039,West Dunbartonshire,Local Authority,2002,All,Colorectal Cancer,63,Cases
S12000039,West Dunbartonshire,Local Authority,2014,Female,Malignant Neoplasms,306,Cases
S12000039,West Dunbartonshire,Local Authority,1999,All,Colorectal Cancer,72,Cases
S12000039,West Dunbartonshire,Local Authority,2000,All,Colorectal Cancer,70,Cases
S12000039,West Dunbartonshire,Local Authority,2015,All,Colorectal Cancer,65,Cases
S12000039,West Dunbartonshire,Local Authority,2004,All,Colorectal Cancer,58,Cases
S12000039,West Dunbartonshire,Local Authority,2007,All,Colorectal Cancer,48,Cases
S12000039,West Dunbartonshire,Local Authority,2008,All,Colorectal Cancer,68,Cases
S12000039,West Dunbartonshire,Local Authority,1997,Female,Malignant Neoplasms,261,Cases
S12000039,West Dunbartonshire,Local Authority,2004,Male,Prostate Cancer,39,Cases
S12000039,West Dunbartonshire,Local Authority,2000,Female,Malignant Neoplasms,292,Cases
S12000039,West Dunbartonshire,Local Authority,2001,Female,Malignant Neoplasms,254,Cases
S12000039,West Dunbartonshire,Local Authority,2007,Male,Prostate Cancer,35,Cases
S12000039,West Dunbartonshire,Local Authority,2003,Male,Prostate Cancer,37,Cases
S12000039,West Dunbartonshire,Local Authority,2001,Male,Prostate Cancer,36,Cases
S12000039,West Dunbartonshire,Local Authority,2002,Male,Prostate Cancer,39,Cases
S12000039,West Dunbartonshire,Local Authority,2017,Female,Malignant Neoplasms,289,Cases
S12000039,West Dunbartonshire,Local Authority,2000,Male,Prostate Cancer,26,Cases
S12000039,West Dunbartonshire,Local Authority,2017,Male,Prostate Cancer,52,Cases
S12000039,West Dunbartonshire,Local Authority,1998,Male,Prostate Cancer,33,Cases
S12000039,West Dunbartonshire,Local Authority,1997,Male,Prostate Cancer,38,Cases
S12000039,West Dunbartonshire,Local Authority,2002,Female,Malignant Neoplasms,250,Cases
S12000039,West Dunbartonshire,Local Authority,1999,Male,Prostate Cancer,32,Cases
S12000039,West Dunbartonshire,Local Authority,2008,All,Malignant Neoplasms,511,Cases
S12000039,West Dunbartonshire,Local Authority,2007,All,Malignant Neoplasms,493,Cases
S12000039,West Dunbartonshire,Local Authority,2001,All,Malignant Neoplasms,481,Cases
S12000039,West Dunbartonshire,Local Authority,2000,All,Malignant Neoplasms,510,Cases
S12000039,West Dunbartonshire,Local Authority,1997,Female,Breast Cancer,74,Cases
S12000039,West Dunbartonshire,Local Authority,1998,Female,Breast Cancer,59,Cases
S12000039,West Dunbartonshire,Local Authority,2005,All,Malignant Neoplasms,475,Cases
S12000039,West Dunbartonshire,Local Authority,2006,All,Malignant Neoplasms,565,Cases
S12000039,West Dunbartonshire,Local Authority,2010,Female,Breast Cancer,76,Cases
S12000039,West Dunbartonshire,Local Authority,1998,All,Malignant Neoplasms,511,Cases
S12000039,West Dunbartonshire,Local Authority,2009,All,Malignant Neoplasms,605,Cases
S12000039,West Dunbartonshire,Local Authority,1999,All,Malignant Neoplasms,504,Cases
S12000039,West Dunbartonshire,Local Authority,2013,Female,Breast Cancer,77,Cases
S12000039,West Dunbartonshire,Local Authority,2004,All,Malignant Neoplasms,487,Cases
S12000039,West Dunbartonshire,Local Authority,1997,All,Malignant Neoplasms,506,Cases
S12000039,West Dunbartonshire,Local Authority,2003,All,Malignant Neoplasms,538,Cases
S12000039,West Dunbartonshire,Local Authority,2017,Female,Breast Cancer,58,Cases
S12000039,West Dunbartonshire,Local Authority,2014,Female,Breast Cancer,58,Cases
S12000039,West Dunbartonshire,Local Authority,2002,All,Malignant Neoplasms,495,Cases
S12000039,West Dunbartonshire,Local Authority,2012,Female,Breast Cancer,108,Cases
S12000040,West Lothian,Local Authority,2017,Female,Malignant Neoplasms,535,Cases
S12000040,West Lothian,Local Authority,1999,Male,Malignant Neoplasms,309,Cases
S12000040,West Lothian,Local Authority,2005,Female,Breast Cancer,135,Cases
S12000040,West Lothian,Local Authority,2009,Male,Prostate Cancer,130,Cases
S12000040,West Lothian,Local Authority,2009,Male,Malignant Neoplasms,497,Cases
S12000040,West Lothian,Local Authority,2010,Male,Malignant Neoplasms,448,Cases
S12000040,West Lothian,Local Authority,1999,Male,Prostate Cancer,38,Cases
S12000040,West Lothian,Local Authority,2014,All,Lung Cancer,156,Cases
S12000040,West Lothian,Local Authority,2006,Male,Prostate Cancer,94,Cases
S12000040,West Lothian,Local Authority,2016,All,Lung Cancer,164,Cases
S12000040,West Lothian,Local Authority,2011,Female,Malignant Neoplasms,473,Cases
S12000040,West Lothian,Local Authority,2016,Female,Malignant Neoplasms,510,Cases
S12000040,West Lothian,Local Authority,2000,Male,Prostate Cancer,57,Cases
S12000040,West Lothian,Local Authority,2001,Male,Prostate Cancer,56,Cases
S12000040,West Lothian,Local Authority,1997,Female,Malignant Neoplasms,341,Cases
S12000040,West Lothian,Local Authority,2016,Female,Breast Cancer,143,Cases
S12000040,West Lothian,Local Authority,1999,All,Lung Cancer,119,Cases
S12000040,West Lothian,Local Authority,2000,Male,Malignant Neoplasms,336,Cases
S12000040,West Lothian,Local Authority,2002,Female,Malignant Neoplasms,338,Cases
S12000040,West Lothian,Local Authority,2007,Male,Prostate Cancer,85,Cases
S12000040,West Lothian,Local Authority,2003,Male,Prostate Cancer,112,Cases
S12000040,West Lothian,Local Authority,2010,All,Colorectal Cancer,89,Cases
S12000040,West Lothian,Local Authority,2012,All,Colorectal Cancer,112,Cases
S12000040,West Lothian,Local Authority,2015,Male,Malignant Neoplasms,492,Cases
S12000040,West Lothian,Local Authority,2011,All,Colorectal Cancer,127,Cases
S12000040,West Lothian,Local Authority,1998,Female,Malignant Neoplasms,357,Cases
S12000040,West Lothian,Local Authority,2009,All,Malignant Neoplasms,904,Cases
S12000040,West Lothian,Local Authority,2015,All,Lung Cancer,178,Cases
S12000040,West Lothian,Local Authority,2002,Male,Malignant Neoplasms,346,Cases
S12000040,West Lothian,Local Authority,2006,Female,Malignant Neoplasms,382,Cases
S12000040,West Lothian,Local Authority,2013,Male,Prostate Cancer,111,Cases
S12000040,West Lothian,Local Authority,2010,Male,Prostate Cancer,96,Cases
S12000040,West Lothian,Local Authority,2014,Male,Prostate Cancer,85,Cases
S12000040,West Lothian,Local Authority,2001,Male,Malignant Neoplasms,314,Cases
S12000040,West Lothian,Local Authority,2009,All,Colorectal Cancer,112,Cases
S12000040,West Lothian,Local Authority,2001,Female,Breast Cancer,111,Cases
S12000040,West Lothian,Local Authority,2007,Male,Malignant Neoplasms,365,Cases
S12000040,West Lothian,Local Authority,2005,Male,Malignant Neoplasms,406,Cases
S12000040,West Lothian,Local Authority,2000,All,Colorectal Cancer,86,Cases
S12000040,West Lothian,Local Authority,1997,All,Colorectal Cancer,103,Cases
S12000040,West Lothian,Local Authority,2017,All,Lung Cancer,174,Cases
S12000040,West Lothian,Local Authority,2003,All,Colorectal Cancer,74,Cases
S12000040,West Lothian,Local Authority,2012,Female,Malignant Neoplasms,410,Cases
S12000040,West Lothian,Local Authority,2016,All,Malignant Neoplasms,984,Cases
S12000040,West Lothian,Local Authority,2005,All,Colorectal Cancer,96,Cases
S12000040,West Lothian,Local Authority,2000,All,Lung Cancer,129,Cases
S12000040,West Lothian,Local Authority,1998,All,Colorectal Cancer,86,Cases
S12000040,West Lothian,Local Authority,2002,All,Colorectal Cancer,84,Cases
S12000040,West Lothian,Local Authority,2006,All,Colorectal Cancer,100,Cases
S12000040,West Lothian,Local Authority,2008,Male,Prostate Cancer,103,Cases
S12000040,West Lothian,Local Authority,1998,Male,Malignant Neoplasms,316,Cases
S12000040,West Lothian,Local Authority,2004,All,Colorectal Cancer,79,Cases
S12000040,West Lothian,Local Authority,2004,Male,Malignant Neoplasms,362,Cases
S12000040,West Lothian,Local Authority,2003,Male,Malignant Neoplasms,410,Cases
S12000040,West Lothian,Local Authority,1999,All,Colorectal Cancer,85,Cases
S12000040,West Lothian,Local Authority,2006,Male,Malignant Neoplasms,385,Cases
S12000040,West Lothian,Local Authority,2015,Male,Prostate Cancer,98,Cases
S12000040,West Lothian,Local Authority,2005,All,Lung Cancer,135,Cases
S12000040,West Lothian,Local Authority,2008,Male,Malignant Neoplasms,434,Cases
S12000040,West Lothian,Local Authority,2012,Male,Prostate Cancer,101,Cases
S12000040,West Lothian,Local Authority,1998,Male,Prostate Cancer,60,Cases
S12000040,West Lothian,Local Authority,2016,Male,Malignant Neoplasms,474,Cases
S12000040,West Lothian,Local Authority,2010,Female,Breast Cancer,175,Cases
S12000040,West Lothian,Local Authority,2014,Female,Malignant Neoplasms,521,Cases
S12000040,West Lothian,Local Authority,2001,All,Lung Cancer,115,Cases
S12000040,West Lothian,Local Authority,1998,All,Lung Cancer,121,Cases
S12000040,West Lothian,Local Authority,2013,Female,Malignant Neoplasms,534,Cases
S12000040,West Lothian,Local Authority,2011,Female,Breast Cancer,127,Cases
S12000040,West Lothian,Local Authority,2010,Female,Malignant Neoplasms,513,Cases
S12000040,West Lothian,Local Authority,1997,Male,Malignant Neoplasms,331,Cases
S12000040,West Lothian,Local Authority,2017,All,Colorectal Cancer,120,Cases
S12000040,West Lothian,Local Authority,2016,Male,Prostate Cancer,99,Cases
S12000040,West Lothian,Local Authority,1997,Male,Prostate Cancer,44,Cases
S12000040,West Lothian,Local Authority,2007,Female,Malignant Neoplasms,489,Cases
S12000040,West Lothian,Local Authority,2001,All,Colorectal Cancer,69,Cases
S12000040,West Lothian,Local Authority,2004,All,Malignant Neoplasms,791,Cases
S12000040,West Lothian,Local Authority,2017,Male,Prostate Cancer,115,Cases
S12000040,West Lothian,Local Authority,2012,All,Lung Cancer,144,Cases
S12000040,West Lothian,Local Authority,2003,All,Malignant Neoplasms,792,Cases
S12000040,West Lothian,Local Authority,2000,Female,Malignant Neoplasms,307,Cases
S12000040,West Lothian,Local Authority,2009,Female,Breast Cancer,88,Cases
S12000040,West Lothian,Local Authority,2002,Female,Breast Cancer,93,Cases
S12000040,West Lothian,Local Authority,2005,Female,Malignant Neoplasms,388,Cases
S12000040,West Lothian,Local Authority,2006,All,Malignant Neoplasms,767,Cases
S12000040,West Lothian,Local Authority,2009,All,Lung Cancer,156,Cases
S12000040,West Lothian,Local Authority,2010,All,Lung Cancer,169,Cases
S12000040,West Lothian,Local Authority,2010,All,Malignant Neoplasms,961,Cases
S12000040,West Lothian,Local Authority,2003,Female,Malignant Neoplasms,382,Cases
S12000040,West Lothian,Local Authority,2011,All,Malignant Neoplasms,966,Cases
S12000040,West Lothian,Local Authority,2009,Female,Malignant Neoplasms,407,Cases
S12000040,West Lothian,Local Authority,1997,Female,Breast Cancer,80,Cases
S12000040,West Lothian,Local Authority,2016,All,Colorectal Cancer,87,Cases
S12000040,West Lothian,Local Authority,2013,All,Colorectal Cancer,113,Cases
S12000040,West Lothian,Local Authority,2004,Male,Prostate Cancer,100,Cases
S12000040,West Lothian,Local Authority,2014,All,Colorectal Cancer,101,Cases
S12000040,West Lothian,Local Authority,2003,Female,Breast Cancer,104,Cases
S12000040,West Lothian,Local Authority,2000,Female,Breast Cancer,60,Cases
S12000040,West Lothian,Local Authority,2001,All,Malignant Neoplasms,681,Cases
S12000040,West Lothian,Local Authority,2008,Female,Breast Cancer,114,Cases
S12000040,West Lothian,Local Authority,2015,Female,Breast Cancer,102,Cases
S12000040,West Lothian,Local Authority,2008,All,Colorectal Cancer,111,Cases
S12000040,West Lothian,Local Authority,2017,Male,Malignant Neoplasms,534,Cases
S12000040,West Lothian,Local Authority,2004,Female,Breast Cancer,147,Cases
S12000040,West Lothian,Local Authority,2006,Female,Breast Cancer,98,Cases
S12000040,West Lothian,Local Authority,2008,All,Lung Cancer,159,Cases
S12000040,West Lothian,Local Authority,1999,Female,Breast Cancer,84,Cases
S12000040,West Lothian,Local Authority,2007,Female,Breast Cancer,165,Cases
S12000040,West Lothian,Local Authority,2013,Female,Breast Cancer,152,Cases
S12000040,West Lothian,Local Authority,1997,All,Malignant Neoplasms,672,Cases
S12000040,West Lothian,Local Authority,2005,Male,Prostate Cancer,114,Cases
S12000040,West Lothian,Local Authority,2003,All,Lung Cancer,138,Cases
S12000040,West Lothian,Local Authority,1998,All,Malignant Neoplasms,673,Cases
S12000040,West Lothian,Local Authority,2008,Female,Malignant Neoplasms,482,Cases
S12000040,West Lothian,Local Authority,1997,All,Lung Cancer,132,Cases
S12000040,West Lothian,Local Authority,2013,All,Malignant Neoplasms,1010,Cases
S12000040,West Lothian,Local Authority,2015,Female,Malignant Neoplasms,467,Cases
S12000040,West Lothian,Local Authority,2012,All,Malignant Neoplasms,840,Cases
S12000040,West Lothian,Local Authority,2001,Female,Malignant Neoplasms,367,Cases
S12000040,West Lothian,Local Authority,2002,All,Malignant Neoplasms,684,Cases
S12000040,West Lothian,Local Authority,2014,All,Malignant Neoplasms,971,Cases
S12000040,West Lothian,Local Authority,2017,All,Malignant Neoplasms,1069,Cases
S12000040,West Lothian,Local Authority,2007,All,Malignant Neoplasms,854,Cases
S12000040,West Lothian,Local Authority,2014,Female,Breast Cancer,168,Cases
S12000040,West Lothian,Local Authority,2004,Female,Malignant Neoplasms,429,Cases
S12000040,West Lothian,Local Authority,2008,All,Malignant Neoplasms,916,Cases
S12000040,West Lothian,Local Authority,2000,All,Malignant Neoplasms,643,Cases
S12000040,West Lothian,Local Authority,2015,All,Colorectal Cancer,109,Cases
S12000040,West Lothian,Local Authority,2011,Male,Malignant Neoplasms,493,Cases
S12000040,West Lothian,Local Authority,2002,Male,Prostate Cancer,68,Cases
S12000040,West Lothian,Local Authority,2007,All,Lung Cancer,131,Cases
S12000040,West Lothian,Local Authority,2005,All,Malignant Neoplasms,794,Cases
S12000040,West Lothian,Local Authority,2015,All,Malignant Neoplasms,959,Cases
S12000040,West Lothian,Local Authority,2017,Female,Breast Cancer,182,Cases
S12000040,West Lothian,Local Authority,2012,Male,Malignant Neoplasms,430,Cases
S12000040,West Lothian,Local Authority,1999,Female,Malignant Neoplasms,304,Cases
S12000040,West Lothian,Local Authority,2004,All,Lung Cancer,146,Cases
S12000040,West Lothian,Local Authority,1999,All,Malignant Neoplasms,613,Cases
S12000040,West Lothian,Local Authority,2013,All,Lung Cancer,168,Cases
S12000040,West Lothian,Local Authority,2002,All,Lung Cancer,115,Cases
S12000040,West Lothian,Local Authority,2006,All,Lung Cancer,139,Cases
S12000040,West Lothian,Local Authority,2007,All,Colorectal Cancer,98,Cases
S12000040,West Lothian,Local Authority,2014,Male,Malignant Neoplasms,450,Cases
S12000040,West Lothian,Local Authority,2011,All,Lung Cancer,159,Cases
S12000040,West Lothian,Local Authority,1998,Female,Breast Cancer,120,Cases
S12000040,West Lothian,Local Authority,2013,Male,Malignant Neoplasms,476,Cases
S12000040,West Lothian,Local Authority,2011,Male,Prostate Cancer,114,Cases
S12000040,West Lothian,Local Authority,2012,Female,Breast Cancer,91,Cases
S12000005,Clackmannanshire,Local Authority,1999,Female,Breast Cancer,28,Cases
S12000005,Clackmannanshire,Local Authority,2010,Female,Malignant Neoplasms,164,Cases
S12000005,Clackmannanshire,Local Authority,2003,All,Colorectal Cancer,32,Cases
S12000005,Clackmannanshire,Local Authority,2009,Female,Breast Cancer,33,Cases
S12000005,Clackmannanshire,Local Authority,2005,All,Colorectal Cancer,36,Cases
S12000005,Clackmannanshire,Local Authority,2016,Female,Malignant Neoplasms,147,Cases
S12000005,Clackmannanshire,Local Authority,2014,Female,Breast Cancer,65,Cases
S12000005,Clackmannanshire,Local Authority,1998,All,Colorectal Cancer,26,Cases
S12000005,Clackmannanshire,Local Authority,2017,Male,Malignant Neoplasms,169,Cases
S12000005,Clackmannanshire,Local Authority,2014,All,Lung Cancer,59,Cases
S12000005,Clackmannanshire,Local Authority,2017,All,Lung Cancer,65,Cases
S12000005,Clackmannanshire,Local Authority,1999,All,Colorectal Cancer,33,Cases
S12000005,Clackmannanshire,Local Authority,2015,All,Colorectal Cancer,45,Cases
S12000005,Clackmannanshire,Local Authority,2016,Female,Breast Cancer,41,Cases
S12000005,Clackmannanshire,Local Authority,2000,All,Lung Cancer,54,Cases
S12000005,Clackmannanshire,Local Authority,2006,All,Colorectal Cancer,36,Cases
S12000005,Clackmannanshire,Local Authority,2016,Male,Prostate Cancer,24,Cases
S12000005,Clackmannanshire,Local Authority,2010,All,Lung Cancer,36,Cases
S12000005,Clackmannanshire,Local Authority,2007,All,Colorectal Cancer,24,Cases
S12000005,Clackmannanshire,Local Authority,2016,All,Lung Cancer,45,Cases
S12000005,Clackmannanshire,Local Authority,1998,Female,Malignant Neoplasms,127,Cases
S12000005,Clackmannanshire,Local Authority,2000,Male,Prostate Cancer,26,Cases
S12000005,Clackmannanshire,Local Authority,2003,Male,Prostate Cancer,26,Cases
S12000005,Clackmannanshire,Local Authority,2016,All,Malignant Neoplasms,296,Cases
S12000005,Clackmannanshire,Local Authority,2015,Female,Breast Cancer,26,Cases
S12000005,Clackmannanshire,Local Authority,2012,Female,Malignant Neoplasms,163,Cases
S12000005,Clackmannanshire,Local Authority,2006,All,Lung Cancer,47,Cases
S12000005,Clackmannanshire,Local Authority,2013,Male,Prostate Cancer,21,Cases
S12000005,Clackmannanshire,Local Authority,2013,Female,Malignant Neoplasms,182,Cases
S12000005,Clackmannanshire,Local Authority,2009,All,Colorectal Cancer,33,Cases
S12000005,Clackmannanshire,Local Authority,2011,All,Lung Cancer,57,Cases
S12000005,Clackmannanshire,Local Authority,2007,All,Lung Cancer,36,Cases
S12000005,Clackmannanshire,Local Authority,2014,Male,Prostate Cancer,36,Cases
S12000005,Clackmannanshire,Local Authority,2008,All,Colorectal Cancer,50,Cases
S12000005,Clackmannanshire,Local Authority,2000,Female,Malignant Neoplasms,99,Cases
S12000005,Clackmannanshire,Local Authority,2000,All,Colorectal Cancer,25,Cases
S12000005,Clackmannanshire,Local Authority,2004,Female,Breast Cancer,52,Cases
S12000005,Clackmannanshire,Local Authority,1997,All,Colorectal Cancer,26,Cases
S12000005,Clackmannanshire,Local Authority,2012,Male,Malignant Neoplasms,120,Cases
S12000005,Clackmannanshire,Local Authority,2006,Female,Breast Cancer,31,Cases
S12000005,Clackmannanshire,Local Authority,2007,Female,Breast Cancer,67,Cases
S12000005,Clackmannanshire,Local Authority,1998,Male,Prostate Cancer,15,Cases
S12000005,Clackmannanshire,Local Authority,1997,Female,Breast Cancer,32,Cases
S12000005,Clackmannanshire,Local Authority,2011,Male,Malignant Neoplasms,139,Cases
S12000005,Clackmannanshire,Local Authority,2008,All,Lung Cancer,42,Cases
S12000005,Clackmannanshire,Local Authority,2008,Female,Breast Cancer,26,Cases
S12000005,Clackmannanshire,Local Authority,2013,All,Malignant Neoplasms,305,Cases
S12000005,Clackmannanshire,Local Authority,2004,All,Lung Cancer,43,Cases
S12000005,Clackmannanshire,Local Authority,2014,All,Malignant Neoplasms,345,Cases
S12000005,Clackmannanshire,Local Authority,2017,Female,Breast Cancer,53,Cases
S12000005,Clackmannanshire,Local Authority,2001,All,Lung Cancer,42,Cases
