area_code,reference_area,area_type,date_code,gender,age,measure_type,value,units
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,31-40 years,Mean,0.43,Average reconvictions per offender
S12000017,Highland,Local Authority,2016/2017,Male,Over 40 years,Ratio,14.9,Percent reconvicted
S12000017,Highland,Local Authority,2014/2015,Male,Under 21 years,Ratio,33.8,Percent reconvicted
S12000017,Highland,Local Authority,2012/2013,Male,21-25 years,Mean,0.39,Average reconvictions per offender
S12000017,Highland,Local Authority,2013/2014,Male,31-40 years,Mean,0.45,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,26-30 years,Ratio,26.6,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,21-25 years,Ratio,43.4,Percent reconvicted
S12000017,Highland,Local Authority,2017/2018,Male,All,Mean,0.48,Average reconvictions per offender
S12000017,Highland,Local Authority,2015/2016,Male,All,Ratio,26.5,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,26-30 years,Mean,0.41,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,31-40 years,Ratio,31.9,Percent reconvicted
S12000017,Highland,Local Authority,2017/2018,Male,Over 40 years,Ratio,17.2,Percent reconvicted
S12000017,Highland,Local Authority,2012/2013,Male,31-40 years,Mean,0.52,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,Over 40 years,Ratio,12,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,31-40 years,Ratio,34.7,Percent reconvicted
S12000017,Highland,Local Authority,2017/2018,Male,21-25 years,Mean,0.56,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,Under 21 years,Ratio,32.3,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,All,Mean,0.37,Average reconvictions per offender
S12000017,Highland,Local Authority,2017/2018,Male,Under 21 years,Mean,0.55,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,All,Ratio,26.5,Percent reconvicted
S12000017,Highland,Local Authority,2016/2017,Male,All,Ratio,25.5,Percent reconvicted
S12000017,Highland,Local Authority,2012/2013,Male,Under 21 years,Mean,0.6,Average reconvictions per offender
S12000017,Highland,Local Authority,2017/2018,Male,Under 21 years,Ratio,27.7,Percent reconvicted
S12000017,Highland,Local Authority,2016/2017,Male,Over 40 years,Mean,0.23,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,All,Ratio,27.5,Percent reconvicted
S12000017,Highland,Local Authority,2014/2015,Male,All,Ratio,24.7,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,21-25 years,Ratio,32.7,Percent reconvicted
S12000017,Highland,Local Authority,2014/2015,Male,Over 40 years,Ratio,18.9,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,Over 40 years,Ratio,17.6,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,26-30 years,Ratio,24.6,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,Under 21 years,Mean,0.3,Average reconvictions per offender
S12000017,Highland,Local Authority,2015/2016,Male,26-30 years,Ratio,24.4,Percent reconvicted
S12000017,Highland,Local Authority,2015/2016,Male,21-25 years,Ratio,30,Percent reconvicted
S12000017,Highland,Local Authority,2014/2015,Male,All,Mean,0.39,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2015/2016,Male,31-40 years,Mean,0.68,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2017/2018,Male,31-40 years,Mean,0.68,Average reconvictions per offender
S12000017,Highland,Local Authority,2013/2014,Male,21-25 years,Ratio,26,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2015/2016,Male,All,Ratio,28.9,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2017/2018,Male,Over 40 years,Ratio,22.6,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2016/2017,Male,Under 21 years,Ratio,36.1,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,Over 40 years,Ratio,16.4,Percent reconvicted
S12000017,Highland,Local Authority,2015/2016,Male,31-40 years,Mean,0.39,Average reconvictions per offender
S12000017,Highland,Local Authority,2012/2013,Male,Over 40 years,Mean,0.35,Average reconvictions per offender
S12000017,Highland,Local Authority,2013/2014,Male,Under 21 years,Mean,0.48,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,Under 21 years,Ratio,28.1,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,31-40 years,Ratio,30.4,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,All,Ratio,31.1,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,26-30 years,Ratio,27.3,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,26-30 years,Mean,0.38,Average reconvictions per offender
S12000017,Highland,Local Authority,2016/2017,Male,26-30 years,Ratio,30.2,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,31-40 years,Mean,0.52,Average reconvictions per offender
S12000017,Highland,Local Authority,2013/2014,Male,26-30 years,Mean,0.34,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,All,Mean,0.3,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,31-40 years,Mean,0.43,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,26-30 years,Mean,0.34,Average reconvictions per offender
S12000017,Highland,Local Authority,2016/2017,Male,All,Mean,0.42,Average reconvictions per offender
S12000017,Highland,Local Authority,2017/2018,Male,26-30 years,Ratio,30.5,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,21-25 years,Mean,0.51,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,Over 40 years,Ratio,18.2,Percent reconvicted
S12000017,Highland,Local Authority,2013/2014,Male,31-40 years,Ratio,28.6,Percent reconvicted
S12000017,Highland,Local Authority,2012/2013,Male,26-30 years,Ratio,24,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,31-40 years,Mean,0.45,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,21-25 years,Ratio,34,Percent reconvicted
S12000017,Highland,Local Authority,2015/2016,Male,Over 40 years,Ratio,23,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,26-30 years,Ratio,21.2,Percent reconvicted
S12000014,Falkirk,Local Authority,2016/2017,Male,Under 21 years,Ratio,41.4,Percent reconvicted
S12000014,Falkirk,Local Authority,2014/2015,Male,Over 40 years,Mean,0.32,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,Over 40 years,Mean,0.45,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,Over 40 years,Ratio,20.1,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,All,Mean,0.38,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,21-25 years,Mean,0.57,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,Over 40 years,Mean,0.32,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,Under 21 years,Mean,0.68,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2014/2015,Male,Under 21 years,Ratio,32.5,Percent reconvicted
S12000014,Falkirk,Local Authority,2015/2016,Male,31-40 years,Mean,0.49,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,Under 21 years,Ratio,33.9,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,26-30 years,Mean,0.51,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,Under 21 years,Ratio,34.6,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,26-30 years,Mean,0.32,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2013/2014,Male,21-25 years,Mean,0.57,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,21-25 years,Mean,0.53,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,21-25 years,Mean,0.34,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,Over 40 years,Mean,0.42,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2016/2017,Male,Over 40 years,Ratio,20.9,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,All,Ratio,25.5,Percent reconvicted
S12000014,Falkirk,Local Authority,2012/2013,Male,All,Mean,0.54,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,All,Ratio,24.5,Percent reconvicted
S12000014,Falkirk,Local Authority,2015/2016,Male,All,Ratio,30.2,Percent reconvicted
S12000014,Falkirk,Local Authority,2016/2017,Male,All,Ratio,28.9,Percent reconvicted
S12000014,Falkirk,Local Authority,2015/2016,Male,Over 40 years,Ratio,19.3,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,Over 40 years,Ratio,20,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,Under 21 years,Ratio,38.8,Percent reconvicted
S12000014,Falkirk,Local Authority,2017/2018,Male,All,Mean,0.56,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,Under 21 years,Mean,0.57,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,26-30 years,Ratio,37.3,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,Over 40 years,Ratio,24,Percent reconvicted
S12000014,Falkirk,Local Authority,2012/2013,Male,26-30 years,Ratio,36,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,Under 21 years,Mean,0.59,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2012/2013,Male,Over 40 years,Ratio,21.2,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2017/2018,Male,Under 21 years,Ratio,32.3,Percent reconvicted
S12000014,Falkirk,Local Authority,2016/2017,Male,21-25 years,Ratio,28,Percent reconvicted
S12000014,Falkirk,Local Authority,2017/2018,Male,Under 21 years,Ratio,38.3,Percent reconvicted
S12000014,Falkirk,Local Authority,2016/2017,Male,Over 40 years,Mean,0.43,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2016/2017,Male,All,Mean,0.51,Average reconvictions per offender
S12000036,City of Edinburgh,Local Authority,2013/2014,Male,Over 40 years,Ratio,23.8,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2015/2016,Male,Over 40 years,Mean,0.37,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2012/2013,Male,31-40 years,Ratio,32.9,Percent reconvicted
S12000036,City of Edinburgh,Local Authority,2014/2015,Male,Over 40 years,Mean,0.44,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2015/2016,Male,26-30 years,Mean,0.66,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,All,Mean,0.39,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,Over 40 years,Mean,0.24,Average reconvictions per offender
S12000017,Highland,Local Authority,2014/2015,Male,31-40 years,Ratio,24.9,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,21-25 years,Ratio,21.1,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,Over 40 years,Mean,0.22,Average reconvictions per offender
S12000017,Highland,Local Authority,2015/2016,Male,26-30 years,Mean,0.34,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2016/2017,Male,All,Mean,0.53,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,21-25 years,Mean,0.44,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,Under 21 years,Mean,0.47,Average reconvictions per offender
S12000017,Highland,Local Authority,2017/2018,Male,Over 40 years,Mean,0.37,Average reconvictions per offender
S12000017,Highland,Local Authority,2012/2013,Male,21-25 years,Ratio,25.4,Percent reconvicted
S12000017,Highland,Local Authority,2017/2018,Male,31-40 years,Ratio,26.3,Percent reconvicted
S12000017,Highland,Local Authority,2016/2017,Male,Under 21 years,Mean,0.6,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,26-30 years,Ratio,32.3,Percent reconvicted
S12000017,Highland,Local Authority,2016/2017,Male,Under 21 years,Ratio,28,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,21-25 years,Ratio,29.6,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,Under 21 years,Mean,0.42,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,31-40 years,Mean,0.36,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,Under 21 years,Mean,0.43,Average reconvictions per offender
S12000017,Highland,Local Authority,2015/2016,Male,31-40 years,Ratio,26.7,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,All,Ratio,21.3,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,21-25 years,Ratio,33.3,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2015/2016,Male,Over 40 years,Mean,0.19,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,26-30 years,Mean,0.71,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2013/2014,Male,26-30 years,Mean,0.71,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2015/2016,Male,Under 21 years,Ratio,38.1,Percent reconvicted
S12000014,Falkirk,Local Authority,2015/2016,Male,Over 40 years,Mean,0.31,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,All,Mean,0.47,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,Under 21 years,Mean,0.6,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,Over 40 years,Mean,0.17,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2013/2014,Male,31-40 years,Mean,0.55,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,Over 40 years,Mean,0.47,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,26-30 years,Mean,0.23,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2013/2014,Male,21-25 years,Mean,0.57,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,31-40 years,Ratio,24.4,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2016/2017,Male,All,Mean,0.4,Average reconvictions per offender
S12000035,Argyll and Bute,Local Authority,2014/2015,Male,21-25 years,Mean,0.44,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,21-25 years,Ratio,29.4,Percent reconvicted
S12000014,Falkirk,Local Authority,2013/2014,Male,21-25 years,Ratio,30.9,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2012/2013,Male,21-25 years,Mean,0.53,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2017/2018,Male,Over 40 years,Ratio,25.7,Percent reconvicted
S12000035,Argyll and Bute,Local Authority,2017/2018,Male,Under 21 years,Ratio,30.4,Percent reconvicted
S12000014,Falkirk,Local Authority,2013/2014,Male,Under 21 years,Mean,0.68,Average reconvictions per offender
S12000014,Falkirk,Local Authority,2013/2014,Male,All,Mean,0.55,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2016/2017,Male,All,Ratio,31.3,Percent reconvicted
S12000018,Inverclyde,Local Authority,2015/2016,Male,21-25 years,Mean,0.69,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2015/2016,Male,All,Ratio,32,Percent reconvicted
S12000018,Inverclyde,Local Authority,2014/2015,Male,31-40 years,Mean,0.77,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2015/2016,Male,31-40 years,Ratio,31.3,Percent reconvicted
S12000018,Inverclyde,Local Authority,2016/2017,Male,Under 21 years,Mean,0.84,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2017/2018,Male,31-40 years,Mean,0.45,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2012/2013,Male,26-30 years,Mean,0.64,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2014/2015,Male,31-40 years,Ratio,28.9,Percent reconvicted
S12000018,Inverclyde,Local Authority,2017/2018,Male,Under 21 years,Ratio,27.5,Percent reconvicted
S12000018,Inverclyde,Local Authority,2013/2014,Male,Over 40 years,Mean,0.33,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2014/2015,Male,Over 40 years,Mean,0.38,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2015/2016,Male,Over 40 years,Mean,0.42,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2012/2013,Male,Over 40 years,Mean,0.42,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2016/2017,Male,Over 40 years,Ratio,23.6,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2013/2014,Male,Over 40 years,Ratio,18.4,Percent reconvicted
S12000018,Inverclyde,Local Authority,2012/2013,Male,31-40 years,Ratio,36.8,Percent reconvicted
S12000018,Inverclyde,Local Authority,2017/2018,Male,Under 21 years,Mean,0.53,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2015/2016,Male,26-30 years,Mean,0.52,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2015/2016,Male,31-40 years,Mean,0.65,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2017/2018,Male,31-40 years,Ratio,29.2,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2012/2013,Male,31-40 years,Ratio,29.3,Percent reconvicted
S12000018,Inverclyde,Local Authority,2016/2017,Male,Over 40 years,Mean,0.38,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2012/2013,Male,21-25 years,Ratio,30.1,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2013/2014,Male,21-25 years,Ratio,28.7,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2014/2015,Male,21-25 years,Ratio,30.5,Percent reconvicted
S12000018,Inverclyde,Local Authority,2013/2014,Male,31-40 years,Mean,0.63,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2014/2015,Male,Over 40 years,Ratio,22.5,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2012/2013,Male,31-40 years,Mean,0.54,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2016/2017,Male,26-30 years,Ratio,23.3,Percent reconvicted
S12000018,Inverclyde,Local Authority,2016/2017,Male,31-40 years,Ratio,33.5,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2013/2014,Male,All,Ratio,28.3,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2016/2017,Male,21-25 years,Mean,0.58,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2012/2013,Male,Over 40 years,Mean,0.34,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2015/2016,Male,21-25 years,Ratio,31.8,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2016/2017,Male,All,Mean,0.63,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2013/2014,Male,31-40 years,Ratio,30.8,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2017/2018,Male,All,Mean,0.59,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2012/2013,Male,26-30 years,Ratio,41.3,Percent reconvicted
S12000018,Inverclyde,Local Authority,2013/2014,Male,31-40 years,Ratio,33.3,Percent reconvicted
S12000018,Inverclyde,Local Authority,2013/2014,Male,26-30 years,Mean,0.54,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2017/2018,Male,Under 21 years,Mean,0.76,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2013/2014,Male,All,Ratio,31.4,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2012/2013,Male,Over 40 years,Ratio,20.9,Percent reconvicted
S12000018,Inverclyde,Local Authority,2015/2016,Male,31-40 years,Ratio,33.7,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2013/2014,Male,Over 40 years,Ratio,18.4,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2016/2017,Male,Under 21 years,Ratio,36.1,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2012/2013,Male,31-40 years,Ratio,29.3,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2015/2016,Male,Under 21 years,Ratio,32.5,Percent reconvicted
S12000018,Inverclyde,Local Authority,2012/2013,Male,Under 21 years,Ratio,38.7,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2012/2013,Male,Over 40 years,Ratio,20.9,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2016/2017,Male,26-30 years,Ratio,32.4,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2013/2014,Male,Over 40 years,Mean,0.35,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2014/2015,Male,Under 21 years,Ratio,34.4,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2016/2017,Male,21-25 years,Ratio,31.1,Percent reconvicted
S12000018,Inverclyde,Local Authority,2015/2016,Male,All,Mean,0.56,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2016/2017,Male,31-40 years,Ratio,33.6,Percent reconvicted
S12000018,Inverclyde,Local Authority,2014/2015,Male,26-30 years,Ratio,31.6,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2015/2016,Male,Over 40 years,Ratio,21.4,Percent reconvicted
S12000018,Inverclyde,Local Authority,2015/2016,Male,Over 40 years,Mean,0.4,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2015/2016,Male,All,Mean,0.57,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2012/2013,Male,All,Mean,0.59,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2017/2018,Male,All,Mean,0.45,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2017/2018,Male,All,Ratio,30.9,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2013/2014,Male,31-40 years,Mean,0.59,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2017/2018,Male,Under 21 years,Mean,0.76,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2016/2017,Male,21-25 years,Ratio,31.1,Percent reconvicted
S12000018,Inverclyde,Local Authority,2015/2016,Male,21-25 years,Ratio,39.1,Percent reconvicted
S12000018,Inverclyde,Local Authority,2015/2016,Male,Under 21 years,Ratio,34.9,Percent reconvicted
S12000018,Inverclyde,Local Authority,2017/2018,Male,21-25 years,Mean,0.64,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2013/2014,Male,Over 40 years,Mean,0.35,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2017/2018,Male,Over 40 years,Mean,0.33,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2014/2015,Male,31-40 years,Ratio,37,Percent reconvicted
S12000018,Inverclyde,Local Authority,2014/2015,Male,All,Ratio,31.3,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2017/2018,Male,31-40 years,Ratio,33.1,Percent reconvicted
S12000018,Inverclyde,Local Authority,2017/2018,Male,All,Ratio,28.5,Percent reconvicted
S12000018,Inverclyde,Local Authority,2016/2017,Male,Under 21 years,Ratio,43.2,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2015/2016,Male,31-40 years,Mean,0.68,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2012/2013,Male,Under 21 years,Mean,0.75,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Male,Over 40 years,Mean,0.34,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2013/2014,Male,Under 21 years,Mean,0.63,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Male,All,Ratio,29,Percent reconvicted
S12000018,Inverclyde,Local Authority,2013/2014,Male,21-25 years,Mean,0.43,Average reconvictions per offender
S12000018,Inverclyde,Local Authority,2016/2017,Male,21-25 years,Mean,0.65,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2012/2013,Male,21-25 years,Ratio,30.1,Percent reconvicted
S12000033,Aberdeen City,Local Authority,2015/2016,Male,26-30 years,Mean,0.62,Average reconvictions per offender
S12000033,Aberdeen City,Local Authority,2013/2014,Male,Under 21 years,Ratio,38.4,Percent reconvicted
S12000018,Inverclyde,Local Authority,2013/2014,Male,21-25 years,Ratio,32.1,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2012/2013,Male,All,Mean,0.51,Average reconvictions per offender
S12000017,Highland,Local Authority,2015/2016,Male,21-25 years,Mean,0.5,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2016/2017,Male,31-40 years,Mean,0.73,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2016/2017,Male,All,Ratio,30.9,Percent reconvicted
S12000034,Aberdeenshire,Local Authority,2013/2014,Male,31-40 years,Mean,0.59,Average reconvictions per offender
S12000034,Aberdeenshire,Local Authority,2012/2013,Male,All,Ratio,29,Percent reconvicted
S12000017,Highland,Local Authority,2015/2016,Male,Over 40 years,Mean,0.39,Average reconvictions per offender
