URI,Name,Publisher,good_ref_period,in_app
house-sales,House Sales,Scottish Government,TRUE,FALSE
household-estimates,Household Estimates,National Records of Scotland,TRUE,FALSE
household-financial-management---shs,Household Financial Management - Scottish Household Survey,Scottish Government,TRUE,FALSE
household-projections,Household Projections,National Records of Scotland,TRUE,FALSE
household-projections-of-average-household-size,Household Projections of Average Household Size,National Records of Scotland,TRUE,FALSE
household-tenure-sscq,Household Tenure - Scottish Survey Core Questions,Scottish Government,FALSE,FALSE
housing-lists,Housing Lists,Scottish Government,TRUE,FALSE
incapacity-benefit-claimants,Incapacity Benefit and Severe Disablement Claimants,Scottish Government,TRUE,FALSE
income-and-poverty-modelled-estimates,Income And Poverty Modelled Estimates,Scottish Government,TRUE,FALSE
income-support-claimants,Income Support Claimants,Scottish Government,TRUE,FALSE
infant-deaths,Infant Deaths,National Records of Scotland,TRUE,FALSE
intensive-home-care,Intensive Home Care,Scottish Government,TRUE,FALSE
involvement-with-people-in-the-neighbourhood---scottish-household-survey,Involvement with people in the neighbourhood - Scottish Household Survey,Scottish Government,TRUE,FALSE
job-related-training,Job Related Training,Scottish Government,TRUE,FALSE
job-seekers-allowance,Job Seeker's Allowance Claimants,Scottish Government,TRUE,FALSE
land-area-2001-data-zone-based,Land Area (based on 2001 Data Zones),Scottish Government,TRUE,FALSE
land-area-2011-data-zone-based,Land Area (based on 2011 Data Zones),Scottish Government,TRUE,FALSE
Life-Expectancy,Life Expectancy,Scottish Government,FALSE,FALSE
living-wage,Living Wage,Scottish Government,TRUE,FALSE
local-authority-housing-council-housing,Local Authority Housing Council Housing,Scottish Government,TRUE,FALSE
local-authority-housing-lettings,Local Authority Housing Lettings,Scottish Government,TRUE,FALSE
local-authority-housing-stock-by-age,Local Authority Housing Stock by Age,Scottish Government,TRUE,FALSE
local-authority-housing-stock-by-normal-use,Local Authority Housing Stock by Normal Use,Scottish Government,TRUE,FALSE
local-authority-housing-stock-by-type,Local Authority Housing Stock by Type,Scottish Government,TRUE,FALSE
local-authority-services-and-performance---shs,Local Authority Services and Performance - Scottish Household Survey,Scottish Government,TRUE,FALSE
local-authority-vacant-dwellings,Local Authority Vacant Dwellings,Scottish Government,TRUE,FALSE
local-authority-vacant-dwellings-vacancies-arising-during-the-year,Local Authority Vacant Dwellings (vacancies arising during the year),Scottish Government,TRUE,FALSE
local-service-satisfaction-sscq,Local Service Satisfaction - Scottish Surveys Core Questions,Scottish Government,TRUE,FALSE
looked-after-children,Looked After Children,Scottish Government,TRUE,FALSE
low-birthweight,Low Birthweight,Public Health Scotland,FALSE,FALSE
measles-mumps-rubella,Measles Mumps Rubella (MMR) Immunisation,Public Health Scotland,TRUE,TRUE
mental-wellbeing-sscq,Mental Wellbeing - Scottish Surveys Core Questions,Scottish Government,TRUE,FALSE
mid-year-household-estimates,Mid-Year Household Estimates,National Records of Scotland,TRUE,FALSE
municipal-waste,Municipal Waste,Scottish Government,TRUE,TRUE
neighbourhood-rating---shs,Neighbourhood rating - Scottish Household Survey,Scottish Government,TRUE,FALSE
neighbourhood-safety-when-walking-alone---scottish-household-survey,Neighbourhood safety when walking alone - Scottish Household Survey,Scottish Government,TRUE,FALSE
net-migration,Net Migration,National Records of Scotland,TRUE,FALSE
never-worked,Never Worked,Scottish Government,TRUE,FALSE
new-build-housing-starts-and-completions,New Build Housing Starts and Completions,Scottish Government,TRUE,FALSE
new-clients-presenting-at-specialist-drug-treatment-services-sdmd,New clients presenting at specialist drug treatment services (SDMD),Public Health Scotland,TRUE,FALSE
neet,"Not in Employment, Education or Training (NEET)",Scottish Government,TRUE,TRUE
number-of-general-practices-with-registered-patients,Number of General Practices with Registered Patients,Public Health Scotland,TRUE,FALSE
hmo-licences,Number of HMO Licences in Force,Scottish Government,TRUE,FALSE
pension-credits,Pension Credits,Scottish Government,TRUE,FALSE
perceptions-of-local-crime-rate-sscq,Perceptions of Local Crime - Scottish Surveys Core Questions,Scottish Government,TRUE,FALSE
personal-insolvency,Personal Insolvency,Accountant in Bankruptcy,TRUE,FALSE
personal-tax-credits-number-of-children,Personal Tax Credits: Number of Children,HM Revenue and Customs,TRUE,FALSE
personal-tax-credits-number-of-families,Personal Tax Credits: Number of Families,HM Revenue and Customs,TRUE,FALSE
places-in-single-rooms-in-care-homes,Places In Single Rooms In Care Homes,Scottish Government,TRUE,FALSE
ensuite-places-in-care-homes,Places in Care Homes with En-Suite Facilities,Scottish Government,TRUE,FALSE
census-population-2001,Population Estimates - Census 2001,National Records of Scotland,TRUE,FALSE
population-estimates-2011-datazone-linked-dataset,Population Estimates Summary (Current Geographic Boundaries),Scottish Government,TRUE,FALSE
population-estimates-young-and-old,Population Estimates: Young and Old,Scottish Government,TRUE,FALSE
population-projections,Population Projections (2016-based),National Records of Scotland,TRUE,FALSE
population-projections-2018-based,Population Projections (2018-based),National Records of Scotland,TRUE,FALSE
proximity-to-derelict-site,Population living in close proximity to a derelict site,Scottish Government,TRUE,FALSE
p1-reviews,Primary 1 BMI Distribution,Public Health Scotland,TRUE,FALSE
p1-BMI-clinical,Primary 1 Children Body Mass Index - Clinical,Public Health Scotland,TRUE,FALSE
p1-BMI-epi,Primary 1 Children Body Mass Index - Epidemiological,Public Health Scotland,TRUE,FALSE
probation-orders-by-length,Probation Orders By Length,Scottish Government,TRUE,FALSE
public-transport,Public Transport,Transport Scotland,TRUE,FALSE
pupil-attainment,Pupil Attainment,Scottish Government,TRUE,FALSE
pupil-attainment-asn,Pupil Attainment (Additional Support Needs),Scottish Government,TRUE,FALSE
pupil-attainment-em,Pupil Attainment (English and Maths),Scottish Government,TRUE,FALSE
qualifications-working-age-people,Qualifications of working age adults,Scottish Government,TRUE,FALSE
reconvictions,Reconvictions,Scottish Government,TRUE,FALSE
recorded-crime,Recorded Crimes and Offences,Scottish Government,TRUE,FALSE
regional-domestic-tourism,Regional Domestic Tourism,VisitScotland,FALSE,FALSE
gross-value-added,Regional Gross Value Added (GVA),Scottish Government,TRUE,FALSE
road-safety,Road Casualties,Transport Scotland,TRUE,TRUE
road-network-traffic,Road Network and Traffic,Transport Scotland,TRUE,FALSE
road-transport-expenditure,Road Transport Expenditure,Transport Scotland,TRUE,TRUE
road-vehicles,Road Vehicles,Transport Scotland,TRUE,FALSE
school-attendance-rate,School Attendance Rate,Scottish Government,TRUE,FALSE
school-leaver-destinations-followup,School Leaver Destinations - Follow Up,Scottish Government,TRUE,FALSE
school-leaver-destinations,School Leaver Destinations Initial,Scottish Government,TRUE,FALSE
school-pupil-census,School Pupil Census,Scottish Government,TRUE,FALSE
scottish-health-survey,Scottish Health Survey,Scottish Government,TRUE,FALSE
scottish-health-survey-local-area-level-data,Scottish Health Survey-Local area level data,Scottish Government,FALSE,FALSE
shqs,Scottish Housing Quality Standard (SHQS),Scottish Government,TRUE,FALSE
scottish-index-of-multiple-deprivation---employment-indicators,Scottish Index of Multiple Deprivation - Employment Indicators,Scottish Government,TRUE,FALSE
scottish-index-of-multiple-deprivation---income-indicators,Scottish Index of Multiple Deprivation - Income Indicators,Scottish Government,TRUE,FALSE
scottish-welfare-fund-applications,Scottish Welfare Fund Applications,Scottish Government,TRUE,FALSE
scottish-welfare-fund-expenditure,Scottish Welfare Fund Expenditure,Scottish Government,TRUE,FALSE
self-employment,Self Employment,Scottish Government,TRUE,FALSE
smoking-sscq,Smoking - Scottish Survey Core Questions,Scottish Government,TRUE,FALSE
social-work-orders-commenced,Social Work Orders Commenced,Scottish Government,TRUE,FALSE
social-work-orders-terminated,Social Work Orders Terminated,Scottish Government,TRUE,FALSE
social-work-staffing,Social Work Staffing,Scottish Government,TRUE,FALSE
retirement-pension,State Retirement Pension,Scottish Government,TRUE,FALSE
supervised-attendance-orders-by-length,Supervised Attendance Orders By Length,Scottish Government,TRUE,FALSE
temporary-accommodation-statistics,Temporary Accommodation Statistics,Scottish Government,TRUE,FALSE
travel-to-work-other,Travel to Work and Other Purposes,Transport Scotland,TRUE,TRUE
underemployment,Underemployment,Scottish Government,TRUE,FALSE
unemployment-model-based-estimates,Unemployment Model Based Estimates,Scottish Government,TRUE,FALSE
unpaid-care-provision-sscq,Unpaid Care Provision - Scottish Surveys Core Questions,Scottish Government,TRUE,FALSE
working-age-claimants-of-benefits-key,Working Age Claimants Of Key Benefits,Scottish Government,TRUE,FALSE
