FeatureCode,DateCode,Measurement,Units,Value,Gender,Age
S12000035,2013/2014,Mean,Average reconvictions per offender,0.24,Male,Over 40 years
S12000017,2014/2015,Ratio,Percent reconvicted,24.9,Male,31-40 years
S12000035,2017/2018,Ratio,Percent reconvicted,21.1,Male,21-25 years
S12000035,2014/2015,Mean,Average reconvictions per offender,0.22,Male,Over 40 years
S12000017,2015/2016,Mean,Average reconvictions per offender,0.34,Male,26-30 years
S12000014,2016/2017,Mean,Average reconvictions per offender,0.53,Male,All
S12000014,2017/2018,Mean,Average reconvictions per offender,0.44,Male,21-25 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.47,Male,Under 21 years
S12000017,2017/2018,Mean,Average reconvictions per offender,0.37,Male,Over 40 years
S12000017,2012/2013,Ratio,Percent reconvicted,25.4,Male,21-25 years
S12000017,2017/2018,Ratio,Percent reconvicted,26.3,Male,31-40 years
S12000017,2016/2017,Mean,Average reconvictions per offender,0.6,Male,Under 21 years
S12000035,2012/2013,Ratio,Percent reconvicted,32.3,Male,26-30 years
S12000017,2016/2017,Ratio,Percent reconvicted,28,Male,Under 21 years
S12000035,2014/2015,Ratio,Percent reconvicted,29.6,Male,21-25 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.42,Male,Under 21 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.36,Male,31-40 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.43,Male,Under 21 years
S12000017,2015/2016,Ratio,Percent reconvicted,26.7,Male,31-40 years
S12000035,2017/2018,Ratio,Percent reconvicted,21.3,Male,All
S12000035,2015/2016,Ratio,Percent reconvicted,33.3,Male,21-25 years
S12000035,2015/2016,Mean,Average reconvictions per offender,0.19,Male,Over 40 years
S12000014,2017/2018,Mean,Average reconvictions per offender,0.71,Male,26-30 years
S12000014,2013/2014,Mean,Average reconvictions per offender,0.71,Male,26-30 years
S12000014,2015/2016,Ratio,Percent reconvicted,38.1,Male,Under 21 years
S12000014,2015/2016,Mean,Average reconvictions per offender,0.31,Male,Over 40 years
S12000035,2012/2013,Mean,Average reconvictions per offender,0.47,Male,All
S12000035,2014/2015,Mean,Average reconvictions per offender,0.6,Male,Under 21 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.17,Male,Over 40 years
S12000014,2013/2014,Mean,Average reconvictions per offender,0.55,Male,31-40 years
S12000014,2017/2018,Mean,Average reconvictions per offender,0.47,Male,Over 40 years
S12000035,2017/2018,Mean,Average reconvictions per offender,0.23,Male,26-30 years
S12000035,2013/2014,Mean,Average reconvictions per offender,0.57,Male,21-25 years
S12000035,2014/2015,Ratio,Percent reconvicted,24.4,Male,31-40 years
S12000035,2016/2017,Mean,Average reconvictions per offender,0.4,Male,All
S12000035,2014/2015,Mean,Average reconvictions per offender,0.44,Male,21-25 years
S12000014,2017/2018,Ratio,Percent reconvicted,29.4,Male,21-25 years
S12000014,2013/2014,Ratio,Percent reconvicted,30.9,Male,21-25 years
S12000035,2012/2013,Mean,Average reconvictions per offender,0.53,Male,21-25 years
S12000014,2017/2018,Ratio,Percent reconvicted,25.7,Male,Over 40 years
S12000035,2017/2018,Ratio,Percent reconvicted,30.4,Male,Under 21 years
S12000014,2013/2014,Mean,Average reconvictions per offender,0.68,Male,Under 21 years
S12000014,2013/2014,Mean,Average reconvictions per offender,0.55,Male,All
S12000018,2016/2017,Ratio,Percent reconvicted,31.3,Male,All
S12000018,2015/2016,Mean,Average reconvictions per offender,0.69,Male,21-25 years
S12000018,2015/2016,Ratio,Percent reconvicted,32,Male,All
S12000018,2014/2015,Mean,Average reconvictions per offender,0.77,Male,31-40 years
S12000034,2015/2016,Ratio,Percent reconvicted,31.3,Male,31-40 years
S12000018,2016/2017,Mean,Average reconvictions per offender,0.84,Male,Under 21 years
S12000018,2017/2018,Mean,Average reconvictions per offender,0.45,Male,31-40 years
S12000018,2012/2013,Mean,Average reconvictions per offender,0.64,Male,26-30 years
S12000034,2014/2015,Ratio,Percent reconvicted,28.9,Male,31-40 years
S12000018,2017/2018,Ratio,Percent reconvicted,27.5,Male,Under 21 years
S12000018,2013/2014,Mean,Average reconvictions per offender,0.33,Male,Over 40 years
S12000034,2014/2015,Mean,Average reconvictions per offender,0.38,Male,Over 40 years
S12000034,2015/2016,Mean,Average reconvictions per offender,0.42,Male,Over 40 years
S12000018,2012/2013,Mean,Average reconvictions per offender,0.42,Male,Over 40 years
S12000018,2016/2017,Ratio,Percent reconvicted,23.6,Male,Over 40 years
S12000034,2013/2014,Ratio,Percent reconvicted,18.4,Male,Over 40 years
S12000018,2012/2013,Ratio,Percent reconvicted,36.8,Male,31-40 years
S12000018,2017/2018,Mean,Average reconvictions per offender,0.53,Male,Under 21 years
S12000018,2015/2016,Mean,Average reconvictions per offender,0.52,Male,26-30 years
S12000018,2015/2016,Mean,Average reconvictions per offender,0.65,Male,31-40 years
S12000018,2017/2018,Ratio,Percent reconvicted,29.2,Male,31-40 years
S12000034,2012/2013,Ratio,Percent reconvicted,29.3,Male,31-40 years
S12000018,2016/2017,Mean,Average reconvictions per offender,0.38,Male,Over 40 years
S12000034,2012/2013,Ratio,Percent reconvicted,30.1,Male,21-25 years
S12000034,2013/2014,Ratio,Percent reconvicted,28.7,Male,21-25 years
S12000034,2014/2015,Ratio,Percent reconvicted,30.5,Male,21-25 years
S12000018,2013/2014,Mean,Average reconvictions per offender,0.63,Male,31-40 years
S12000018,2014/2015,Ratio,Percent reconvicted,22.5,Male,Over 40 years
S12000034,2012/2013,Mean,Average reconvictions per offender,0.54,Male,31-40 years
S12000018,2016/2017,Ratio,Percent reconvicted,23.3,Male,26-30 years
S12000018,2016/2017,Ratio,Percent reconvicted,33.5,Male,31-40 years
S12000034,2013/2014,Ratio,Percent reconvicted,28.3,Male,All
S12000034,2016/2017,Mean,Average reconvictions per offender,0.58,Male,21-25 years
S12000034,2012/2013,Mean,Average reconvictions per offender,0.34,Male,Over 40 years
S12000034,2015/2016,Ratio,Percent reconvicted,31.8,Male,21-25 years
S12000034,2016/2017,Mean,Average reconvictions per offender,0.63,Male,All
S12000034,2013/2014,Ratio,Percent reconvicted,30.8,Male,31-40 years
S12000034,2017/2018,Mean,Average reconvictions per offender,0.59,Male,All
S12000018,2012/2013,Ratio,Percent reconvicted,41.3,Male,26-30 years
S12000018,2013/2014,Ratio,Percent reconvicted,33.3,Male,31-40 years
S12000018,2013/2014,Mean,Average reconvictions per offender,0.54,Male,26-30 years
S12000034,2017/2018,Mean,Average reconvictions per offender,0.76,Male,Under 21 years
S12000018,2013/2014,Ratio,Percent reconvicted,31.4,Male,All
S12000034,2012/2013,Ratio,Percent reconvicted,20.9,Male,Over 40 years
S12000018,2015/2016,Ratio,Percent reconvicted,33.7,Male,31-40 years
S12000033,2013/2014,Ratio,Percent reconvicted,18.4,Male,Over 40 years
S12000033,2016/2017,Ratio,Percent reconvicted,36.1,Male,Under 21 years
S12000033,2012/2013,Ratio,Percent reconvicted,29.3,Male,31-40 years
S12000033,2015/2016,Ratio,Percent reconvicted,32.5,Male,Under 21 years
S12000018,2012/2013,Ratio,Percent reconvicted,38.7,Male,Under 21 years
S12000033,2012/2013,Ratio,Percent reconvicted,20.9,Male,Over 40 years
S12000033,2016/2017,Ratio,Percent reconvicted,32.4,Male,26-30 years
S12000033,2013/2014,Mean,Average reconvictions per offender,0.35,Male,Over 40 years
S12000018,2014/2015,Ratio,Percent reconvicted,34.4,Male,Under 21 years
S12000033,2016/2017,Ratio,Percent reconvicted,31.1,Male,21-25 years
S12000018,2015/2016,Mean,Average reconvictions per offender,0.56,Male,All
S12000033,2016/2017,Ratio,Percent reconvicted,33.6,Male,31-40 years
S12000018,2014/2015,Ratio,Percent reconvicted,31.6,Male,26-30 years
S12000033,2015/2016,Ratio,Percent reconvicted,21.4,Male,Over 40 years
S12000018,2015/2016,Mean,Average reconvictions per offender,0.4,Male,Over 40 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.57,Male,All
S12000018,2012/2013,Mean,Average reconvictions per offender,0.59,Male,All
S12000018,2017/2018,Mean,Average reconvictions per offender,0.45,Male,All
S12000033,2017/2018,Ratio,Percent reconvicted,30.9,Male,All
S12000033,2013/2014,Mean,Average reconvictions per offender,0.59,Male,31-40 years
S12000033,2017/2018,Mean,Average reconvictions per offender,0.76,Male,Under 21 years
S12000034,2016/2017,Ratio,Percent reconvicted,31.1,Male,21-25 years
S12000018,2015/2016,Ratio,Percent reconvicted,39.1,Male,21-25 years
S12000018,2015/2016,Ratio,Percent reconvicted,34.9,Male,Under 21 years
S12000018,2017/2018,Mean,Average reconvictions per offender,0.64,Male,21-25 years
S12000034,2013/2014,Mean,Average reconvictions per offender,0.35,Male,Over 40 years
S12000018,2017/2018,Mean,Average reconvictions per offender,0.33,Male,Over 40 years
S12000018,2014/2015,Ratio,Percent reconvicted,37,Male,31-40 years
S12000018,2014/2015,Ratio,Percent reconvicted,31.3,Male,All
S12000034,2017/2018,Ratio,Percent reconvicted,33.1,Male,31-40 years
S12000018,2017/2018,Ratio,Percent reconvicted,28.5,Male,All
S12000018,2016/2017,Ratio,Percent reconvicted,43.2,Male,Under 21 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.68,Male,31-40 years
S12000018,2012/2013,Mean,Average reconvictions per offender,0.75,Male,Under 21 years
S12000033,2012/2013,Mean,Average reconvictions per offender,0.34,Male,Over 40 years
S12000033,2013/2014,Mean,Average reconvictions per offender,0.63,Male,Under 21 years
S12000033,2012/2013,Ratio,Percent reconvicted,29,Male,All
S12000018,2013/2014,Mean,Average reconvictions per offender,0.43,Male,21-25 years
S12000018,2016/2017,Mean,Average reconvictions per offender,0.65,Male,21-25 years
S12000033,2012/2013,Ratio,Percent reconvicted,30.1,Male,21-25 years
S12000033,2015/2016,Mean,Average reconvictions per offender,0.62,Male,26-30 years
S12000033,2013/2014,Ratio,Percent reconvicted,38.4,Male,Under 21 years
S12000018,2013/2014,Ratio,Percent reconvicted,32.1,Male,21-25 years
S12000034,2012/2013,Mean,Average reconvictions per offender,0.51,Male,All
S12000017,2015/2016,Mean,Average reconvictions per offender,0.5,Male,21-25 years
S12000034,2016/2017,Mean,Average reconvictions per offender,0.73,Male,31-40 years
S12000034,2016/2017,Ratio,Percent reconvicted,30.9,Male,All
S12000034,2013/2014,Mean,Average reconvictions per offender,0.59,Male,31-40 years
S12000034,2012/2013,Ratio,Percent reconvicted,29,Male,All
S12000017,2015/2016,Mean,Average reconvictions per offender,0.39,Male,Over 40 years
S12000017,2014/2015,Ratio,Percent reconvicted,25.2,Male,21-25 years
S12000034,2013/2014,Mean,Average reconvictions per offender,0.52,Male,All
S12000017,2014/2015,Mean,Average reconvictions per offender,0.38,Male,26-30 years
S12000017,2012/2013,Ratio,Percent reconvicted,26.4,Male,All
S12000034,2014/2015,Ratio,Percent reconvicted,27.5,Male,All
S12000017,2013/2014,Ratio,Percent reconvicted,19,Male,Over 40 years
S12000017,2013/2014,Ratio,Percent reconvicted,24.3,Male,All
S12000018,2016/2017,Mean,Average reconvictions per offender,0.54,Male,All
S12000034,2017/2018,Ratio,Percent reconvicted,30.9,Male,All
S12000034,2015/2016,Mean,Average reconvictions per offender,0.57,Male,All
S12000017,2014/2015,Mean,Average reconvictions per offender,0.3,Male,Over 40 years
S12000034,2016/2017,Ratio,Percent reconvicted,33.6,Male,31-40 years
S12000034,2014/2015,Mean,Average reconvictions per offender,0.56,Male,31-40 years
S12000017,2016/2017,Mean,Average reconvictions per offender,0.45,Male,26-30 years
S12000034,2013/2014,Mean,Average reconvictions per offender,0.63,Male,Under 21 years
S12000034,2012/2013,Mean,Average reconvictions per offender,0.56,Male,26-30 years
S12000017,2014/2015,Ratio,Percent reconvicted,26,Male,26-30 years
S12000034,2013/2014,Mean,Average reconvictions per offender,0.53,Male,26-30 years
S12000034,2014/2015,Mean,Average reconvictions per offender,0.46,Male,26-30 years
S12000017,2017/2018,Mean,Average reconvictions per offender,0.57,Male,26-30 years
S12000034,2017/2018,Ratio,Percent reconvicted,34.1,Male,26-30 years
S12000017,2013/2014,Mean,Average reconvictions per offender,0.33,Male,Over 40 years
S12000017,2015/2016,Ratio,Percent reconvicted,31.1,Male,Under 21 years
S12000017,2016/2017,Ratio,Percent reconvicted,34.5,Male,21-25 years
S12000034,2016/2017,Mean,Average reconvictions per offender,0.66,Male,26-30 years
S12000034,2016/2017,Ratio,Percent reconvicted,32.4,Male,26-30 years
S12000034,2016/2017,Ratio,Percent reconvicted,23.4,Male,Over 40 years
S12000017,2014/2015,Mean,Average reconvictions per offender,0.37,Male,31-40 years
S12000017,2017/2018,Mean,Average reconvictions per offender,0.45,Male,31-40 years
S12000017,2013/2014,Mean,Average reconvictions per offender,0.39,Male,All
S12000017,2016/2017,Mean,Average reconvictions per offender,0.39,Male,31-40 years
S12000017,2013/2014,Mean,Average reconvictions per offender,0.41,Male,21-25 years
S12000017,2017/2018,Ratio,Percent reconvicted,26,Male,All
S12000034,2015/2016,Mean,Average reconvictions per offender,0.62,Male,26-30 years
S12000034,2017/2018,Mean,Average reconvictions per offender,0.63,Male,26-30 years
S12000017,2014/2015,Mean,Average reconvictions per offender,0.39,Male,21-25 years
S12000017,2015/2016,Mean,Average reconvictions per offender,0.51,Male,Under 21 years
S12000018,2014/2015,Mean,Average reconvictions per offender,0.56,Male,All
S12000018,2014/2015,Mean,Average reconvictions per offender,0.6,Male,Under 21 years
S12000018,2017/2018,Ratio,Percent reconvicted,20.9,Male,Over 40 years
S12000034,2015/2016,Ratio,Percent reconvicted,32.5,Male,Under 21 years
S12000018,2012/2013,Ratio,Percent reconvicted,31,Male,21-25 years
S12000018,2016/2017,Mean,Average reconvictions per offender,0.58,Male,31-40 years
S12000018,2016/2017,Ratio,Percent reconvicted,38.2,Male,21-25 years
S12000034,2012/2013,Mean,Average reconvictions per offender,0.5,Male,21-25 years
S12000034,2017/2018,Mean,Average reconvictions per offender,0.52,Male,21-25 years
S12000034,2013/2014,Mean,Average reconvictions per offender,0.54,Male,21-25 years
S12000034,2015/2016,Mean,Average reconvictions per offender,0.53,Male,21-25 years
S12000018,2013/2014,Ratio,Percent reconvicted,39.7,Male,Under 21 years
S12000018,2017/2018,Ratio,Percent reconvicted,40.7,Male,21-25 years
S12000018,2017/2018,Ratio,Percent reconvicted,31.5,Male,26-30 years
S12000034,2013/2014,Ratio,Percent reconvicted,38.4,Male,Under 21 years
S12000034,2015/2016,Ratio,Percent reconvicted,21.4,Male,Over 40 years
S12000034,2016/2017,Mean,Average reconvictions per offender,0.78,Male,Under 21 years
S12000018,2017/2018,Mean,Average reconvictions per offender,0.48,Male,26-30 years
S12000034,2014/2015,Ratio,Percent reconvicted,20.4,Male,Over 40 years
S12000018,2013/2014,Ratio,Percent reconvicted,21.3,Male,Over 40 years
S12000034,2014/2015,Ratio,Percent reconvicted,33.1,Male,Under 21 years
S12000034,2012/2013,Ratio,Percent reconvicted,36.9,Male,Under 21 years
S12000034,2013/2014,Ratio,Percent reconvicted,29,Male,26-30 years
S12000034,2015/2016,Mean,Average reconvictions per offender,0.66,Male,Under 21 years
S12000018,2012/2013,Mean,Average reconvictions per offender,0.68,Male,31-40 years
S12000034,2014/2015,Mean,Average reconvictions per offender,0.5,Male,All
S12000034,2014/2015,Ratio,Percent reconvicted,26.8,Male,26-30 years
S12000018,2015/2016,Ratio,Percent reconvicted,33.7,Male,26-30 years
S12000018,2016/2017,Mean,Average reconvictions per offender,0.37,Male,26-30 years
S12000034,2012/2013,Ratio,Percent reconvicted,28.9,Male,26-30 years
S12000034,2015/2016,Ratio,Percent reconvicted,29.5,Male,26-30 years
S12000034,2014/2015,Mean,Average reconvictions per offender,0.61,Male,Under 21 years
S12000034,2012/2013,Mean,Average reconvictions per offender,0.62,Male,Under 21 years
S12000034,2017/2018,Ratio,Percent reconvicted,30.8,Male,21-25 years
S12000034,2014/2015,Mean,Average reconvictions per offender,0.55,Male,21-25 years
S12000018,2012/2013,Ratio,Percent reconvicted,23.9,Male,Over 40 years
S12000034,2016/2017,Mean,Average reconvictions per offender,0.44,Male,Over 40 years
S12000018,2013/2014,Mean,Average reconvictions per offender,0.84,Male,Under 21 years
S12000018,2013/2014,Ratio,Percent reconvicted,37.6,Male,26-30 years
S12000018,2015/2016,Mean,Average reconvictions per offender,0.6,Male,Under 21 years
S12000034,2017/2018,Mean,Average reconvictions per offender,0.42,Male,Over 40 years
S12000034,2017/2018,Ratio,Percent reconvicted,39.2,Male,Under 21 years
S12000018,2014/2015,Mean,Average reconvictions per offender,0.4,Male,Over 40 years
S12000018,2014/2015,Ratio,Percent reconvicted,34.4,Male,21-25 years
S12000038,2017/2018,Mean,Average reconvictions per offender,0.7,Male,Under 21 years
S12000038,2014/2015,Ratio,Percent reconvicted,26.8,Male,21-25 years
S12000038,2012/2013,Ratio,Percent reconvicted,30.3,Male,All
S12000011,2015/2016,Ratio,Percent reconvicted,27.6,Male,All
S12000011,2017/2018,Ratio,Percent reconvicted,26.4,Male,31-40 years
S12000011,2012/2013,Mean,Average reconvictions per offender,0.5,Male,All
S12000038,2012/2013,Mean,Average reconvictions per offender,0.49,Male,21-25 years
S12000038,2012/2013,Ratio,Percent reconvicted,31.1,Male,21-25 years
S12000011,2016/2017,Ratio,Percent reconvicted,31.3,Male,21-25 years
S12000038,2014/2015,Ratio,Percent reconvicted,29.9,Male,All
S12000038,2013/2014,Ratio,Percent reconvicted,39,Male,Under 21 years
S12000038,2017/2018,Ratio,Percent reconvicted,27.9,Male,21-25 years
S12000038,2015/2016,Mean,Average reconvictions per offender,0.38,Male,21-25 years
S12000011,2016/2017,Ratio,Percent reconvicted,17.4,Male,Over 40 years
