FeatureCode,DateCode,Measurement,Units,Value,Indicator (travel to work)
S12000039,2005,Ratio,Percent Of Journeys,21,% Commuting Journeys
S12000039,2013,Ratio,Percent Of Journeys,1.5,% Health Journeys
S12000039,2018,Ratio,Percent Of Journeys,4,% Health Journeys
S12000039,2015,Ratio,Percent Of Journeys,1.1,% Health Journeys
S12000039,2003,Ratio,Percent Of Journeys,3.9,% Business Journeys
S12000039,2005,Ratio,Percent Of Journeys,1,% Business Journeys
S12000039,2015,Ratio,Percent Of Journeys,0.2,% Business Journeys
S12000039,2016,Ratio,Percent Of Journeys,11.9,% Bus Journeys To Work
S12000039,2014,Ratio,Percent Of Journeys,3.3,% Health Journeys
S12000039,2017,Ratio,Percent Of Journeys,1,% Business Journeys
S12000039,2017,Ratio,Percent Of Journeys,4,% Cycling Journeys To Work
S12000039,2016,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000039,2018,Ratio,Percent Of Journeys,8,% Education Journeys
S12000039,2013,Ratio,Percent Of Journeys,7.8,% Train Journeys To Work
S12000039,2019,Ratio,Percent Of Journeys,8,% Education Journeys
S12000039,2007,Ratio,Percent Of Journeys,2.7,% Cycling Journeys To Work
S12000039,2005,Ratio,Percent Of Journeys,0.4,% Cycling Journeys To Work
S12000039,2018,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000039,2016,Ratio,Percent Of Journeys,15.6,% Train Journeys To Work
S12000039,2009,Ratio,Percent Of Journeys,8.6,% Train Journeys To Work
S12000039,2016,Ratio,Percent Of Journeys,39.1,% Commuting Journeys
S12000039,2018,Ratio,Percent Of Journeys,25,% Shopping Journeys
S12000039,2015,Ratio,Percent Of Journeys,11.7,% Train Journeys To Work
S12000039,2014,Ratio,Percent Of Journeys,10.7,% Train Journeys To Work
S12000039,2007,Ratio,Percent Of Journeys,6.7,% Train Journeys To Work
S12000039,2014,Ratio,Percent Of Journeys,0.8,% Cycling Journeys To Work
S12000039,2003,Ratio,Percent Of Journeys,47.6,% Child Journeys To School By Walking/Cycling
S12000039,2005,Ratio,Percent Of Journeys,58.6,% Child Journeys To School By Walking/Cycling
S12000039,2007,Ratio,Percent Of Journeys,44.5,% Child Journeys To School By Walking/Cycling
S12000039,2001,Ratio,Percent Of Journeys,0.3,% Cycling Journeys To Work
S12000039,1999,Ratio,Percent Of Journeys,46.3,% Child Journeys To School By Walking/Cycling
S12000039,2017,Ratio,Percent Of Journeys,2.7,% Education Journeys
S12000039,2001,Ratio,Percent Of Journeys,49.8,% Child Journeys To School By Walking/Cycling
S12000039,2012,Ratio,Percent Of Journeys,1.7,% Cycling Journeys To Work
S12000039,2005,Ratio,Percent Of Journeys,28,% Shopping Journeys
S12000039,2009,Ratio,Percent Of Journeys,1.3,% Cycling Journeys To Work
S12000039,2013,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000039,2015,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000039,2017,Ratio,Percent Of Journeys,27.4,% Commuting Journeys
S12000039,2003,Ratio,Percent Of Journeys,0.5,% Cycling Journeys To Work
S12000039,2001,Ratio,Percent Of Journeys,27.1,% Shopping Journeys
S12000039,2003,Ratio,Percent Of Journeys,22.4,% Shopping Journeys
S12000039,2013,Ratio,Percent Of Journeys,33.6,% Child Journeys To School By Walking/Cycling
S12000039,2003,Ratio,Percent Of Journeys,23.1,% Commuting Journeys
S12000039,2014,Ratio,Percent Of Journeys,50.4,% Child Journeys To School By Walking/Cycling
S12000039,2012,Ratio,Percent Of Journeys,32.4,% Shopping Journeys
S12000039,2005,Ratio,Percent Of Journeys,2,% Education Journeys
S12000039,2012,Ratio,Percent Of Journeys,56,% Child Journeys To School By Walking/Cycling
S12000039,2001,Ratio,Percent Of Journeys,24,% Commuting Journeys
S12000039,2003,Ratio,Percent Of Journeys,4.2,% Education Journeys
S12000039,2015,Ratio,Percent Of Journeys,26.9,% Shopping Journeys
S12000039,2016,Ratio,Percent Of Journeys,7.1,% Education Journeys
S12000039,2013,Ratio,Percent Of Journeys,4,% Education Journeys
S12000039,1999,Ratio,Percent Of Journeys,4.5,% Education Journeys
S12000039,2013,Ratio,Percent Of Journeys,15.8,% Shopping Journeys
S12000039,2007,Ratio,Percent Of Journeys,25.9,% Shopping Journeys
S12000039,2014,Ratio,Percent Of Journeys,5.4,% Education Journeys
S12000039,1999,Ratio,Percent Of Journeys,10.3,% Train Journeys To Work
S12000039,2001,Ratio,Percent Of Journeys,8.2,% Train Journeys To Work
S12000039,1999,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000039,2014,Ratio,Percent Of Journeys,24.3,% Commuting Journeys
S12000039,2005,Ratio,Percent Of Journeys,5.9,% Train Journeys To Work
S12000039,2012,Ratio,Percent Of Journeys,9.3,% Train Journeys To Work
S12000039,2003,Ratio,Percent Of Journeys,7.7,% Train Journeys To Work
S12000039,2019,Ratio,Percent Of Journeys,2,% Cycling Journeys To Work
S12000039,2015,Ratio,Percent Of Journeys,45.3,% Child Journeys To School By Walking/Cycling
S12000039,2016,Ratio,Percent Of Journeys,41.8,% Child Journeys To School By Walking/Cycling
S12000039,1999,Ratio,Percent Of Journeys,26.2,% Shopping Journeys
S12000039,2009,Ratio,Percent Of Journeys,43,% Child Journeys To School By Walking/Cycling
S12000039,2001,Ratio,Percent Of Journeys,1.9,% Education Journeys
S12000040,2009,Ratio,Percent Of Journeys,53.2,% Child Journeys To School By Walking/Cycling
S12000040,2016,Ratio,Percent Of Journeys,61.3,% Child Journeys To School By Walking/Cycling
S12000040,2003,Ratio,Percent Of Journeys,7.9,% Bus Journeys To Work
S12000040,2017,Ratio,Percent Of Journeys,3.4,% Business Journeys
S12000040,2003,Ratio,Percent Of Journeys,2.9,% Health Journeys
S12000040,2001,Ratio,Percent Of Journeys,55.7,% Child Journeys To School By Walking/Cycling
S12000040,2019,Ratio,Percent Of Journeys,27,% Commuting Journeys
S12000040,2017,Ratio,Percent Of Journeys,2.2,% Health Journeys
S12000040,2003,Ratio,Percent Of Journeys,58.1,% Child Journeys To School By Walking/Cycling
S12000040,2007,Ratio,Percent Of Journeys,56.3,% Child Journeys To School By Walking/Cycling
S12000040,1999,Ratio,Percent Of Journeys,59.6,% Child Journeys To School By Walking/Cycling
S12000040,2005,Ratio,Percent Of Journeys,58.3,% Child Journeys To School By Walking/Cycling
S12000040,2018,Ratio,Percent Of Journeys,3,% Bus Journeys To Work
S12000040,2012,Ratio,Percent Of Journeys,19.3,% Shopping Journeys
S12000040,2007,Ratio,Percent Of Journeys,23.4,% Shopping Journeys
S12000040,2009,Ratio,Percent Of Journeys,23.8,% Shopping Journeys
S12000040,1999,Ratio,Percent Of Journeys,13.2,% Bus Journeys To Work
S12000040,2019,Ratio,Percent Of Journeys,6,% Bus Journeys To Work
S12000040,2017,Ratio,Percent Of Journeys,18.5,% Shopping Journeys
S12000040,2017,Ratio,Percent Of Journeys,7,% Bus Journeys To Work
S12000040,2016,Ratio,Percent Of Journeys,28.8,% Shopping Journeys
S12000040,2003,Ratio,Percent Of Journeys,24,% Shopping Journeys
S12000040,2019,Ratio,Percent Of Journeys,20,% Shopping Journeys
S12000040,2005,Ratio,Percent Of Journeys,23,% Shopping Journeys
S12000040,2001,Ratio,Percent Of Journeys,26.4,% Shopping Journeys
S12000040,1999,Ratio,Percent Of Journeys,22.5,% Shopping Journeys
S12000040,2013,Ratio,Percent Of Journeys,17.7,% Shopping Journeys
S12000040,2014,Ratio,Percent Of Journeys,24.4,% Shopping Journeys
S12000040,2013,Ratio,Percent Of Journeys,38.5,% Child Journeys To School By Walking/Cycling
S12000040,2012,Ratio,Percent Of Journeys,54.8,% Child Journeys To School By Walking/Cycling
S12000040,2015,Ratio,Percent Of Journeys,7.2,% Bus Journeys To Work
S12000040,2019,Ratio,Percent Of Journeys,84,% Child Journeys To School By Walking/Cycling
S12000040,2007,Ratio,Percent Of Journeys,11.2,% Bus Journeys To Work
S12000040,2015,Ratio,Percent Of Journeys,46.8,% Child Journeys To School By Walking/Cycling
S12000040,2014,Ratio,Percent Of Journeys,52,% Child Journeys To School By Walking/Cycling
S12000040,2005,Ratio,Percent Of Journeys,8.4,% Bus Journeys To Work
S12000040,2016,Ratio,Percent Of Journeys,6,% Bus Journeys To Work
S12000040,2014,Ratio,Percent Of Journeys,5.7,% Bus Journeys To Work
S12000040,2001,Ratio,Percent Of Journeys,8.6,% Bus Journeys To Work
S12000040,2013,Ratio,Percent Of Journeys,6.3,% Bus Journeys To Work
S12000040,2012,Ratio,Percent Of Journeys,3.6,% Bus Journeys To Work
S12000040,2009,Ratio,Percent Of Journeys,6.3,% Bus Journeys To Work
S12000040,2015,Ratio,Percent Of Journeys,28.4,% Shopping Journeys
S12000040,2015,Ratio,Percent Of Journeys,4.7,% Education Journeys
S12000040,2014,Ratio,Percent Of Journeys,4.2,% Education Journeys
S12000040,2001,Ratio,Percent Of Journeys,2.2,% Education Journeys
S12000040,1999,Ratio,Percent Of Journeys,1.6,% Education Journeys
S12000040,2001,Ratio,Percent Of Journeys,3.1,% Train Journeys To Work
S12000040,2003,Ratio,Percent Of Journeys,4.1,% Education Journeys
S12000040,2017,Ratio,Percent Of Journeys,18.6,% Commuting Journeys
S12000040,2018,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000040,2003,Ratio,Percent Of Journeys,5.4,% Train Journeys To Work
S12000040,2009,Ratio,Percent Of Journeys,1.3,% Train Journeys To Work
S12000040,2013,Ratio,Percent Of Journeys,6.8,% Education Journeys
S12000040,2001,Ratio,Percent Of Journeys,0.4,% Cycling Journeys To Work
S12000040,2018,Ratio,Percent Of Journeys,1,% Train Journeys To Work
S12000040,2019,Ratio,Percent Of Journeys,8,% Train Journeys To Work
S12000040,1999,Ratio,Percent Of Journeys,3.6,% Train Journeys To Work
S12000040,2018,Ratio,Percent Of Journeys,4,% Walking Journeys To Work
S12000040,1999,Ratio,Percent Of Journeys,26.8,% Commuting Journeys
S12000040,2001,Ratio,Percent Of Journeys,27.3,% Commuting Journeys
S12000040,2005,Ratio,Percent Of Journeys,5,% Education Journeys
S12000040,2016,Ratio,Percent Of Journeys,5.7,% Education Journeys
S12000040,2017,Ratio,Percent Of Journeys,2,% Train Journeys To Work
S12000040,2007,Ratio,Percent Of Journeys,1.8,% Education Journeys
S12000040,2009,Ratio,Percent Of Journeys,4.1,% Education Journeys
S12000040,2012,Ratio,Percent Of Journeys,5.3,% Education Journeys
S12000040,2018,Ratio,Percent Of Journeys,6,% Education Journeys
S12000040,2019,Ratio,Percent Of Journeys,8,% Education Journeys
S12000040,2019,Ratio,Percent Of Journeys,2,% Cycling Journeys To Work
S12000040,2017,Ratio,Percent Of Journeys,5.4,% Education Journeys
S12000040,2013,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000040,2003,Ratio,Percent Of Journeys,1.1,% Cycling Journeys To Work
S12000040,2014,Ratio,Percent Of Journeys,1,% Cycling Journeys To Work
S12000040,1999,Ratio,Percent Of Journeys,0.9,% Cycling Journeys To Work
S12000040,2005,Ratio,Percent Of Journeys,27,% Commuting Journeys
S12000040,2015,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000040,2012,Ratio,Percent Of Journeys,1.7,% Cycling Journeys To Work
S12000040,2016,Ratio,Percent Of Journeys,0,% Cycling Journeys To Work
S12000040,2014,Ratio,Percent Of Journeys,8.3,% Train Journeys To Work
S12000040,2012,Ratio,Percent Of Journeys,8,% Train Journeys To Work
S12000040,2005,Ratio,Percent Of Journeys,5.9,% Train Journeys To Work
S12000040,2016,Ratio,Percent Of Journeys,7.1,% Train Journeys To Work
S12000040,2015,Ratio,Percent Of Journeys,4.2,% Train Journeys To Work
S12000040,2013,Ratio,Percent Of Journeys,5.4,% Train Journeys To Work
S12000040,2005,Ratio,Percent Of Journeys,1.1,% Cycling Journeys To Work
S12000040,2009,Ratio,Percent Of Journeys,2.4,% Cycling Journeys To Work
S12000040,2007,Ratio,Percent Of Journeys,3,% Cycling Journeys To Work
S12000040,2007,Ratio,Percent Of Journeys,5.3,% Train Journeys To Work
S12000040,2017,Ratio,Percent Of Journeys,3.5,% Cycling Journeys To Work
S12000040,2005,Ratio,Percent Of Journeys,4,% Business Journeys
S12000040,2009,Ratio,Percent Of Journeys,0.4,% Business Journeys
S12000040,2007,Ratio,Percent Of Journeys,2.3,% Business Journeys
S12000040,2003,Ratio,Percent Of Journeys,3.7,% Business Journeys
S12000040,2019,Ratio,Percent Of Journeys,4,% Health Journeys
S12000040,2001,Ratio,Percent Of Journeys,2.6,% Business Journeys
S12000040,2016,Ratio,Percent Of Journeys,2.4,% Business Journeys
S12000040,1999,Ratio,Percent Of Journeys,4.3,% Business Journeys
S12000040,2013,Ratio,Percent Of Journeys,1,% Business Journeys
S12000040,2014,Ratio,Percent Of Journeys,3.4,% Business Journeys
S12000040,2015,Ratio,Percent Of Journeys,2.6,% Business Journeys
S12000040,2018,Ratio,Percent Of Journeys,2,% Health Journeys
S12000040,2005,Ratio,Percent Of Journeys,3,% Health Journeys
S12000040,2007,Ratio,Percent Of Journeys,3,% Health Journeys
S12000040,2014,Ratio,Percent Of Journeys,2,% Health Journeys
S12000040,2001,Ratio,Percent Of Journeys,2.3,% Health Journeys
S12000040,2019,Ratio,Percent Of Journeys,3,% Business Journeys
S12000040,2016,Ratio,Percent Of Journeys,0.5,% Health Journeys
S12000040,2012,Ratio,Percent Of Journeys,2.8,% Health Journeys
S12000040,2012,Ratio,Percent Of Journeys,1,% Business Journeys
S12000040,1999,Ratio,Percent Of Journeys,3.3,% Health Journeys
S12000040,2009,Ratio,Percent Of Journeys,1.8,% Health Journeys
S12000040,2015,Ratio,Percent Of Journeys,0.9,% Health Journeys
S12000040,2013,Ratio,Percent Of Journeys,2.4,% Health Journeys
S12000040,2009,Ratio,Percent Of Journeys,29.5,% Commuting Journeys
S12000040,2013,Ratio,Percent Of Journeys,13.1,% Walking Journeys To Work
S12000040,2013,Ratio,Percent Of Journeys,25.8,% Commuting Journeys
S12000040,2014,Ratio,Percent Of Journeys,2.9,% Walking Journeys To Work
S12000040,2009,Ratio,Percent Of Journeys,7.9,% Walking Journeys To Work
S12000040,2016,Ratio,Percent Of Journeys,8,% Walking Journeys To Work
S12000040,2015,Ratio,Percent Of Journeys,17.2,% Walking Journeys To Work
S12000040,2014,Ratio,Percent Of Journeys,29,% Commuting Journeys
S12000040,2019,Ratio,Percent Of Journeys,10,% Walking Journeys To Work
S12000040,2015,Ratio,Percent Of Journeys,21.4,% Commuting Journeys
S12000040,2007,Ratio,Percent Of Journeys,27.1,% Commuting Journeys
S12000040,2016,Ratio,Percent Of Journeys,20,% Commuting Journeys
S12000040,2003,Ratio,Percent Of Journeys,7.8,% Walking Journeys To Work
S12000040,2012,Ratio,Percent Of Journeys,5.8,% Walking Journeys To Work
S12000040,2005,Ratio,Percent Of Journeys,7.1,% Walking Journeys To Work
S12000040,2018,Ratio,Percent Of Journeys,24,% Commuting Journeys
S12000040,2017,Ratio,Percent Of Journeys,5.7,% Walking Journeys To Work
S12000040,2001,Ratio,Percent Of Journeys,7.6,% Walking Journeys To Work
S12000040,2012,Ratio,Percent Of Journeys,25.7,% Commuting Journeys
S12000040,1999,Ratio,Percent Of Journeys,11.7,% Walking Journeys To Work
S12000040,2007,Ratio,Percent Of Journeys,7.7,% Walking Journeys To Work
S12000040,2018,Ratio,Percent Of Journeys,0,% Business Journeys
S12000040,2003,Ratio,Percent Of Journeys,29.1,% Commuting Journeys
S12000040,2018,Ratio,Percent Of Journeys,30,% Shopping Journeys
S92000003,2000,Ratio,Percent Of Journeys,2.4,% Health Journeys
S92000003,2014,Ratio,Percent Of Journeys,2,% Health Journeys
S92000003,2015,Ratio,Percent Of Journeys,2,% Health Journeys
S92000003,2001,Ratio,Percent Of Journeys,2.4,% Health Journeys
S92000003,2017,Ratio,Percent Of Journeys,2.3,% Health Journeys
S92000003,1999,Ratio,Percent Of Journeys,2.2,% Health Journeys
S92000003,2005,Ratio,Percent Of Journeys,4.2,% Business Journeys
S92000003,2013,Ratio,Percent Of Journeys,2.5,% Business Journeys
S92000003,2016,Ratio,Percent Of Journeys,2.1,% Health Journeys
S92000003,2003,Ratio,Percent Of Journeys,3.7,% Business Journeys
S92000003,2004,Ratio,Percent Of Journeys,3.8,% Business Journeys
S92000003,2006,Ratio,Percent Of Journeys,4,% Business Journeys
S92000003,2016,Ratio,Percent Of Journeys,2.6,% Cycling Journeys To Work
S92000003,2015,Ratio,Percent Of Journeys,22.4,% Commuting Journeys
S92000003,2019,Ratio,Percent Of Journeys,23.3,% Commuting Journeys
S92000003,2013,Ratio,Percent Of Journeys,22.4,% Commuting Journeys
S92000003,2005,Ratio,Percent Of Journeys,26.8,% Commuting Journeys
S92000003,2017,Ratio,Percent Of Journeys,1.9,% Business Journeys
S92000003,2006,Ratio,Percent Of Journeys,2.6,% Health Journeys
S92000003,2004,Ratio,Percent Of Journeys,2.8,% Health Journeys
S92000003,2005,Ratio,Percent Of Journeys,2.3,% Health Journeys
S92000003,2002,Ratio,Percent Of Journeys,2.3,% Health Journeys
S92000003,2019,Ratio,Percent Of Journeys,2.4,% Business Journeys
S92000003,2003,Ratio,Percent Of Journeys,2.5,% Health Journeys
S92000003,2007,Ratio,Percent Of Journeys,1.4,% Business Journeys
S92000003,2015,Ratio,Percent Of Journeys,2.2,% Business Journeys
S92000003,2010,Ratio,Percent Of Journeys,0.9,% Business Journeys
S92000003,2016,Ratio,Percent Of Journeys,12.3,% Walking Journeys To Work
S92000003,2012,Ratio,Percent Of Journeys,1.9,% Business Journeys
S92000003,2014,Ratio,Percent Of Journeys,2.3,% Business Journeys
S92000003,2002,Ratio,Percent Of Journeys,13.2,% Walking Journeys To Work
S92000003,2009,Ratio,Percent Of Journeys,1.1,% Business Journeys
S92000003,2016,Ratio,Percent Of Journeys,1.9,% Business Journeys
S92000003,2004,Ratio,Percent Of Journeys,12.7,% Walking Journeys To Work
S92000003,2003,Ratio,Percent Of Journeys,12.6,% Walking Journeys To Work
S92000003,2008,Ratio,Percent Of Journeys,1.2,% Business Journeys
S92000003,2000,Ratio,Percent Of Journeys,4.5,% Business Journeys
S92000003,2002,Ratio,Percent Of Journeys,4,% Business Journeys
S92000003,2001,Ratio,Percent Of Journeys,4,% Business Journeys
S92000003,2013,Ratio,Percent Of Journeys,1.9,% Health Journeys
S92000003,2019,Ratio,Percent Of Journeys,2.2,% Health Journeys
S92000003,1999,Ratio,Percent Of Journeys,4.4,% Business Journeys
S92000003,2008,Ratio,Percent Of Journeys,2.4,% Health Journeys
S92000003,2007,Ratio,Percent Of Journeys,2.5,% Health Journeys
S92000003,2018,Ratio,Percent Of Journeys,2.5,% Health Journeys
S92000003,2010,Ratio,Percent Of Journeys,2.5,% Health Journeys
S92000003,2012,Ratio,Percent Of Journeys,2.2,% Health Journeys
S92000003,2009,Ratio,Percent Of Journeys,2.5,% Health Journeys
S92000003,2013,Ratio,Percent Of Journeys,23,% Shopping Journeys
S92000003,2006,Ratio,Percent Of Journeys,25.6,% Commuting Journeys
S92000003,2004,Ratio,Percent Of Journeys,22.9,% Shopping Journeys
S92000003,2007,Ratio,Percent Of Journeys,23.9,% Commuting Journeys
S92000003,2012,Ratio,Percent Of Journeys,23.4,% Commuting Journeys
S92000003,2016,Ratio,Percent Of Journeys,23.4,% Shopping Journeys
S92000003,2008,Ratio,Percent Of Journeys,24.2,% Commuting Journeys
S92000003,2014,Ratio,Percent Of Journeys,22.6,% Shopping Journeys
S92000003,2018,Ratio,Percent Of Journeys,10.1,% Bus Journeys To Work
S92000003,2002,Ratio,Percent Of Journeys,22.9,% Shopping Journeys
S92000003,2003,Ratio,Percent Of Journeys,23,% Shopping Journeys
S92000003,2019,Ratio,Percent Of Journeys,23.6,% Shopping Journeys
S92000003,2006,Ratio,Percent Of Journeys,21.3,% Shopping Journeys
S92000003,2010,Ratio,Percent Of Journeys,23.3,% Shopping Journeys
S92000003,2005,Ratio,Percent Of Journeys,21.2,% Shopping Journeys
S92000003,2009,Ratio,Percent Of Journeys,23.1,% Shopping Journeys
S92000003,2015,Ratio,Percent Of Journeys,23.8,% Shopping Journeys
S92000003,2012,Ratio,Percent Of Journeys,23.1,% Shopping Journeys
S92000003,2001,Ratio,Percent Of Journeys,23.2,% Shopping Journeys
S92000003,1999,Ratio,Percent Of Journeys,22.3,% Shopping Journeys
S92000003,2009,Ratio,Percent Of Journeys,25.1,% Commuting Journeys
S92000003,2007,Ratio,Percent Of Journeys,23.1,% Shopping Journeys
S92000003,2008,Ratio,Percent Of Journeys,22.8,% Shopping Journeys
S92000003,2000,Ratio,Percent Of Journeys,22,% Shopping Journeys
S92000003,2008,Ratio,Percent Of Journeys,12.1,% Bus Journeys To Work
S92000003,2005,Ratio,Percent Of Journeys,12.1,% Bus Journeys To Work
S92000003,2007,Ratio,Percent Of Journeys,12.7,% Bus Journeys To Work
S92000003,2018,Ratio,Percent Of Journeys,54.2,% Child Journeys To School By Walking/Cycling
S92000003,2001,Ratio,Percent Of Journeys,12.2,% Bus Journeys To Work
S92000003,2006,Ratio,Percent Of Journeys,11.8,% Bus Journeys To Work
S92000003,2013,Ratio,Percent Of Journeys,11.3,% Bus Journeys To Work
S92000003,2016,Ratio,Percent Of Journeys,10.4,% Bus Journeys To Work
S92000003,2004,Ratio,Percent Of Journeys,24.5,% Commuting Journeys
S92000003,2014,Ratio,Percent Of Journeys,10.1,% Bus Journeys To Work
S92000003,2004,Ratio,Percent Of Journeys,12.7,% Bus Journeys To Work
S92000003,2015,Ratio,Percent Of Journeys,11.2,% Bus Journeys To Work
S92000003,2010,Ratio,Percent Of Journeys,10.8,% Bus Journeys To Work
S92000003,2009,Ratio,Percent Of Journeys,12.1,% Bus Journeys To Work
S92000003,1999,Ratio,Percent Of Journeys,12.1,% Bus Journeys To Work
S92000003,2017,Ratio,Percent Of Journeys,9.8,% Bus Journeys To Work
S92000003,2017,Ratio,Percent Of Journeys,23.3,% Shopping Journeys
S92000003,2019,Ratio,Percent Of Journeys,9.6,% Bus Journeys To Work
S92000003,2003,Ratio,Percent Of Journeys,11.6,% Bus Journeys To Work
S92000003,2002,Ratio,Percent Of Journeys,12.2,% Bus Journeys To Work
S92000003,2000,Ratio,Percent Of Journeys,12.5,% Bus Journeys To Work
S92000003,2012,Ratio,Percent Of Journeys,10.1,% Bus Journeys To Work
S92000003,2011,Ratio,Percent Of Journeys,12,% Bus Journeys To Work
S92000003,2003,Ratio,Percent Of Journeys,2.9,% Train Journeys To Work
S92000003,2014,Ratio,Percent Of Journeys,2.6,% Cycling Journeys To Work
S92000003,2004,Ratio,Percent Of Journeys,3.5,% Train Journeys To Work
S92000003,1999,Ratio,Percent Of Journeys,3,% Train Journeys To Work
S92000003,2001,Ratio,Percent Of Journeys,2.3,% Train Journeys To Work
