area_code,reference_name,area_type,year,age,gender,outcome,measure_type,value,units
S12000010,East Lothian,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,3,People
S12000029,South Lanarkshire,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,20,People
S12000019,Midlothian,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,4,People
S12000035,Argyll and Bute,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,10,People
S12000036,City of Edinburgh,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,36,People
S12000018,Inverclyde,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,6,People
S12000030,Stirling,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,2,People
S12000035,Argyll and Bute,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,3,People
S12000013,Na h-Eileanan Siar,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,0,People
S12000027,Shetland Islands,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,1,People
S12000036,City of Edinburgh,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,19,People
S12000040,West Lothian,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,8,People
S12000026,Scottish Borders,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,7,People
S12000040,West Lothian,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,16,People
S12000033,Aberdeen City,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,27,People
S12000030,Stirling,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,16,People
S12000033,Aberdeen City,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,23,People
S12000014,Falkirk,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,8,People
S12000040,West Lothian,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S12000030,Stirling,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,18,People
S12000005,Clackmannanshire,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,3,People
S12000028,South Ayrshire,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,3,People
S12000006,Dumfries and Galloway,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,18,People
S12000021,North Ayrshire,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,7,People
S12000008,East Ayrshire,Local Authority,1996,60 years and over,Male,Killed Or Seriously Injured,Count,8,People
S12000021,North Ayrshire,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,7,People
S12000026,Scottish Borders,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,14,People
S12000034,Aberdeenshire,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,26,People
S12000026,Scottish Borders,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,21,People
S12000028,South Ayrshire,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,10,People
S12000034,Aberdeenshire,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,29,People
S12000028,South Ayrshire,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,7,People
S12000035,Argyll and Bute,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,13,People
S08000032,Lanarkshire,Health Board,2012,40-59 years,Male,Killed Or Seriously Injured,Count,23,People
S12000035,Argyll and Bute,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,32,People
S12000014,Falkirk,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,11,People
S12000014,Falkirk,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,7,People
S08000032,Lanarkshire,Health Board,2012,20-39 years,Male,Killed Or Seriously Injured,Count,34,People
S12000035,Argyll and Bute,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,23,People
S12000026,Scottish Borders,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,5,People
S12000021,North Ayrshire,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000023,Orkney Islands,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,1,People
S12000023,Orkney Islands,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,0,People
S12000023,Orkney Islands,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,0,People
S12000039,West Dunbartonshire,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,5,People
S12000014,Falkirk,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,10,People
S12000014,Falkirk,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,2,People
S12000013,Na h-Eileanan Siar,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,0,People
S12000013,Na h-Eileanan Siar,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,2,People
S12000014,Falkirk,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,10,People
S12000020,Moray,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,7,People
S12000020,Moray,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,7,People
S12000036,City of Edinburgh,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,25,People
S12000019,Midlothian,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,4,People
S12000039,West Dunbartonshire,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,10,People
S12000019,Midlothian,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,5,People
S12000017,Highland,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000034,Aberdeenshire,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,45,People
S12000005,Clackmannanshire,Local Authority,2018,60 years and over,Male,Killed Or Seriously Injured,Count,1,People
S12000027,Shetland Islands,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,1,People
S12000027,Shetland Islands,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,1,People
S12000027,Shetland Islands,Local Authority,2011,0-19 years,Male,Killed Or Seriously Injured,Count,0,People
S12000038,Renfrewshire,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,12,People
S12000017,Highland,Local Authority,2011,40-59 years,Male,Killed Or Seriously Injured,Count,31,People
S12000039,West Dunbartonshire,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,8,People
S12000038,Renfrewshire,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,20,People
S12000017,Highland,Local Authority,2011,20-39 years,Male,Killed Or Seriously Injured,Count,29,People
S12000029,South Lanarkshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,11,People
S12000029,South Lanarkshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,23,People
S12000029,South Lanarkshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,9,People
S12000028,South Ayrshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,8,People
S12000006,Dumfries and Galloway,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,19,People
S12000028,South Ayrshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,11,People
S12000048,Perth and Kinross,Local Authority,2012,NA,Male,Killed Or Seriously Injured,Count,58,People
S12000027,Shetland Islands,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,0,People
S12000028,South Ayrshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,1,People
S12000027,Shetland Islands,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,2,People
S12000027,Shetland Islands,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,1,People
S12000048,Perth and Kinross,Local Authority,2010,NA,Male,Killed Or Seriously Injured,Count,67,People
S12000047,Fife,Local Authority,2001,NA,Male,Killed Or Seriously Injured,Count,160,People
S12000008,East Ayrshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,10,People
S12000008,East Ayrshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,3,People
S12000047,Fife,Local Authority,1997,NA,Male,Killed Or Seriously Injured,Count,156,People
S12000047,Fife,Local Authority,1999,NA,Male,Killed Or Seriously Injured,Count,121,People
S12000047,Fife,Local Authority,1998,NA,Male,Killed Or Seriously Injured,Count,147,People
S12000006,Dumfries and Galloway,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,19,People
S12000006,Dumfries and Galloway,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,11,People
S12000047,Fife,Local Authority,2000,NA,Male,Killed Or Seriously Injured,Count,164,People
S12000010,East Lothian,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,1,People
S12000008,East Ayrshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,12,People
S12000010,East Lothian,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,1,People
S12000020,Moray,Local Authority,2004,20-39 years,Male,Killed Or Seriously Injured,Count,17,People
S12000020,Moray,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,13,People
S12000020,Moray,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,7,People
S12000030,Stirling,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,16,People
S12000020,Moray,Local Authority,2004,0-19 years,Male,Killed Or Seriously Injured,Count,13,People
S12000030,Stirling,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,17,People
S12000019,Midlothian,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,9,People
S12000019,Midlothian,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,5,People
S12000020,Moray,Local Authority,2004,40-59 years,Male,Killed Or Seriously Injured,Count,11,People
S12000021,North Ayrshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,6,People
S12000020,Moray,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,8,People
S12000021,North Ayrshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,7,People
S12000048,Perth and Kinross,Local Authority,2006,NA,Male,Killed Or Seriously Injured,Count,102,People
S12000033,Aberdeen City,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,16,People
S12000033,Aberdeen City,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,23,People
S12000048,Perth and Kinross,Local Authority,2007,NA,Male,Killed Or Seriously Injured,Count,89,People
S12000048,Perth and Kinross,Local Authority,2011,NA,Male,Killed Or Seriously Injured,Count,74,People
S12000033,Aberdeen City,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,34,People
S12000047,Fife,Local Authority,2015,NA,Male,Killed Or Seriously Injured,Count,54,People
S12000030,Stirling,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,7,People
S12000047,Fife,Local Authority,2016,NA,Male,Killed Or Seriously Injured,Count,66,People
S12000034,Aberdeenshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,27,People
S12000048,Perth and Kinross,Local Authority,2009,NA,Male,Killed Or Seriously Injured,Count,72,People
S12000048,Perth and Kinross,Local Authority,2008,NA,Male,Killed Or Seriously Injured,Count,86,People
S08000029,Fife,Health Board,2005,NA,Male,Killed Or Seriously Injured,Count,124,People
S12000048,Perth and Kinross,Local Authority,1997,NA,Male,Killed Or Seriously Injured,Count,133,People
S12000013,Na h-Eileanan Siar,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,1,People
S08000029,Fife,Health Board,2007,NA,Male,Killed Or Seriously Injured,Count,116,People
S08000029,Fife,Health Board,2006,NA,Male,Killed Or Seriously Injured,Count,147,People
S12000010,East Lothian,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,7,People
S08000029,Fife,Health Board,2008,NA,Male,Killed Or Seriously Injured,Count,87,People
S12000013,Na h-Eileanan Siar,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,1,People
S12000013,Na h-Eileanan Siar,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,3,People
S12000050,North Lanarkshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,7,People
S12000049,Glasgow City,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,28,People
S12000048,Perth and Kinross,Local Authority,2003,NA,Male,Killed Or Seriously Injured,Count,113,People
S12000049,Glasgow City,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,46,People
S12000048,Perth and Kinross,Local Authority,1999,NA,Male,Killed Or Seriously Injured,Count,141,People
S12000049,Glasgow City,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,37,People
S12000048,Perth and Kinross,Local Authority,2013,NA,Male,Killed Or Seriously Injured,Count,59,People
S12000048,Perth and Kinross,Local Authority,2014,NA,Male,Killed Or Seriously Injured,Count,51,People
S12000048,Perth and Kinross,Local Authority,1998,NA,Male,Killed Or Seriously Injured,Count,153,People
S12000048,Perth and Kinross,Local Authority,2002,NA,Male,Killed Or Seriously Injured,Count,111,People
S12000048,Perth and Kinross,Local Authority,2001,NA,Male,Killed Or Seriously Injured,Count,136,People
S12000048,Perth and Kinross,Local Authority,1996,NA,Male,Killed Or Seriously Injured,Count,138,People
S12000017,Highland,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,29,People
S12000017,Highland,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,13,People
S12000047,Fife,Local Authority,2003,NA,Male,Killed Or Seriously Injured,Count,129,People
S12000014,Falkirk,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,6,People
S12000048,Perth and Kinross,Local Authority,2015,NA,Male,Killed Or Seriously Injured,Count,44,People
S12000014,Falkirk,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,24,People
S12000005,Clackmannanshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,4,People
S12000005,Clackmannanshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,3,People
S12000047,Fife,Local Authority,2004,NA,Male,Killed Or Seriously Injured,Count,140,People
S12000047,Fife,Local Authority,2005,NA,Male,Killed Or Seriously Injured,Count,124,People
S12000047,Fife,Local Authority,2002,NA,Male,Killed Or Seriously Injured,Count,192,People
S12000005,Clackmannanshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,3,People
S12000048,Perth and Kinross,Local Authority,2004,NA,Male,Killed Or Seriously Injured,Count,109,People
S12000011,East Renfrewshire,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,3,People
S12000017,Highland,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,31,People
S12000011,East Renfrewshire,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,4,People
S12000048,Perth and Kinross,Local Authority,2005,NA,Male,Killed Or Seriously Injured,Count,97,People
S12000011,East Renfrewshire,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,2,People
S12000018,Inverclyde,Local Authority,2012,20-39 years,Male,Killed Or Seriously Injured,Count,3,People
S12000018,Inverclyde,Local Authority,2012,0-19 years,Male,Killed Or Seriously Injured,Count,4,People
S12000014,Falkirk,Local Authority,2012,40-59 years,Male,Killed Or Seriously Injured,Count,19,People
S12000048,Perth and Kinross,Local Authority,2016,NA,Male,Killed Or Seriously Injured,Count,38,People
