area_code,reference_area,area_type,year,indicator,value,units
S12000039,West Dunbartonshire,Local Authority,2001,% Bus Journeys To Work,13.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Bus Journeys To Work,19.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Bus Journeys To Work,12.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Bus Journeys To Work,8.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Commuting Journeys,21,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Health Journeys,1.5,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Health Journeys,4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Health Journeys,1.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Business Journeys,3.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Business Journeys,1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Business Journeys,0.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Bus Journeys To Work,11.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Health Journeys,3.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Business Journeys,1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Cycling Journeys To Work,4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Cycling Journeys To Work,0,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Education Journeys,8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Train Journeys To Work,7.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Education Journeys,8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Cycling Journeys To Work,2.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Cycling Journeys To Work,0.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Cycling Journeys To Work,0,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Train Journeys To Work,15.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Train Journeys To Work,8.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Commuting Journeys,39.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2018,% Shopping Journeys,25,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Train Journeys To Work,11.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Train Journeys To Work,10.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Train Journeys To Work,6.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Cycling Journeys To Work,0.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Child Journeys To School By Walking/Cycling,47.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Child Journeys To School By Walking/Cycling,58.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Child Journeys To School By Walking/Cycling,44.5,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Cycling Journeys To Work,0.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Child Journeys To School By Walking/Cycling,46.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Education Journeys,2.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Child Journeys To School By Walking/Cycling,49.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Cycling Journeys To Work,1.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Shopping Journeys,28,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Cycling Journeys To Work,1.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Cycling Journeys To Work,0,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Cycling Journeys To Work,0,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2017,% Commuting Journeys,27.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Cycling Journeys To Work,0.5,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Shopping Journeys,27.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Shopping Journeys,22.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Child Journeys To School By Walking/Cycling,33.6,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Commuting Journeys,23.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Child Journeys To School By Walking/Cycling,50.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Shopping Journeys,32.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Education Journeys,2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Child Journeys To School By Walking/Cycling,56,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Commuting Journeys,24,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Education Journeys,4.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Shopping Journeys,26.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Education Journeys,7.1,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Education Journeys,4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Education Journeys,4.5,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2013,% Shopping Journeys,15.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2007,% Shopping Journeys,25.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Education Journeys,5.4,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Train Journeys To Work,10.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Train Journeys To Work,8.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Cycling Journeys To Work,0,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2014,% Commuting Journeys,24.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2005,% Train Journeys To Work,5.9,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2012,% Train Journeys To Work,9.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2003,% Train Journeys To Work,7.7,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2019,% Cycling Journeys To Work,2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2015,% Child Journeys To School By Walking/Cycling,45.3,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2016,% Child Journeys To School By Walking/Cycling,41.8,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,1999,% Shopping Journeys,26.2,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2009,% Child Journeys To School By Walking/Cycling,43,Percent Of Journeys
S12000039,West Dunbartonshire,Local Authority,2001,% Education Journeys,1.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Child Journeys To School By Walking/Cycling,53.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Child Journeys To School By Walking/Cycling,61.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Bus Journeys To Work,7.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Business Journeys,3.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Health Journeys,2.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Child Journeys To School By Walking/Cycling,55.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Commuting Journeys,27,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Health Journeys,2.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Child Journeys To School By Walking/Cycling,58.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Child Journeys To School By Walking/Cycling,56.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Child Journeys To School By Walking/Cycling,59.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Child Journeys To School By Walking/Cycling,58.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Bus Journeys To Work,3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Shopping Journeys,19.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Shopping Journeys,23.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Shopping Journeys,23.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Bus Journeys To Work,13.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Bus Journeys To Work,6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Shopping Journeys,18.5,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Bus Journeys To Work,7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Shopping Journeys,28.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Shopping Journeys,24,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Shopping Journeys,20,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Shopping Journeys,23,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Shopping Journeys,26.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Shopping Journeys,22.5,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Shopping Journeys,17.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Shopping Journeys,24.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Child Journeys To School By Walking/Cycling,38.5,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Child Journeys To School By Walking/Cycling,54.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Bus Journeys To Work,7.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Child Journeys To School By Walking/Cycling,84,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Bus Journeys To Work,11.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Child Journeys To School By Walking/Cycling,46.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Child Journeys To School By Walking/Cycling,52,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Bus Journeys To Work,8.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Bus Journeys To Work,6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Bus Journeys To Work,5.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Bus Journeys To Work,8.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Bus Journeys To Work,6.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Bus Journeys To Work,3.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Bus Journeys To Work,6.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Shopping Journeys,28.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Education Journeys,4.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Education Journeys,4.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Education Journeys,2.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Education Journeys,1.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Train Journeys To Work,3.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Education Journeys,4.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Commuting Journeys,18.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Cycling Journeys To Work,0,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Train Journeys To Work,5.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Train Journeys To Work,1.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Education Journeys,6.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Cycling Journeys To Work,0.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Train Journeys To Work,1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Train Journeys To Work,8,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Train Journeys To Work,3.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Walking Journeys To Work,4,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Commuting Journeys,26.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Commuting Journeys,27.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Education Journeys,5,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Education Journeys,5.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Train Journeys To Work,2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Education Journeys,1.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Education Journeys,4.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Education Journeys,5.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Education Journeys,6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Education Journeys,8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Cycling Journeys To Work,2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Education Journeys,5.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Cycling Journeys To Work,0,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Cycling Journeys To Work,1.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Cycling Journeys To Work,1,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Cycling Journeys To Work,0.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Commuting Journeys,27,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Cycling Journeys To Work,0,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Cycling Journeys To Work,1.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Cycling Journeys To Work,0,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Train Journeys To Work,8.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Train Journeys To Work,8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Train Journeys To Work,5.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Train Journeys To Work,7.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Train Journeys To Work,4.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Train Journeys To Work,5.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Cycling Journeys To Work,1.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Cycling Journeys To Work,2.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Cycling Journeys To Work,3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Train Journeys To Work,5.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Cycling Journeys To Work,3.5,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Business Journeys,4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Business Journeys,0.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Business Journeys,2.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Business Journeys,3.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Health Journeys,4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Business Journeys,2.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Business Journeys,2.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Business Journeys,4.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Business Journeys,1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Business Journeys,3.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Business Journeys,2.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Health Journeys,2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Health Journeys,3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Health Journeys,3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Health Journeys,2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Health Journeys,2.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Business Journeys,3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Health Journeys,0.5,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Health Journeys,2.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Business Journeys,1,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Health Journeys,3.3,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Health Journeys,1.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Health Journeys,0.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Health Journeys,2.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Commuting Journeys,29.5,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Walking Journeys To Work,13.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2013,% Commuting Journeys,25.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Walking Journeys To Work,2.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2009,% Walking Journeys To Work,7.9,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Walking Journeys To Work,8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Walking Journeys To Work,17.2,Percent Of Journeys
S12000040,West Lothian,Local Authority,2014,% Commuting Journeys,29,Percent Of Journeys
S12000040,West Lothian,Local Authority,2019,% Walking Journeys To Work,10,Percent Of Journeys
S12000040,West Lothian,Local Authority,2015,% Commuting Journeys,21.4,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Commuting Journeys,27.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2016,% Commuting Journeys,20,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Walking Journeys To Work,7.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Walking Journeys To Work,5.8,Percent Of Journeys
S12000040,West Lothian,Local Authority,2005,% Walking Journeys To Work,7.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Commuting Journeys,24,Percent Of Journeys
S12000040,West Lothian,Local Authority,2017,% Walking Journeys To Work,5.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2001,% Walking Journeys To Work,7.6,Percent Of Journeys
S12000040,West Lothian,Local Authority,2012,% Commuting Journeys,25.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,1999,% Walking Journeys To Work,11.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2007,% Walking Journeys To Work,7.7,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Business Journeys,0,Percent Of Journeys
S12000040,West Lothian,Local Authority,2003,% Commuting Journeys,29.1,Percent Of Journeys
S12000040,West Lothian,Local Authority,2018,% Shopping Journeys,30,Percent Of Journeys
S92000003,NA,NA,2000,% Health Journeys,2.4,Percent Of Journeys
S92000003,NA,NA,2014,% Health Journeys,2,Percent Of Journeys
S92000003,NA,NA,2015,% Health Journeys,2,Percent Of Journeys
S92000003,NA,NA,2001,% Health Journeys,2.4,Percent Of Journeys
S92000003,NA,NA,2017,% Health Journeys,2.3,Percent Of Journeys
S92000003,NA,NA,1999,% Health Journeys,2.2,Percent Of Journeys
S92000003,NA,NA,2005,% Business Journeys,4.2,Percent Of Journeys
S92000003,NA,NA,2013,% Business Journeys,2.5,Percent Of Journeys
S92000003,NA,NA,2016,% Health Journeys,2.1,Percent Of Journeys
S92000003,NA,NA,2003,% Business Journeys,3.7,Percent Of Journeys
S92000003,NA,NA,2004,% Business Journeys,3.8,Percent Of Journeys
S92000003,NA,NA,2006,% Business Journeys,4,Percent Of Journeys
S92000003,NA,NA,2016,% Cycling Journeys To Work,2.6,Percent Of Journeys
S92000003,NA,NA,2015,% Commuting Journeys,22.4,Percent Of Journeys
S92000003,NA,NA,2019,% Commuting Journeys,23.3,Percent Of Journeys
S92000003,NA,NA,2013,% Commuting Journeys,22.4,Percent Of Journeys
S92000003,NA,NA,2005,% Commuting Journeys,26.8,Percent Of Journeys
S92000003,NA,NA,2017,% Business Journeys,1.9,Percent Of Journeys
S92000003,NA,NA,2006,% Health Journeys,2.6,Percent Of Journeys
S92000003,NA,NA,2004,% Health Journeys,2.8,Percent Of Journeys
S92000003,NA,NA,2005,% Health Journeys,2.3,Percent Of Journeys
S92000003,NA,NA,2002,% Health Journeys,2.3,Percent Of Journeys
S92000003,NA,NA,2019,% Business Journeys,2.4,Percent Of Journeys
S92000003,NA,NA,2003,% Health Journeys,2.5,Percent Of Journeys
S92000003,NA,NA,2007,% Business Journeys,1.4,Percent Of Journeys
S92000003,NA,NA,2015,% Business Journeys,2.2,Percent Of Journeys
S92000003,NA,NA,2010,% Business Journeys,0.9,Percent Of Journeys
S92000003,NA,NA,2016,% Walking Journeys To Work,12.3,Percent Of Journeys
S92000003,NA,NA,2012,% Business Journeys,1.9,Percent Of Journeys
S92000003,NA,NA,2014,% Business Journeys,2.3,Percent Of Journeys
S92000003,NA,NA,2002,% Walking Journeys To Work,13.2,Percent Of Journeys
S92000003,NA,NA,2009,% Business Journeys,1.1,Percent Of Journeys
S92000003,NA,NA,2016,% Business Journeys,1.9,Percent Of Journeys
S92000003,NA,NA,2004,% Walking Journeys To Work,12.7,Percent Of Journeys
